"","date","AGRO"
"1","2011-01-28",12
"2","2011-01-31",12.6
"3","2011-02-01",13
"4","2011-02-02",12.85
"5","2011-02-03",12.97
"6","2011-02-04",13.5
"7","2011-02-07",13.1
"8","2011-02-08",13.02
"9","2011-02-09",12.9
"10","2011-02-10",12.8
"11","2011-02-11",12.62
"12","2011-02-14",12.42
"13","2011-02-15",12.5
"14","2011-02-16",12.72
"15","2011-02-17",12.85
"16","2011-02-18",12.86
"17","2011-02-22",12.44
"18","2011-02-23",12.25
"19","2011-02-24",11.99
"20","2011-02-25",12
"21","2011-02-28",12.18
"22","2011-03-01",12.38
"23","2011-03-02",12.48
"24","2011-03-03",13.19
"25","2011-03-04",13.16
"26","2011-03-07",12.95
"27","2011-03-08",12.83
"28","2011-03-09",12.76
"29","2011-03-10",12.71
"30","2011-03-11",13.17
"31","2011-03-14",12.53
"32","2011-03-15",12.36
"33","2011-03-16",12.41
"34","2011-03-17",12.59
"35","2011-03-18",12.74
"36","2011-03-21",12.97
"37","2011-03-22",12.79
"38","2011-03-23",12.74
"39","2011-03-24",12.64
"40","2011-03-25",12.73
"41","2011-03-28",12.72
"42","2011-03-29",12.65
"43","2011-03-30",13
"44","2011-03-31",13.48
"45","2011-04-01",13.47
"46","2011-04-04",13.45
"47","2011-04-05",13.31
"48","2011-04-06",13
"49","2011-04-07",12.7
"50","2011-04-08",12.7
"51","2011-04-11",12.98
"52","2011-04-12",12.35
"53","2011-04-13",12.71
"54","2011-04-14",12.71
"55","2011-04-15",12.37
"56","2011-04-18",12.5
"57","2011-04-19",12.47
"58","2011-04-20",12.66
"59","2011-04-21",12.76
"60","2011-04-25",12.7
"61","2011-04-26",12.8
"62","2011-04-27",12.63
"63","2011-04-28",12.48
"64","2011-04-29",12.34
"65","2011-05-02",12.31
"66","2011-05-03",12
"67","2011-05-04",11.66
"68","2011-05-05",11.36
"69","2011-05-06",11.25
"70","2011-05-09",11.24
"71","2011-05-10",11.16
"72","2011-05-11",10.27
"73","2011-05-12",10.93
"74","2011-05-13",10.91
"75","2011-05-16",11.03
"76","2011-05-17",11.23
"77","2011-05-18",11.46
"78","2011-05-19",11.2
"79","2011-05-20",11.25
"80","2011-05-23",11.16
"81","2011-05-24",11.15
"82","2011-05-25",11.61
"83","2011-05-26",11.61
"84","2011-05-27",11.72
"85","2011-05-31",12.62
"86","2011-06-01",12.22
"87","2011-06-02",12.38
"88","2011-06-03",12.66
"89","2011-06-06",12.7
"90","2011-06-07",12.68
"91","2011-06-08",12.36
"92","2011-06-09",12.36
"93","2011-06-10",12.02
"94","2011-06-13",12.1
"95","2011-06-14",12.3
"96","2011-06-15",12.08
"97","2011-06-16",11.69
"98","2011-06-17",12.3
"99","2011-06-20",12.16
"100","2011-06-21",12.21
"101","2011-06-22",12.05
"102","2011-06-23",12.01
"103","2011-06-24",11.75
"104","2011-06-27",11.49
"105","2011-06-28",11.52
"106","2011-06-29",11.33
"107","2011-06-30",11.16
"108","2011-07-01",11.54
"109","2011-07-05",11.37
"110","2011-07-06",11.4
"111","2011-07-07",11.45
"112","2011-07-08",11.19
"113","2011-07-11",11.13
"114","2011-07-12",11.13
"115","2011-07-13",11.3
"116","2011-07-14",11.37
