"","date","WYNN"
"1","2007-01-03",96.269997
"2","2007-01-04",96.309998
"3","2007-01-05",96.879997
"4","2007-01-08",98.709999
"5","2007-01-09",99.099998
"6","2007-01-10",102.449997
"7","2007-01-11",103.919998
"8","2007-01-12",104.489998
"9","2007-01-16",107.75
"10","2007-01-17",105.760002
"11","2007-01-18",103.75
"12","2007-01-19",105.620003
"13","2007-01-22",106.5
"14","2007-01-23",106.809998
"15","2007-01-24",110.449997
"16","2007-01-25",106.989998
"17","2007-01-26",107.900002
"18","2007-01-29",108.559998
"19","2007-01-30",108.290001
"20","2007-01-31",111.739998
"21","2007-02-01",112.169998
"22","2007-02-02",111.440002
"23","2007-02-05",114.07
"24","2007-02-06",112.730003
"25","2007-02-07",112.519997
"26","2007-02-08",111.290001
"27","2007-02-09",104.190002
"28","2007-02-12",102.489998
"29","2007-02-13",102.43
"30","2007-02-14",103.360001
"31","2007-02-15",102.949997
"32","2007-02-16",101.709999
"33","2007-02-20",102.290001
"34","2007-02-21",102.190002
"35","2007-02-22",106.099998
"36","2007-02-23",103.809998
"37","2007-02-26",100.379997
"38","2007-02-27",95.900002
"39","2007-02-28",98.019997
"40","2007-03-01",97.029999
"41","2007-03-02",93.629997
"42","2007-03-05",89.370003
"43","2007-03-06",92.419998
"44","2007-03-07",91.349998
"45","2007-03-08",94.18
"46","2007-03-09",94.239998
"47","2007-03-12",92.419998
"48","2007-03-13",90.800003
"49","2007-03-14",92.620003
"50","2007-03-15",93.639999
"51","2007-03-16",92.739998
"52","2007-03-19",95.019997
"53","2007-03-20",97.68
"54","2007-03-21",99.5
"55","2007-03-22",99.900002
"56","2007-03-23",100.650002
"57","2007-03-26",100.93
"58","2007-03-27",98.010002
"59","2007-03-28",95.800003
"60","2007-03-29",96
"61","2007-03-30",94.860001
"62","2007-04-02",96.059998
"63","2007-04-03",98.32
"64","2007-04-04",98.160004
"65","2007-04-05",98.690002
"66","2007-04-09",101.080002
"67","2007-04-10",100.150002
"68","2007-04-11",98.779999
"69","2007-04-12",100.169998
"70","2007-04-13",102.440002
"71","2007-04-16",102
"72","2007-04-17",100.790001
"73","2007-04-18",103.339996
"74","2007-04-19",102.010002
"75","2007-04-20",102.510002
"76","2007-04-23",103.440002
"77","2007-04-24",102.809998
"78","2007-04-25",105.470001
"79","2007-04-26",105.93
"80","2007-04-27",104.519997
"81","2007-04-30",102.209999
"82","2007-05-01",102.169998
"83","2007-05-02",107.050003
"84","2007-05-03",103.629997
"85","2007-05-04",102.519997
"86","2007-05-07",101.849998
"87","2007-05-08",99.910004
"88","2007-05-09",99.260002
"89","2007-05-10",96
"90","2007-05-11",96.519997
"91","2007-05-14",95.839996
"92","2007-05-15",94.949997
"93","2007-05-16",96.279999
"94","2007-05-17",95.029999
"95","2007-05-18",93.739998
"96","2007-05-21",94.190002
"97","2007-05-22",101.150002
"98","2007-05-23",99.349998
"99","2007-05-24",96.699997
"100","2007-05-25",94.75
