"","date","ZI"
"1","2020-06-04",34
"2","2020-06-05",38.889999
"3","2020-06-08",44.689999
"4","2020-06-09",50
"5","2020-06-10",50.299999
"6","2020-06-11",49.5
"7","2020-06-12",51.220001
"8","2020-06-15",49.970001
"9","2020-06-16",48.389999
"10","2020-06-17",43.509998
"11","2020-06-18",45.75
"12","2020-06-19",45.369999
"13","2020-06-22",49.41
"14","2020-06-23",49.68
"15","2020-06-24",50.98
"16","2020-06-25",53.189999
"17","2020-06-26",51.57
"18","2020-06-29",50.720001
"19","2020-06-30",51.029999
"20","2020-07-01",48.400002
"21","2020-07-02",45.049999
"22","2020-07-06",45.990002
"23","2020-07-07",45.139999
"24","2020-07-08",44.259998
"25","2020-07-09",44.689999
"26","2020-07-10",43.709999
"27","2020-07-13",40.330002
"28","2020-07-14",39.990002
"29","2020-07-15",39.849998
"30","2020-07-16",40.380001
"31","2020-07-17",41.16
"32","2020-07-20",42.48
"33","2020-07-21",42.900002
"34","2020-07-22",41.66
"35","2020-07-23",40.860001
"36","2020-07-24",39.59
"37","2020-07-27",41.16
"38","2020-07-28",41.560001
"39","2020-07-29",40.529999
"40","2020-07-30",40.48
"41","2020-07-31",40.869999
"42","2020-08-03",45.080002
"43","2020-08-04",44.150002
"44","2020-08-05",46.369999
"45","2020-08-06",47.439999
"46","2020-08-07",46.099998
"47","2020-08-10",43.200001
"48","2020-08-11",39.009998
"49","2020-08-12",38.529999
"50","2020-08-13",39.709999
"51","2020-08-14",38.880001
"52","2020-08-17",39.599998
"53","2020-08-18",38.110001
"54","2020-08-19",37.919998
"55","2020-08-20",38.029999
"56","2020-08-21",36.830002
"57","2020-08-24",37.040001
"58","2020-08-25",36.799999
"59","2020-08-26",38.049999
"60","2020-08-27",37.029999
"61","2020-08-28",37.209999
"62","2020-08-31",38.82
"63","2020-09-01",38.419998
"64","2020-09-02",38.110001
"65","2020-09-03",33.91
"66","2020-09-04",32.610001
"67","2020-09-08",32.580002
"68","2020-09-09",32.990002
"69","2020-09-10",32.66
"70","2020-09-11",31.99
"71","2020-09-14",32.990002
"72","2020-09-15",32.610001
"73","2020-09-16",31.110001
"74","2020-09-17",32.259998
"75","2020-09-18",32.34
"76","2020-09-21",32.880001
"77","2020-09-22",34.419998
"78","2020-09-23",35.599998
"79","2020-09-24",34.73
"80","2020-09-25",39.209999
"81","2020-09-28",38.84
"82","2020-09-29",41.599998
"83","2020-09-30",42.990002
"84","2020-10-01",43.330002
"85","2020-10-02",42.060001
"86","2020-10-05",43.990002
"87","2020-10-06",43.700001
"88","2020-10-07",45.209999
"89","2020-10-08",43.279999
"90","2020-10-09",42.279999
"91","2020-10-12",41.529999
"92","2020-10-13",42.759998
"93","2020-10-14",41.860001
"94","2020-10-15",42.77
"95","2020-10-16",42.630001
"96","2020-10-19",44.16
"97","2020-10-20",44.209999
"98","2020-10-21",46.299999
"99","2020-10-22",42.75
"100","2020-10-23",43.169998
"101","2020-10-26",41.290001
"102","2020-10-27",43.060001
"103","2020-10-28",40.529999
"104","2020-10-29",40.279999
"105","2020-10-30",37.990002
"106","2020-11-02",36.950001
"107","2020-11-03",37.619999
"108","2020-11-04",38.919998
"109","2020-11-05",41.110001
"110","2020-11-06",41.669998
"111","2020-11-09",37.330002
"112","2020-11-10",40.099998
"113","2020-11-11",41.16
"114","2020-11-12",43.080002
"115","2020-11-13",42.240002
"116","2020-11-16",41.610001
"117","2020-11-17",40.75
"118","2020-11-18",39.59
"119","2020-11-19",42.68
"120","2020-11-20",43.59
"121","2020-11-23",44.650002
"122","2020-11-24",46.75
"123","2020-11-25",47.099998
"124","2020-11-27",48.779999
