"","date","UBX"
"1","2018-05-03",16.65
"2","2018-05-04",16.75
"3","2018-05-07",16.34
"4","2018-05-08",16.940001
"5","2018-05-09",16.08
"6","2018-05-10",15.94
"7","2018-05-11",15.49
"8","2018-05-14",14.79
"9","2018-05-15",14.94
"10","2018-05-16",14.51
"11","2018-05-17",13.98
"12","2018-05-18",13.34
"13","2018-05-21",13.35
"14","2018-05-22",13.12
"15","2018-05-23",12.76
"16","2018-05-24",12.76
"17","2018-05-25",13
"18","2018-05-29",13.02
"19","2018-05-30",14
"20","2018-05-31",14.9
"21","2018-06-01",15.11
"22","2018-06-04",13.85
"23","2018-06-05",14
"24","2018-06-06",13.4
"25","2018-06-07",13.5
"26","2018-06-08",14.18
"27","2018-06-11",15.02
"28","2018-06-12",14.83
"29","2018-06-13",14.76
"30","2018-06-14",15
"31","2018-06-15",14.52
"32","2018-06-18",15
"33","2018-06-19",14.95
"34","2018-06-20",15.05
"35","2018-06-21",14.79
"36","2018-06-22",15.06
"37","2018-06-25",14.34
"38","2018-06-26",14.79
"39","2018-06-27",14.58
"40","2018-06-28",14.89
"41","2018-06-29",15.06
"42","2018-07-02",14.84
"43","2018-07-03",14.86
"44","2018-07-05",15.18
"45","2018-07-06",15.2
"46","2018-07-09",15.54
"47","2018-07-10",15.68
"48","2018-07-11",15.5
"49","2018-07-12",15.59
"50","2018-07-13",15.15
"51","2018-07-16",15.12
"52","2018-07-17",15.11
"53","2018-07-18",15.01
"54","2018-07-19",15.12
"55","2018-07-20",14.72
"56","2018-07-23",14.94
"57","2018-07-24",14.95
"58","2018-07-25",14.72
"59","2018-07-26",15.02
"60","2018-07-27",14.34
"61","2018-07-30",14.69
"62","2018-07-31",15.03
"63","2018-08-01",15.25
"64","2018-08-02",15.36
"65","2018-08-03",15.28
"66","2018-08-06",15.6
"67","2018-08-07",15.7
"68","2018-08-08",15.74
"69","2018-08-09",15.76
"70","2018-08-10",15.75
"71","2018-08-13",16.030001
"72","2018-08-14",15.55
"73","2018-08-15",15.7
"74","2018-08-16",15.74
"75","2018-08-17",15.84
"76","2018-08-20",16.290001
"77","2018-08-21",16.459999
"78","2018-08-22",16.42
"79","2018-08-23",16.809999
"80","2018-08-24",17.9
"81","2018-08-27",17.02
"82","2018-08-28",17.58
"83","2018-08-29",17.5
"84","2018-08-30",18.5
"85","2018-08-31",19.059999
"86","2018-09-04",17.809999
"87","2018-09-05",17.75
"88","2018-09-06",18.02
"89","2018-09-07",18.389999
"90","2018-09-10",18.57
"91","2018-09-11",18.190001
"92","2018-09-12",18.379999
"93","2018-09-13",20
"94","2018-09-14",22
"95","2018-09-17",22.969999
"96","2018-09-18",19.709999
"97","2018-09-19",17.049999
"98","2018-09-20",16.82
"99","2018-09-21",16
"100","2018-09-24",15.97
"101","2018-09-25",15.94
"102","2018-09-26",17.52
"103","2018-09-27",16.780001
"104","2018-09-28",16.290001
"105","2018-10-01",15.99
"106","2018-10-02",15.35
"107","2018-10-03",15.04
"108","2018-10-04",14.4
"109","2018-10-05",13.87
"110","2018-10-08",13.61
"111","2018-10-09",13.92
"112","2018-10-10",12.69
"113","2018-10-11",11.51
"114","2018-10-12",12.56
"115","2018-10-15",12.16
"116","2018-10-16",12.61
"117","2018-10-17",12.33
"118","2018-10-18",11.73
"119","2018-10-19",11.3
"120","2018-10-22",10.95
"121","2018-10-23",10.88
"122","2018-10-24",10.76
"123","2018-10-25",11.38
"124","2018-10-26",11.36
"125","2018-10-29",10.97
"126","2018-10-30",10.98
"127","2018-10-31",11.14
"128","2018-11-01",11.27
"129","2018-11-02",11.71
"130","2018-11-05",12.89
"131","2018-11-06",11.79
"132","2018-11-07",11.96
"133","2018-11-08",12.05
"134","2018-11-09",11.92
"135","2018-11-12",12
"136","2018-11-13",12.55
"137","2018-11-14",12.04
"138","2018-11-15",12.35
"139","2018-11-16",12.28
"140","2018-11-19",12.12
"141","2018-11-20",12.07
"142","2018-11-21",12.48
"143","2018-11-23",12.47
"144","2018-11-26",12.19
"145","2018-11-27",12.27
"146","2018-11-28",11.91
"147","2018-11-29",12.09
"148","2018-11-30",12.86
"149","2018-12-03",13.67
"150","2018-12-04",14.36
"151","2018-12-06",13.73
"152","2018-12-07",14
