"","date","ECPG"
"1","2007-01-03",12.27
"2","2007-01-04",12.43
"3","2007-01-05",12.04
"4","2007-01-08",11.92
"5","2007-01-09",11.63
"6","2007-01-10",11.67
"7","2007-01-11",11.64
"8","2007-01-12",11.48
"9","2007-01-16",11.09
"10","2007-01-17",11.44
"11","2007-01-18",11.79
"12","2007-01-19",11.49
"13","2007-01-22",11.44
"14","2007-01-23",11.41
"15","2007-01-24",11.3
"16","2007-01-25",11.3
"17","2007-01-26",11.36
"18","2007-01-29",11.17
"19","2007-01-30",11.29
"20","2007-01-31",11.35
"21","2007-02-01",11.3
"22","2007-02-02",11.39
"23","2007-02-05",11.37
"24","2007-02-06",11.38
"25","2007-02-07",11.4
"26","2007-02-08",11.31
"27","2007-02-09",10.8
"28","2007-02-12",10.75
"29","2007-02-13",10.68
"30","2007-02-14",10.54
"31","2007-02-15",10.63
"32","2007-02-16",10.79
"33","2007-02-20",10.73
"34","2007-02-21",10.38
"35","2007-02-22",10.73
"36","2007-02-23",10.76
"37","2007-02-26",10.46
"38","2007-02-27",10.05
"39","2007-02-28",10.25
"40","2007-03-01",9.4
"41","2007-03-02",9.43
"42","2007-03-05",9.3
"43","2007-03-06",9.47
"44","2007-03-07",9.97
"45","2007-03-08",9.81
"46","2007-03-09",9.65
"47","2007-03-12",9.58
"48","2007-03-13",9.36
"49","2007-03-14",9.32
"50","2007-03-15",9.48
"51","2007-03-16",9.39
"52","2007-03-19",9.49
"53","2007-03-20",9.37
"54","2007-03-21",9.5
"55","2007-03-22",9.68
"56","2007-03-23",9.79
"57","2007-03-26",9.75
"58","2007-03-27",9.75
"59","2007-03-28",9.72
"60","2007-03-29",10.07
"61","2007-03-30",9.94
"62","2007-04-02",10
"63","2007-04-03",10.04
"64","2007-04-04",10
"65","2007-04-05",9.84
"66","2007-04-09",9.81
"67","2007-04-10",9.56
"68","2007-04-11",9.56
"69","2007-04-12",9.58
"70","2007-04-13",9.81
"71","2007-04-16",9.92
"72","2007-04-17",9.95
"73","2007-04-18",9.98
"74","2007-04-19",10.3
"75","2007-04-20",10.76
"76","2007-04-23",11.5
"77","2007-04-24",12.18
"78","2007-04-25",12.03
"79","2007-04-26",11.89
"80","2007-04-27",11.98
"81","2007-04-30",11.9
"82","2007-05-01",11.9
"83","2007-05-02",12.11
"84","2007-05-03",12.23
"85","2007-05-04",12.22
"86","2007-05-07",12.18
"87","2007-05-08",12.57
"88","2007-05-09",12.42
"89","2007-05-10",12.24
"90","2007-05-11",12.28
"91","2007-05-14",12.43
"92","2007-05-15",12.12
"93","2007-05-16",11.8
"94","2007-05-17",11.8
"95","2007-05-18",11.67
"96","2007-05-21",11.86
"97","2007-05-22",12.16
"98","2007-05-23",12.25
"99","2007-05-24",12.05
"100","2007-05-25",11.84
"101","2007-05-29",12.06
"102","2007-05-30",11.98
"103","2007-05-31",12.07
"104","2007-06-01",12.03
"105","2007-06-04",11.92
"106","2007-06-05",11.92
"107","2007-06-06",11.93
