"","date","FVCB"
"1","2015-05-06",5.700267
"2","2015-05-07",NA
"3","2015-05-08",5.717333
"4","2015-05-11",NA
"5","2015-05-12",NA
"6","2015-05-13",NA
"7","2015-05-14",NA
"8","2015-05-15",6.186666
"9","2015-05-18",6.186666
"10","2015-05-19",NA
"11","2015-05-20",NA
"12","2015-05-21",NA
"13","2015-05-22",NA
"14","2015-05-26",NA
"15","2015-05-27",NA
"16","2015-05-28",NA
"17","2015-05-29",NA
"18","2015-06-01",NA
"19","2015-06-02",6.016
"20","2015-06-03",NA
"21","2015-06-04",NA
"22","2015-06-05",6.186666
"23","2015-06-08",NA
"24","2015-06-09",NA
"25","2015-06-10",NA
"26","2015-06-11",NA
"27","2015-06-12",NA
"28","2015-06-15",NA
"29","2015-06-16",NA
"30","2015-06-17",6.229333
"31","2015-06-18",6.101333
"32","2015-06-19",NA
"33","2015-06-22",6.190933
"34","2015-06-23",NA
"35","2015-06-24",6.250667
"36","2015-06-25",6.506667
"37","2015-06-26",NA
"38","2015-06-29",6.4
"39","2015-06-30",NA
"40","2015-07-01",NA
"41","2015-07-02",NA
"42","2015-07-06",NA
"43","2015-07-07",6.421333
"44","2015-07-08",NA
"45","2015-07-09",NA
"46","2015-07-10",NA
"47","2015-07-13",6.421333
"48","2015-07-14",NA
"49","2015-07-15",6.421333
"50","2015-07-16",6.421333
"51","2015-07-17",NA
"52","2015-07-20",NA
"53","2015-07-21",6.506667
"54","2015-07-22",NA
"55","2015-07-23",6.442667
"56","2015-07-24",NA
"57","2015-07-27",6.442667
"58","2015-07-28",6.485333
"59","2015-07-29",6.528
"60","2015-07-30",NA
"61","2015-07-31",NA
"62","2015-08-03",6.570667
"63","2015-08-04",6.570667
"64","2015-08-05",NA
"65","2015-08-06",6.613333
"66","2015-08-07",6.613333
"67","2015-08-10",NA
"68","2015-08-11",6.741333
"69","2015-08-12",6.826667
"70","2015-08-13",7.466667
"71","2015-08-14",7.722667
"72","2015-08-17",NA
"73","2015-08-18",NA
"74","2015-08-19",NA
"75","2015-08-20",NA
"76","2015-08-21",NA
"77","2015-08-24",NA
"78","2015-08-25",NA
"79","2015-08-26",7.168
"80","2015-08-27",NA
"81","2015-08-28",NA
"82","2015-08-31",NA
"83","2015-09-01",7.146667
"84","2015-09-02",7.253334
"85","2015-09-03",7.445333
"86","2015-09-04",NA
"87","2015-09-08",NA
"88","2015-09-09",7.466667
"89","2015-09-10",NA
"90","2015-09-11",NA
"91","2015-09-14",NA
"92","2015-09-15",7.4624
"93","2015-09-16",NA
"94","2015-09-17",NA
"95","2015-09-18",NA
"96","2015-09-21",NA
"97","2015-09-22",7.466667
"98","2015-09-23",NA
"99","2015-09-24",NA
"100","2015-09-25",NA
"101","2015-09-28",7.253334
"102","2015-09-29",7.1552
"103","2015-09-30",NA
"104","2015-10-01",NA
"105","2015-10-02",NA
"106","2015-10-05",NA
"107","2015-10-06",NA
"108","2015-10-07",NA
"109","2015-10-08",7.253334
"110","2015-10-09",NA
"111","2015-10-12",NA
"112","2015-10-13",7.125333
"113","2015-10-14",NA
"114","2015-10-15",7.082667
"115","2015-10-16",NA
"116","2015-10-19",NA
"117","2015-10-20",NA
"118","2015-10-21",7.04
"119","2015-10-22",7.125333
"120","2015-10-23",7.125333
"121","2015-10-26",7.168
"122","2015-10-27",7.168
"123","2015-10-28",7.125333
"124","2015-10-29",NA
"125","2015-10-30",NA
"126","2015-11-02",NA
"127","2015-11-03",7.253334
"128","2015-11-04",NA
"129","2015-11-05",NA
"130","2015-11-06",7.253334
"131","2015-11-09",NA
"132","2015-11-10",7.168
"133","2015-11-11",NA
"134","2015-11-12",NA
"135","2015-11-13",7.168
"136","2015-11-16",NA
"137","2015-11-17",7.253334
"138","2015-11-18",7.253334
"139","2015-11-19",7.232
"140","2015-11-20",7.253334
"141","2015-11-23",7.253334
"142","2015-11-24",7.253334
"143","2015-11-25",7.296
"144","2015-11-27",7.296
"145","2015-11-30",7.296
"146","2015-12-01",7.296
"147","2015-12-02",7.381333
"148","2015-12-03",7.381333
"149","2015-12-04",7.381333
"150","2015-12-07",7.381333
"151","2015-12-08",7.274667
"152","2015-12-09",7.338666
"153","2015-12-10",7.338666
"154","2015-12-11",7.338666
"155","2015-12-14",7.338666
"156","2015-12-15",7.36
"157","2015-12-16",7.338666
"158","2015-12-17",7.402667
"159","2015-12-18",7.402667
"160","2015-12-21",7.381333
"161","2015-12-22",7.381333
"162","2015-12-23",7.424
"163","2015-12-24",7.381333
"164","2015-12-28",7.381333
"165","2015-12-29",7.381333
"166","2015-12-30",7.36
"167","2015-12-31",7.36
"168","2016-01-04",7.36
"169","2016-01-05",7.36
"170","2016-01-06",7.36
"171","2016-01-07",7.36
"172","2016-01-08",7.402667
"173","2016-01-11",7.402667
"174","2016-01-12",7.342933
"175","2016-01-13",7.317333
"176","2016-01-14",7.317333
"177","2016-01-15",7.2576
"178","2016-01-19",7.2576
"179","2016-01-20",7.150933
"180","2016-01-21",7.150933
"181","2016-01-22",7.214933
"182","2016-01-25",7.236267
"183","2016-01-26",7.236267
"184","2016-01-27",7.236267
"185","2016-01-28",7.338666
"186","2016-01-29",7.338666
"187","2016-02-01",7.338666
"188","2016-02-02",7.338666
"189","2016-02-03",7.338666
"190","2016-02-04",7.338666
"191","2016-02-05",7.253334
"192","2016-02-08",7.253334
"193","2016-02-09",7.253334
"194","2016-02-10",7.253334
"195","2016-02-11",7.253334
"196","2016-02-12",7.253334
"197","2016-02-16",7.253334
"198","2016-02-17",7.253334
"199","2016-02-18",7.253334
"200","2016-02-19",7.253334
"201","2016-02-22",7.253334
"202","2016-02-23",7.253334
"203","2016-02-24",7.253334
"204","2016-02-25",7.253334
"205","2016-02-26",7.253334
"206","2016-02-29",7.253334
"207","2016-03-01",7.253334
"208","2016-03-02",7.253334
"209","2016-03-03",7.253334
"210","2016-03-04",7.253334
"211","2016-03-07",7.253334
"212","2016-03-08",7.36
"213","2016-03-09",7.36
"214","2016-03-10",7.253334
"215","2016-03-11",7.338666
"216","2016-03-14",7.338666
"217","2016-03-15",7.274667
"218","2016-03-16",7.274667
"219","2016-03-17",7.274667
"220","2016-03-18",7.274667
"221","2016-03-21",7.274667
"222","2016-03-22",7.274667
"223","2016-03-23",7.274667
"224","2016-03-24",7.274667
"225","2016-03-28",7.274667
"226","2016-03-29",7.317333
"227","2016-03-30",7.338666
"228","2016-03-31",7.338666
"229","2016-04-01",7.424
"230","2016-04-04",7.424
"231","2016-04-05",7.424
"232","2016-04-06",7.552
"233","2016-04-07",7.552
"234","2016-04-08",7.36
"235","2016-04-11",7.338666
"236","2016-04-12",7.36
"237","2016-04-13",7.466667
"238","2016-04-14",7.466667
"239","2016-04-15",7.466667
"240","2016-04-18",7.765333
"241","2016-04-19",7.616
"242","2016-04-20",7.68
"243","2016-04-21",7.850667
"244","2016-04-22",7.850667
"245","2016-04-25",7.850667
"246","2016-04-26",7.850667
"247","2016-04-27",7.872
"248","2016-04-28",7.893333
"249","2016-04-29",7.701334
"250","2016-05-02",7.697067
"251","2016-05-03",7.697067
"252","2016-05-04",7.697067
"253","2016-05-05",7.697067
"254","2016-05-06",7.697067
"255","2016-05-09",7.697067
"256","2016-05-10",7.697067
"257","2016-05-11",7.786667
"258","2016-05-12",7.786667
"259","2016-05-13",7.786667
"260","2016-05-16",7.786667
"261","2016-05-17",7.68
"262","2016-05-18",7.68
"263","2016-05-19",7.68
"264","2016-05-20",7.68
"265","2016-05-23",7.68
"266","2016-05-24",7.68
"267","2016-05-25",7.68
"268","2016-05-26",7.68
"269","2016-05-27",7.645867
"270","2016-05-31",7.645867
"271","2016-06-01",7.671467
"272","2016-06-02",7.671467
"273","2016-06-03",7.671467
"274","2016-06-06",7.671467
"275","2016-06-07",7.68
"276","2016-06-08",7.68
"277","2016-06-09",7.68
"278","2016-06-10",7.68
"279","2016-06-13",7.68
"280","2016-06-14",7.893333
"281","2016-06-15",8.170667
"282","2016-06-16",8.170667
"283","2016-06-17",8.170667
"284","2016-06-20",7.893333
"285","2016-06-21",8.256
"286","2016-06-22",8.256
"287","2016-06-23",8.128
"288","2016-06-24",8.32
"289","2016-06-27",8.32
"290","2016-06-28",8.32
"291","2016-06-29",8.149333
"292","2016-06-30",8.533334
"293","2016-07-01",9.6
"294","2016-07-05",9.6
"295","2016-07-06",9.6
"296","2016-07-07",8.8
"297","2016-07-08",9.866667
"298","2016-07-11",9.866667
"299","2016-07-12",9.466666
"300","2016-07-13",9.466666
"301","2016-07-14",9.546667
"302","2016-07-15",9.546667
"303","2016-07-18",9.546667
"304","2016-07-19",9.546667
"305","2016-07-20",9.546667
"306","2016-07-21",9.333333
"307","2016-07-22",9.6
"308","2016-07-25",9.173333
"309","2016-07-26",9.226666
"310","2016-07-27",9.386666
"311","2016-07-28",9.173333
"312","2016-07-29",9.3328
"313","2016-08-01",9.3328
"314","2016-08-02",9.173333
"315","2016-08-03",9.28
"316","2016-08-04",9.333333
"317","2016-08-05",9.333333
"318","2016-08-08",9.333333
"319","2016-08-09",9.381333
"320","2016-08-10",9.386666
"321","2016-08-11",9.333333
"322","2016-08-12",9.386666
"323","2016-08-15",9.2
"324","2016-08-16",9.2
"325","2016-08-17",9.2
"326","2016-08-18",9.2
"327","2016-08-19",9.2
"328","2016-08-22",9.173333
"329","2016-08-23",9.173333
"330","2016-08-24",9.173333
"331","2016-08-25",9.173333
"332","2016-08-26",9.226666
"333","2016-08-29",9.226666
"334","2016-08-30",9.226666
"335","2016-08-31",9.28
"336","2016-09-01",9.173333
"337","2016-09-02",9.173333
"338","2016-09-06",9.2
"339","2016-09-07",9.066667
"340","2016-09-08",9.066667
"341","2016-09-09",9.066667
"342","2016-09-12",9.12
"343","2016-09-13",9.12
"344","2016-09-14",9.12
"345","2016-09-15",9.12
"346","2016-09-16",9.12
"347","2016-09-19",9.12
"348","2016-09-20",9.12
"349","2016-09-21",9.12
"350","2016-09-22",9.12
"351","2016-09-23",9.093333
"352","2016-09-26",9.093333
"353","2016-09-27",9.093333
"354","2016-09-28",9.12
"355","2016-09-29",9.12
"356","2016-09-30",9.093333
"357","2016-10-03",9.093333
"358","2016-10-04",9.093333
"359","2016-10-05",9.093333
"360","2016-10-06",9.173333
"361","2016-10-07",9.173333
"362","2016-10-10",9.173333
"363","2016-10-11",9.173333
"364","2016-10-12",9.173333
"365","2016-10-13",9.093333
"366","2016-10-14",9.12
"367","2016-10-17",9.12
"368","2016-10-18",9.12
"369","2016-10-19",9.12
"370","2016-10-20",9.12
"371","2016-10-21",9.077333
"372","2016-10-24",9.050667
"373","2016-10-25",8.8
"374","2016-10-26",8.906667
"375","2016-10-27",8.906667
"376","2016-10-28",8.64
"377","2016-10-31",8.784
"378","2016-11-01",9.04
"379","2016-11-02",9.04
"380","2016-11-03",9.04
"381","2016-11-04",9.04
"382","2016-11-07",9.04
"383","2016-11-08",8.8
"384","2016-11-09",8.853333
"385","2016-11-10",8.853333
"386","2016-11-11",8.853333
"387","2016-11-14",8.853333
"388","2016-11-15",8.853333
"389","2016-11-16",8.88
"390","2016-11-17",8.890667
"391","2016-11-18",8.896
"392","2016-11-21",8.96
"393","2016-11-22",8.96
"394","2016-11-23",8.96
"395","2016-11-25",8.96
"396","2016-11-28",8.864
"397","2016-11-29",8.88
"398","2016-11-30",8.906667
"399","2016-12-01",8.906667
"400","2016-12-02",8.906667
"401","2016-12-05",8.432533
"402","2016-12-06",8.661333
"403","2016-12-07",8.768
"404","2016-12-08",8.8
"405","2016-12-09",8.8
"406","2016-12-12",8.72
"407","2016-12-13",8.72
"408","2016-12-14",8.72
"409","2016-12-15",8.720533
"410","2016-12-16",8.720533
"411","2016-12-19",8.720533
"412","2016-12-20",8.746667
"413","2016-12-21",8.826667
"414","2016-12-22",9.013333
"415","2016-12-23",8.826667
"416","2016-12-27",9.04
"417","2016-12-28",9.04
"418","2016-12-29",9.013333
"419","2016-12-30",8.96
"420","2017-01-03",8.933333
"421","2017-01-04",9.013333
"422","2017-01-05",8.933333
"423","2017-01-06",8.933333
"424","2017-01-09",8.933333
"425","2017-01-10",8.933333
"426","2017-01-11",8.96
"427","2017-01-12",8.96
"428","2017-01-13",9.066667
"429","2017-01-17",9.066667
"430","2017-01-18",9.066667
"431","2017-01-19",9.066667
"432","2017-01-20",9.12
"433","2017-01-23",9.146667
"434","2017-01-24",9.173333
"435","2017-01-25",9.173333
"436","2017-01-26",9.173333
"437","2017-01-27",9.184
"438","2017-01-30",9.173333
"439","2017-01-31",9.173333
"440","2017-02-01",9.226666
"441","2017-02-02",9.2
"442","2017-02-03",9.333333
"443","2017-02-06",9.36
"444","2017-02-07",9.36
"445","2017-02-08",9.386666
"446","2017-02-09",9.466666
"447","2017-02-10",9.466666
"448","2017-02-13",9.544
"449","2017-02-14",9.6
"450","2017-02-15",9.653334
"451","2017-02-16",10.266666
"452","2017-02-17",10.24
"453","2017-02-21",10.24
"454","2017-02-22",10
"455","2017-02-23",10
"456","2017-02-24",10.133333
"457","2017-02-27",10
"458","2017-02-28",10.133333
"459","2017-03-01",10.186666
"460","2017-03-02",10.213333
"461","2017-03-03",10.213333
"462","2017-03-06",10.213333
"463","2017-03-07",10.186666
"464","2017-03-08",10.186666
"465","2017-03-09",10.186666
"466","2017-03-10",10.24
"467","2017-03-13",10.133333
"468","2017-03-14",10.106133
"469","2017-03-15",10.08
"470","2017-03-16",10.08
"471","2017-03-17",10
"472","2017-03-20",10
