"","date","ROKU"
"1","2017-09-28",23.5
"2","2017-09-29",26.540001
"3","2017-10-02",23.559999
"4","2017-10-03",20.809999
"5","2017-10-04",20.85
"6","2017-10-05",22.01
"7","2017-10-06",23.200001
"8","2017-10-09",24.540001
"9","2017-10-10",22.93
"10","2017-10-11",23.66
"11","2017-10-12",23.629999
"12","2017-10-13",23.02
"13","2017-10-16",22.190001
"14","2017-10-17",22.09
"15","2017-10-18",22.049999
"16","2017-10-19",22.030001
"17","2017-10-20",21.870001
"18","2017-10-23",20.370001
"19","2017-10-24",19.77
"20","2017-10-25",18.92
"21","2017-10-26",18.57
"22","2017-10-27",18.790001
"23","2017-10-30",19.5
"24","2017-10-31",20.379999
"25","2017-11-01",19.799999
"26","2017-11-02",19.75
"27","2017-11-03",19.549999
"28","2017-11-06",19.34
"29","2017-11-07",19.129999
"30","2017-11-08",18.84
"31","2017-11-09",29.190001
"32","2017-11-10",33.25
"33","2017-11-13",42.709999
"34","2017-11-14",36.950001
"35","2017-11-15",39.32
"36","2017-11-16",39.790001
"37","2017-11-17",38.59
"38","2017-11-20",39.02
"39","2017-11-21",37.259998
"40","2017-11-22",40.599998
"41","2017-11-24",39.470001
"42","2017-11-27",46.52
"43","2017-11-28",46.43
"44","2017-11-29",44.869999
"45","2017-11-30",43.900002
"46","2017-12-01",43.549999
"47","2017-12-04",41.73
"48","2017-12-05",39.450001
"49","2017-12-06",44.259998
"50","2017-12-07",42.52
"51","2017-12-08",44.790001
"52","2017-12-11",47.98
"53","2017-12-12",46.950001
"54","2017-12-13",45.459999
"55","2017-12-14",46.150002
"56","2017-12-15",52.310001
"57","2017-12-18",56.099998
"58","2017-12-19",56.580002
"59","2017-12-20",52.889999
"60","2017-12-21",53.849998
"61","2017-12-22",51.619999
"62","2017-12-26",54.869999
"63","2017-12-27",54.759998
"64","2017-12-28",53.189999
"65","2017-12-29",51.779999
"66","2018-01-02",52.07
"67","2018-01-03",55.439999
"68","2018-01-04",51.240002
"69","2018-01-05",46.279999
"70","2018-01-08",47.470001
"71","2018-01-09",44.73
"72","2018-01-10",44.709999
"73","2018-01-11",43.869999
"74","2018-01-12",43.380001
