"","date","CTLT"
"1","2014-07-31",19.99
"2","2014-08-01",19.85
"3","2014-08-04",20.01
"4","2014-08-05",20.209999
"5","2014-08-06",20.33
"6","2014-08-07",20.42
"7","2014-08-08",20.530001
"8","2014-08-11",20.5
"9","2014-08-12",20.5
"10","2014-08-13",20.530001
"11","2014-08-14",20.5
"12","2014-08-15",20.51
"13","2014-08-18",20.66
"14","2014-08-19",20.629999
"15","2014-08-20",20.58
"16","2014-08-21",20.719999
"17","2014-08-22",20.85
"18","2014-08-25",21.200001
"19","2014-08-26",21.32
"20","2014-08-27",21.27
"21","2014-08-28",21.5
"22","2014-08-29",21.5
"23","2014-09-02",21.700001
"24","2014-09-03",21.68
"25","2014-09-04",21.5
"26","2014-09-05",22.4
"27","2014-09-08",22.5
"28","2014-09-09",22.48
"29","2014-09-10",22.99
"30","2014-09-11",23.25
"31","2014-09-12",23.49
"32","2014-09-15",24.84
"33","2014-09-16",24.219999
"34","2014-09-17",24.309999
"35","2014-09-18",24.190001
"36","2014-09-19",23.68
"37","2014-09-22",23.99
"38","2014-09-23",23.969999
"39","2014-09-24",24.84
"40","2014-09-25",24.68
"41","2014-09-26",25.040001
"42","2014-09-29",25.17
"43","2014-09-30",25.030001
"44","2014-10-01",23.85
"45","2014-10-02",25.35
"46","2014-10-03",25.129999
"47","2014-10-06",24.98
"48","2014-10-07",24.73
"49","2014-10-08",25.48
"50","2014-10-09",24.42
"51","2014-10-10",23.67
"52","2014-10-13",23.52
"53","2014-10-14",23.73
"54","2014-10-15",24.219999
"55","2014-10-16",24.25
"56","2014-10-17",23.629999
"57","2014-10-20",23.959999
"58","2014-10-21",25.190001
"59","2014-10-22",24.07
"60","2014-10-23",24.26
"61","2014-10-24",24.940001
"62","2014-10-27",24.459999
"63","2014-10-28",25.200001
"64","2014-10-29",25.549999
"65","2014-10-30",25.639999
"66","2014-10-31",26.030001
"67","2014-11-03",25.9
"68","2014-11-04",25.35
"69","2014-11-05",25.09
"70","2014-11-06",24.74
"71","2014-11-07",24.73
"72","2014-11-10",24.77
"73","2014-11-11",24.209999
"74","2014-11-12",23.719999
"75","2014-11-13",23.809999
"76","2014-11-14",24.049999
"77","2014-11-17",25.639999
"78","2014-11-18",25.43
"79","2014-11-19",25.700001
"80","2014-11-20",26.059999
"81","2014-11-21",26.549999
"82","2014-11-24",26.969999
"83","2014-11-25",27.85
"84","2014-11-26",28.719999
"85","2014-11-28",28.790001
"86","2014-12-01",28.299999
"87","2014-12-02",28.43
"88","2014-12-03",28.51
"89","2014-12-04",28.93
"90","2014-12-05",29.16
"91","2014-12-08",28.91
"92","2014-12-09",29.129999
"93","2014-12-10",29.42
"94","2014-12-11",29.02
"95","2014-12-12",28.58
"96","2014-12-15",28.940001
"97","2014-12-16",28.57
"98","2014-12-17",29.18
"99","2014-12-18",28.690001
"100","2014-12-19",29.190001
"101","2014-12-22",28.629999
"102","2014-12-23",27.15
"103","2014-12-24",27.379999
"104","2014-12-26",28.49
"105","2014-12-29",27.940001
"106","2014-12-30",28.059999
"107","2014-12-31",27.879999
"108","2015-01-02",27.51
"109","2015-01-05",28.08
"110","2015-01-06",26.549999
"111","2015-01-07",27.809999
"112","2015-01-08",27.99
"113","2015-01-09",27.57
"114","2015-01-12",27.67
"115","2015-01-13",28.129999
"116","2015-01-14",27.969999
"117","2015-01-15",27.4
"118","2015-01-16",28.07
"119","2015-01-20",27.99
"120","2015-01-21",27.530001
"121","2015-01-22",27.91
"122","2015-01-23",27.200001
"123","2015-01-26",28.33
"124","2015-01-27",28.200001
"125","2015-01-28",27.74
"126","2015-01-29",27.719999
"127","2015-01-30",27.620001
"128","2015-02-02",27.639999
"129","2015-02-03",27.780001
"130","2015-02-04",27.549999
