"","date","JBT"
"1","2008-07-22",13.5
"2","2008-07-23",13.5
"3","2008-07-24",13.1
"4","2008-07-25",13.5
"5","2008-07-28",13
"6","2008-07-29",12.5
"7","2008-07-30",12.5
"8","2008-07-31",14.5
"9","2008-08-01",13.15
"10","2008-08-04",12.32
"11","2008-08-05",12.98
"12","2008-08-06",13.19
"13","2008-08-07",11.99
"14","2008-08-08",11.99
"15","2008-08-11",11.75
"16","2008-08-12",11.41
"17","2008-08-13",11.05
"18","2008-08-14",11.06
"19","2008-08-15",11.16
"20","2008-08-18",11.87
"21","2008-08-19",12.44
"22","2008-08-20",12.75
"23","2008-08-21",12.66
"24","2008-08-22",13.3
"25","2008-08-25",12.49
"26","2008-08-26",12
"27","2008-08-27",12.05
"28","2008-08-28",12.99
"29","2008-08-29",13
"30","2008-09-02",13.1
"31","2008-09-03",13.08
"32","2008-09-04",12.84
"33","2008-09-05",13.13
"34","2008-09-08",13.35
"35","2008-09-09",13.31
"36","2008-09-10",13.91
"37","2008-09-11",13.6
"38","2008-09-12",13.81
"39","2008-09-15",13.57
"40","2008-09-16",13.66
"41","2008-09-17",13.53
"42","2008-09-18",13.67
"43","2008-09-19",14.05
"44","2008-09-22",14
"45","2008-09-23",13.96
"46","2008-09-24",13.89
"47","2008-09-25",13.83
"48","2008-09-26",13.94
"49","2008-09-29",13.4
"50","2008-09-30",12.66
"51","2008-10-01",12.37
"52","2008-10-02",11.05
"53","2008-10-03",11
"54","2008-10-06",10.1
"55","2008-10-07",9.24
"56","2008-10-08",9.9
"57","2008-10-09",10.34
"58","2008-10-10",10.15
"59","2008-10-13",10.39
"60","2008-10-14",11.3
"61","2008-10-15",9.01
"62","2008-10-16",9.55
"63","2008-10-17",9.75
"64","2008-10-20",9.63
"65","2008-10-21",9.84
"66","2008-10-22",9.55
"67","2008-10-23",9.57
"68","2008-10-24",8.58
"69","2008-10-27",8.43
"70","2008-10-28",8.68
"71","2008-10-29",8.69
"72","2008-10-30",8.15
"73","2008-10-31",8.38
"74","2008-11-03",9.06
"75","2008-11-04",9.15
"76","2008-11-05",9.08
"77","2008-11-06",8.26
"78","2008-11-07",8.67
"79","2008-11-10",7.6
"80","2008-11-11",8.18
"81","2008-11-12",7.5
"82","2008-11-13",8.23
"83","2008-11-14",7.71
"84","2008-11-17",7.81
"85","2008-11-18",7.93
"86","2008-11-19",7.94
"87","2008-11-20",5.86
"88","2008-11-21",7.32
"89","2008-11-24",7.86
"90","2008-11-25",8.39
"91","2008-11-26",7.6
"92","2008-11-28",8.73
"93","2008-12-01",7.35
"94","2008-12-02",8.73
"95","2008-12-03",8.1
"96","2008-12-04",8.42
"97","2008-12-05",8.1
"98","2008-12-08",8.6
"99","2008-12-09",8.54
"100","2008-12-10",7.89
"101","2008-12-11",8.49
"102","2008-12-12",7.78
"103","2008-12-15",8.72
"104","2008-12-16",9
"105","2008-12-17",8.5
"106","2008-12-18",9.01
"107","2008-12-19",9.15
"108","2008-12-22",8.88
"109","2008-12-23",9.22
"110","2008-12-24",8.14
"111","2008-12-26",8.23
"112","2008-12-29",7.69
"113","2008-12-30",8.87
"114","2008-12-31",8.17
"115","2009-01-02",8.88
"116","2009-01-05",8.85
"117","2009-01-06",9.75
"118","2009-01-07",9.89
"119","2009-01-08",9.96
"120","2009-01-09",10.16
"121","2009-01-12",10.25
"122","2009-01-13",10.2
"123","2009-01-14",9.48
"124","2009-01-15",9.01
"125","2009-01-16",9.97
"126","2009-01-20",8.86
"127","2009-01-21",9.71
"128","2009-01-22",9.13
"129","2009-01-23",9.78
"130","2009-01-26",9.3
"131","2009-01-27",9.73
"132","2009-01-28",9.99
"133","2009-01-29",9.33
"134","2009-01-30",9.7
"135","2009-02-02",9.25
"136","2009-02-03",9.81
"137","2009-02-04",9.53
"138","2009-02-05",10.44
"139","2009-02-06",10.3
"140","2009-02-09",10.16
"141","2009-02-10",10.78
"142","2009-02-11",10.68
"143","2009-02-12",10.6
"144","2009-02-13",10.92
"145","2009-02-17",10.03
"146","2009-02-18",10.07
"147","2009-02-19",10.3
"148","2009-02-20",10.09
"149","2009-02-23",10
"150","2009-02-24",10.93
"151","2009-02-25",9.72
"152","2009-02-26",9.87
"153","2009-02-27",9.69
"154","2009-03-02",9.01
"155","2009-03-03",9.1
"156","2009-03-04",9.18
"157","2009-03-05",8.83
"158","2009-03-06",8.85
"159","2009-03-09",9.42
"160","2009-03-10",9.76
"161","2009-03-11",9.87
"162","2009-03-12",10.33
"163","2009-03-13",10.21
"164","2009-03-16",10.15
"165","2009-03-17",10.59
"166","2009-03-18",10.39
"167","2009-03-19",11.44
"168","2009-03-20",10.58
"169","2009-03-23",10.93
"170","2009-03-24",11.35
"171","2009-03-25",10.6
"172","2009-03-26",11.62
"173","2009-03-27",10.29
"174","2009-03-30",10.68
"175","2009-03-31",10.46
"176","2009-04-01",10.82
"177","2009-04-02",10.75
"178","2009-04-03",10.88
"179","2009-04-06",10.28
"180","2009-04-07",9.96
"181","2009-04-08",10.12
"182","2009-04-09",9.75
"183","2009-04-13",10.77
"184","2009-04-14",9.98
"185","2009-04-15",11.02
"186","2009-04-16",10.75
"187","2009-04-17",11.01
"188","2009-04-20",10.35
"189","2009-04-21",10.88
"190","2009-04-22",10.94
"191","2009-04-23",10.71
"192","2009-04-24",11.15
"193","2009-04-27",10.14
"194","2009-04-28",10.63
"195","2009-04-29",11.27
"196","2009-04-30",11.02
"197","2009-05-01",11.4
"198","2009-05-04",12.84
"199","2009-05-05",12.31
"200","2009-05-06",12.5
"201","2009-05-07",12.09
"202","2009-05-08",12.34
"203","2009-05-11",12.63
"204","2009-05-12",12.87
"205","2009-05-13",12.81
"206","2009-05-14",13.27
"207","2009-05-15",13.51
"208","2009-05-18",13.65
"209","2009-05-19",14.1
"210","2009-05-20",13.76
"211","2009-05-21",14.06
"212","2009-05-22",13.54
"213","2009-05-26",13.59
"214","2009-05-27",13.51
"215","2009-05-28",14.18
"216","2009-05-29",15.04
"217","2009-06-01",14.95
"218","2009-06-02",14.93
"219","2009-06-03",14.37
"220","2009-06-04",14.38
"221","2009-06-05",14.81
"222","2009-06-08",14.97
"223","2009-06-09",14.92
"224","2009-06-10",14.6
"225","2009-06-11",14.47
"226","2009-06-12",14.25
"227","2009-06-15",13.47
"228","2009-06-16",13.42
"229","2009-06-17",13.24
"230","2009-06-18",13.6
"231","2009-06-19",13.46
"232","2009-06-22",12.61
"233","2009-06-23",11.95
"234","2009-06-24",11.26
"235","2009-06-25",11.85
"236","2009-06-26",13.52
"237","2009-06-29",12.77
"238","2009-06-30",12.52
"239","2009-07-01",12.88
"240","2009-07-02",12.6
"241","2009-07-06",11.63
"242","2009-07-07",12.25
"243","2009-07-08",12.75
"244","2009-07-09",12.45
"245","2009-07-10",12.55
"246","2009-07-13",13
"247","2009-07-14",12.36
"248","2009-07-15",12.79
"249","2009-07-16",13.43
"250","2009-07-17",12.85
"251","2009-07-20",12.41
"252","2009-07-21",13.6
"253","2009-07-22",13.26
"254","2009-07-23",14.16
"255","2009-07-24",14.37
"256","2009-07-27",14.21
"257","2009-07-28",14.18
"258","2009-07-29",13.77
"259","2009-07-30",13.81
"260","2009-07-31",13.86
"261","2009-08-03",14.63
"262","2009-08-04",15.7
"263","2009-08-05",15.71
"264","2009-08-06",15.74
"265","2009-08-07",15.84
"266","2009-08-10",15.9
"267","2009-08-11",16.139999
"268","2009-08-12",16.9
"269","2009-08-13",17.09
"270","2009-08-14",17.02
"271","2009-08-17",16.67
"272","2009-08-18",17.17
"273","2009-08-19",16.75
"274","2009-08-20",17.76
"275","2009-08-21",18
"276","2009-08-24",18.049999
"277","2009-08-25",17.860001
"278","2009-08-26",17.469999
"279","2009-08-27",17.65
"280","2009-08-28",17.309999
"281","2009-08-31",16.690001
"282","2009-09-01",16.5
"283","2009-09-02",16.68
"284","2009-09-03",17.16
"285","2009-09-04",17.610001
"286","2009-09-08",17.540001
"287","2009-09-09",17.66
"288","2009-09-10",17.6
"289","2009-09-11",17.610001
"290","2009-09-14",17.549999
"291","2009-09-15",17.84
"292","2009-09-16",18.139999
"293","2009-09-17",18.49
"294","2009-09-18",18.9
"295","2009-09-21",18.58
"296","2009-09-22",18.690001
"297","2009-09-23",18.549999
"298","2009-09-24",18.200001
"299","2009-09-25",17.629999
"300","2009-09-28",19.07
"301","2009-09-29",18.41
"302","2009-09-30",18.17
"303","2009-10-01",16.9
"304","2009-10-02",17.280001
"305","2009-10-05",17.65
"306","2009-10-06",17.969999
"307","2009-10-07",17.450001
"308","2009-10-08",17.65
"309","2009-10-09",18.43
"310","2009-10-12",17.85
"311","2009-10-13",18.200001
"312","2009-10-14",18.08
"313","2009-10-15",18.360001
"314","2009-10-16",18.190001
"315","2009-10-19",18.82
"316","2009-10-20",18.209999
"317","2009-10-21",18.1
"318","2009-10-22",18.48
"319","2009-10-23",17.74
"320","2009-10-26",17.209999
"321","2009-10-27",16.860001
"322","2009-10-28",16.389999
"323","2009-10-29",16.549999
"324","2009-10-30",16.42
"325","2009-11-02",16.690001
"326","2009-11-03",17.139999
"327","2009-11-04",16.93
"328","2009-11-05",17.610001
"329","2009-11-06",18.18
"330","2009-11-09",18.34
"331","2009-11-10",18.139999
"332","2009-11-11",18.030001
"333","2009-11-12",17.25
"334","2009-11-13",17.52
"335","2009-11-16",18.41
"336","2009-11-17",18.16
"337","2009-11-18",18.219999
"338","2009-11-19",17.469999
"339","2009-11-20",17.110001
"340","2009-11-23",17.709999
"341","2009-11-24",17.549999
"342","2009-11-25",18.299999
"343","2009-11-27",17.26
"344","2009-11-30",17.17
"345","2009-12-01",17.559999
"346","2009-12-02",18.459999
"347","2009-12-03",18.129999
"348","2009-12-04",18.1
"349","2009-12-07",17.690001
"350","2009-12-08",17.42
"351","2009-12-09",17.43
"352","2009-12-10",17.17
"353","2009-12-11",17.049999
"354","2009-12-14",17.02
"355","2009-12-15",16.65
"356","2009-12-16",16.5
"357","2009-12-17",16.34
"358","2009-12-18",16.01
"359","2009-12-21",16.190001
"360","2009-12-22",16.360001
"361","2009-12-23",16.870001
"362","2009-12-24",16.98
"363","2009-12-28",16.93
"364","2009-12-29",16.93
"365","2009-12-30",17.26
"366","2009-12-31",17.01
"367","2010-01-04",17.6
"368","2010-01-05",17.1
"369","2010-01-06",16.290001
"370","2010-01-07",16.59
"371","2010-01-08",16.870001
"372","2010-01-11",16.700001
"373","2010-01-12",16.530001
"374","2010-01-13",16.75
"375","2010-01-14",16.84
"376","2010-01-15",16.92
"377","2010-01-19",17.389999
"378","2010-01-20",16.74
"379","2010-01-21",16.549999
"380","2010-01-22",16.5
"381","2010-01-25",16.559999
"382","2010-01-26",16.35
"383","2010-01-27",16.73
"384","2010-01-28",16.379999
"385","2010-01-29",16.49
"386","2010-02-01",16.219999
"387","2010-02-02",16.26
"388","2010-02-03",16.57
"389","2010-02-04",16.040001
"390","2010-02-05",16.25
"391","2010-02-08",15.67
"392","2010-02-09",15.77
"393","2010-02-10",16.08
"394","2010-02-11",16.25
"395","2010-02-12",16.58
"396","2010-02-16",16.58
"397","2010-02-17",16.68
"398","2010-02-18",16.9
"399","2010-02-19",17.299999
"400","2010-02-22",17.440001
"401","2010-02-23",16.530001
"402","2010-02-24",16.389999
"403","2010-02-25",16.5
"404","2010-02-26",16.35
"405","2010-03-01",16.610001
"406","2010-03-02",17.1
"407","2010-03-03",17.23
"408","2010-03-04",17.799999
"409","2010-03-05",18.25
"410","2010-03-08",18.219999
"411","2010-03-09",18.24
"412","2010-03-10",18.299999
"413","2010-03-11",18.02
"414","2010-03-12",18.370001
"415","2010-03-15",18.16
"416","2010-03-16",18.5
"417","2010-03-17",18.709999
"418","2010-03-18",18.309999
"419","2010-03-19",17.709999
"420","2010-03-22",18.27
"421","2010-03-23",18.719999
"422","2010-03-24",17.799999
"423","2010-03-25",17.620001
"424","2010-03-26",17.77
"425","2010-03-29",17.91
"426","2010-03-30",17.940001
"427","2010-03-31",17.540001
"428","2010-04-01",17.959999
"429","2010-04-05",18.620001
"430","2010-04-06",18.280001
"431","2010-04-07",18.139999
"432","2010-04-08",18.049999
"433","2010-04-09",17.82
"434","2010-04-12",18.030001
"435","2010-04-13",18.200001
"436","2010-04-14",18.68
"437","2010-04-15",18.610001
"438","2010-04-16",18.34
"439","2010-04-19",18.75
"440","2010-04-20",19.110001
"441","2010-04-21",19.1
"442","2010-04-22",19.129999
"443","2010-04-23",19.27
"444","2010-04-26",19.280001
"445","2010-04-27",18.32
"446","2010-04-28",18.200001
"447","2010-04-29",18.68
"448","2010-04-30",18.370001
"449","2010-05-03",19.35
"450","2010-05-04",18.059999
"451","2010-05-05",17.66
"452","2010-05-06",17.200001
"453","2010-05-07",16.530001
"454","2010-05-10",18.129999
"455","2010-05-11",17.530001
"456","2010-05-12",18.73
"457","2010-05-13",18.280001
