"","date","PZN"
"1","2007-10-25",20.09
"2","2007-10-26",19.6
"3","2007-10-29",19.620001
"4","2007-10-30",19.440001
"5","2007-10-31",19.379999
"6","2007-11-01",18.25
"7","2007-11-02",17.49
"8","2007-11-05",16.799999
"9","2007-11-06",16.75
"10","2007-11-07",15.49
"11","2007-11-08",15.4
"12","2007-11-09",15.37
"13","2007-11-12",15.55
"14","2007-11-13",16.700001
"15","2007-11-14",16.35
"16","2007-11-15",15.31
"17","2007-11-16",13.75
"18","2007-11-19",13.62
"19","2007-11-20",12.8
"20","2007-11-21",13.72
"21","2007-11-23",13.86
"22","2007-11-26",11.79
"23","2007-11-27",10.84
"24","2007-11-28",12
"25","2007-11-29",11.85
"26","2007-11-30",12.7
"27","2007-12-03",13.26
"28","2007-12-04",12.9
"29","2007-12-05",12.26
"30","2007-12-06",12.47
"31","2007-12-07",12.75
"32","2007-12-10",13
"33","2007-12-11",12.48
"34","2007-12-12",12.15
"35","2007-12-13",11.91
"36","2007-12-14",12.1
"37","2007-12-17",11.4
"38","2007-12-18",11.1
"39","2007-12-19",10.67
"40","2007-12-20",10.66
"41","2007-12-21",10.55
"42","2007-12-24",11.87
"43","2007-12-26",12.17
"44","2007-12-27",11.55
"45","2007-12-28",11.23
"46","2007-12-31",11.4
"47","2008-01-02",11.39
"48","2008-01-03",11.18
"49","2008-01-04",10.75
"50","2008-01-07",11.06
"51","2008-01-08",10.87
"52","2008-01-09",10.99
"53","2008-01-10",11.46
"54","2008-01-11",9.98
"55","2008-01-14",9.81
"56","2008-01-15",10.01
"57","2008-01-16",10.11
"58","2008-01-17",9.34
"59","2008-01-18",9.24
"60","2008-01-22",9.95
"61","2008-01-23",10.45
"62","2008-01-24",10.56
"63","2008-01-25",10.72
"64","2008-01-28",11.15
"65","2008-01-29",11.31
"66","2008-01-30",11.22
"67","2008-01-31",13.75
"68","2008-02-01",12.54
"69","2008-02-04",12.75
"70","2008-02-05",12.8
"71","2008-02-06",11.47
"72","2008-02-07",11.91
"73","2008-02-08",11.87
"74","2008-02-11",11.51
"75","2008-02-12",11.72
"76","2008-02-13",11.85
"77","2008-02-14",12.2
"78","2008-02-15",12.24
"79","2008-02-19",11.24
"80","2008-02-20",11.35
"81","2008-02-21",11.22
"82","2008-02-22",11.17
"83","2008-02-25",11
"84","2008-02-26",10.95
"85","2008-02-27",11.24
"86","2008-02-28",11.82
"87","2008-02-29",10.88
"88","2008-03-03",10.57
"89","2008-03-04",10.04
"90","2008-03-05",10
"91","2008-03-06",9.7
"92","2008-03-07",9.2
"93","2008-03-10",8.55
"94","2008-03-11",9.15
"95","2008-03-12",8.98
"96","2008-03-13",9.18
"97","2008-03-14",9.42
"98","2008-03-17",8.9
"99","2008-03-18",9.8
"100","2008-03-19",9.96
"101","2008-03-20",11.55
"102","2008-03-24",12.66
"103","2008-03-25",12.64
"104","2008-03-26",12.61
"105","2008-03-27",12.17
"106","2008-03-28",11.45
"107","2008-03-31",11.32
"108","2008-04-01",11.87
"109","2008-04-02",11.82
"110","2008-04-03",11.53
"111","2008-04-04",11.14
"112","2008-04-07",11.52
"113","2008-04-08",11.69
"114","2008-04-09",11.38
"115","2008-04-10",10.94
"116","2008-04-11",11.03
"117","2008-04-14",10.9
"118","2008-04-15",10.18
"119","2008-04-16",11.26
"120","2008-04-17",10.89
"121","2008-04-18",12
"122","2008-04-21",11.64
"123","2008-04-22",11.52
"124","2008-04-23",11.99
"125","2008-04-24",12
"126","2008-04-25",12.3
"127","2008-04-28",11.98
"128","2008-04-29",12.11
"129","2008-04-30",12.15
"130","2008-05-01",12.53
"131","2008-05-02",12.82
"132","2008-05-05",12.54
"133","2008-05-06",13.12
"134","2008-05-07",13.17
"135","2008-05-08",13.3
