"","date","TPRE"
"1","2013-08-15",13.06
"2","2013-08-16",13.3
"3","2013-08-19",13.07
"4","2013-08-20",12.96
"5","2013-08-21",13.16
"6","2013-08-22",13.25
"7","2013-08-23",13.35
"8","2013-08-26",13.41
"9","2013-08-27",13.26
"10","2013-08-28",12.94
"11","2013-08-29",13.05
"12","2013-08-30",13.19
"13","2013-09-03",13.29
"14","2013-09-04",13.1
"15","2013-09-05",13.03
"16","2013-09-06",12.88
"17","2013-09-09",13.01
"18","2013-09-10",13.25
"19","2013-09-11",13.2
"20","2013-09-12",13.2
"21","2013-09-13",13.32
"22","2013-09-16",13.74
"23","2013-09-17",13.87
"24","2013-09-18",13.88
"25","2013-09-19",13.81
"26","2013-09-20",13.79
"27","2013-09-23",14.03
"28","2013-09-24",14.04
"29","2013-09-25",14.08
"30","2013-09-26",14.55
"31","2013-09-27",14.58
"32","2013-09-30",14.49
"33","2013-10-01",14.94
"34","2013-10-02",14.85
"35","2013-10-03",14.46
"36","2013-10-04",14.44
"37","2013-10-07",14.75
"38","2013-10-08",14.67
"39","2013-10-09",14.64
"40","2013-10-10",14.9
"41","2013-10-11",15.03
"42","2013-10-14",15.29
"43","2013-10-15",15.35
"44","2013-10-16",15.35
"45","2013-10-17",15.51
"46","2013-10-18",15.57
"47","2013-10-21",15.66
"48","2013-10-22",15.96
"49","2013-10-23",15.9
"50","2013-10-24",15.98
"51","2013-10-25",15.9
"52","2013-10-28",15.75
"53","2013-10-29",15.97
"54","2013-10-30",15.9
"55","2013-10-31",15.6
"56","2013-11-01",15.22
"57","2013-11-04",15.38
"58","2013-11-05",15.72
"59","2013-11-06",15.75
"60","2013-11-07",15.79
"61","2013-11-08",15.58
"62","2013-11-11",15.12
"63","2013-11-12",15.1
"64","2013-11-13",15.34
"65","2013-11-14",15.03
"66","2013-11-15",15.03
"67","2013-11-18",15.33
"68","2013-11-19",16.209999
"69","2013-11-20",15.82
"70","2013-11-21",16.209999
"71","2013-11-22",16.450001
"72","2013-11-25",16.719999
"73","2013-11-26",16.780001
"74","2013-11-27",16.76
"75","2013-11-29",16.66
"76","2013-12-02",16.629999
"77","2013-12-03",16.459999
"78","2013-12-04",16.809999
"79","2013-12-05",16.969999
"80","2013-12-06",17.559999
"81","2013-12-09",17.26
"82","2013-12-10",16.9
"83","2013-12-11",16.459999
"84","2013-12-12",16.43
"85","2013-12-13",16.190001
"86","2013-12-16",16.52
"87","2013-12-17",16.73
"88","2013-12-18",16.67
"89","2013-12-19",17.200001
"90","2013-12-20",18.52
"91","2013-12-23",18.08
"92","2013-12-24",18.709999
"93","2013-12-26",18.280001
"94","2013-12-27",18.35
"95","2013-12-30",18.110001
"96","2013-12-31",18.530001
"97","2014-01-02",18.26
"98","2014-01-03",18.1
"99","2014-01-06",17.540001
"100","2014-01-07",17.959999
"101","2014-01-08",17.4
"102","2014-01-09",16.950001
"103","2014-01-10",16.780001
"104","2014-01-13",16.48
"105","2014-01-14",16.799999
"106","2014-01-15",17.42
"107","2014-01-16",17.209999
"108","2014-01-17",17.1
"109","2014-01-21",17.209999
"110","2014-01-22",17.66
"111","2014-01-23",16.99
"112","2014-01-24",16.299999
"113","2014-01-27",16.17
"114","2014-01-28",16.25
"115","2014-01-29",15.61
"116","2014-01-30",16.1
"117","2014-01-31",15.97
"118","2014-02-03",15.78
"119","2014-02-04",15.57
"120","2014-02-05",15.33
"121","2014-02-06",15.71
"122","2014-02-07",15.8
"123","2014-02-10",15.55
"124","2014-02-11",15.9
"125","2014-02-12",16.030001
"126","2014-02-13",15.94
"127","2014-02-14",15.79
"128","2014-02-18",15.6
"129","2014-02-19",15.53
"130","2014-02-20",15.18
"131","2014-02-21",15.44
"132","2014-02-24",15.4
"133","2014-02-25",15.05
"134","2014-02-26",15.07
"135","2014-02-27",15
"136","2014-02-28",15
"137","2014-03-03",15.13
"138","2014-03-04",15.65
"139","2014-03-05",15.72
"140","2014-03-06",15.77
"141","2014-03-07",15.85
"142","2014-03-10",15.93
"143","2014-03-11",15.75
"144","2014-03-12",15.78
"145","2014-03-13",15.64
"146","2014-03-14",15.78
"147","2014-03-17",15.72
"148","2014-03-18",15.81
"149","2014-03-19",15.7
"150","2014-03-20",15.79
"151","2014-03-21",16.01
"152","2014-03-24",15.99
"153","2014-03-25",15.8
"154","2014-03-26",15.75
"155","2014-03-27",15.79
"156","2014-03-28",15.84
"157","2014-03-31",15.85
"158","2014-04-01",16
"159","2014-04-02",16.309999
"160","2014-04-03",16.84
"161","2014-04-04",16.780001
"162","2014-04-07",16.35
"163","2014-04-08",16.620001
"164","2014-04-09",16.610001
"165","2014-04-10",16.48
"166","2014-04-11",15.96
"167","2014-04-14",15.9
"168","2014-04-15",15.79
"169","2014-04-16",15.96
"170","2014-04-17",16
"171","2014-04-21",15.89
"172","2014-04-22",16.200001
"173","2014-04-23",16.01
"174","2014-04-24",16.299999
"175","2014-04-25",15.88
"176","2014-04-28",15.74
"177","2014-04-29",15.6
"178","2014-04-30",15.64
"179","2014-05-01",15.94
"180","2014-05-02",15.93
"181","2014-05-05",15.75
"182","2014-05-06",15.4
"183","2014-05-07",15.41
"184","2014-05-08",15.75
"185","2014-05-09",15.73
"186","2014-05-12",16.030001
"187","2014-05-13",15.7
"188","2014-05-14",15.21
"189","2014-05-15",14.93
"190","2014-05-16",14.87
"191","2014-05-19",15.17
"192","2014-05-20",14.9
"193","2014-05-21",14.79
"194","2014-05-22",14.77
"195","2014-05-23",14.84
"196","2014-05-27",15.26
"197","2014-05-28",15.37
"198","2014-05-29",15.37
"199","2014-05-30",15.25
"200","2014-06-02",15.19
"201","2014-06-03",15.19
"202","2014-06-04",15.23
"203","2014-06-05",15.38
"204","2014-06-06",15.68
"205","2014-06-09",15.6
"206","2014-06-10",15.52
"207","2014-06-11",15.35
"208","2014-06-12",15.28
"209","2014-06-13",15.15
"210","2014-06-16",15.63
"211","2014-06-17",15.73
"212","2014-06-18",15.7
"213","2014-06-19",15.61
"214","2014-06-20",15.75
"215","2014-06-23",15.49
"216","2014-06-24",15.41
"217","2014-06-25",15.63
"218","2014-06-26",15.37
"219","2014-06-27",15.29
"220","2014-06-30",15.26
"221","2014-07-01",15.66
"222","2014-07-02",15.59
"223","2014-07-03",15.71
"224","2014-07-07",15.88
"225","2014-07-08",16
"226","2014-07-09",15.86
"227","2014-07-10",15.83
"228","2014-07-11",15.78
"229","2014-07-14",16.02
"230","2014-07-15",15.83
"231","2014-07-16",15.79
"232","2014-07-17",15.45
"233","2014-07-18",15.5
"234","2014-07-21",15.5
"235","2014-07-22",15.5
"236","2014-07-23",15.63
"237","2014-07-24",15.45
"238","2014-07-25",15.18
"239","2014-07-28",15.19
"240","2014-07-29",15.05
"241","2014-07-30",14.91
"242","2014-07-31",14.56
"243","2014-08-01",14.86
