"","date","CMCT"
"193","2007-10-08",196.350006
"194","2007-10-09",195.300003
"195","2007-10-10",196.5
"196","2007-10-11",198.300003
"197","2007-10-12",199.949997
"198","2007-10-15",199.949997
"199","2007-10-16",199.5
"200","2007-10-17",201.300003
"201","2007-10-18",199.5
"202","2007-10-19",199.5
"203","2007-10-22",199.5
"204","2007-10-23",198
"205","2007-10-24",193.949997
"206","2007-10-25",192.149994
"207","2007-10-26",192.75
"208","2007-10-29",195.300003
"209","2007-10-30",192.899994
"210","2007-10-31",196.050003
"211","2007-11-01",197.100006
"212","2007-11-02",196.5
"213","2007-11-05",197.550003
"214","2007-11-06",194.100006
"215","2007-11-07",191.100006
"216","2007-11-08",188.850006
"217","2007-11-09",184.350006
"218","2007-11-12",185.399994
"219","2007-11-13",187.5
"220","2007-11-14",196.350006
"221","2007-11-15",196.649994
"222","2007-11-16",192.149994
"223","2007-11-19",186
"224","2007-11-20",185.100006
"225","2007-11-21",184.5
"226","2007-11-23",186
"227","2007-11-26",181.5
"228","2007-11-27",180.75
"229","2007-11-28",180.449997
"230","2007-11-29",176.399994
"231","2007-11-30",180
"232","2007-12-03",185.550003
"233","2007-12-04",187.050003
"234","2007-12-05",185.699997
"235","2007-12-06",184.949997
"236","2007-12-07",184.649994
"237","2007-12-10",187.800003
"238","2007-12-11",186.75
"239","2007-12-12",187.5
"240","2007-12-13",185.850006
"241","2007-12-14",180.75
"242","2007-12-17",180.899994
"243","2007-12-18",178.350006
"244","2007-12-19",175.649994
"245","2007-12-20",175.800003
"246","2007-12-21",174.149994
"247","2007-12-24",176.850006
"248","2007-12-26",175.050003
"249","2007-12-27",171.149994
"250","2007-12-28",168.75
"251","2007-12-31",161.399994
"252","2008-01-02",165.75
"253","2008-01-03",163.649994
"254","2008-01-04",161.399994
"255","2008-01-07",162.449997
"256","2008-01-08",160.800003
"257","2008-01-09",161.25
"258","2008-01-10",162.449997
"259","2008-01-11",160.649994
"260","2008-01-14",158.25
"261","2008-01-15",153.75
"262","2008-01-16",150.75
"263","2008-01-17",150.75
"264","2008-01-18",146.25
"265","2008-01-22",144.149994
"266","2008-01-23",143.25
"267","2008-01-24",147
"268","2008-01-25",151.5
"269","2008-01-28",149.25
"270","2008-01-29",149.850006
"271","2008-01-30",157.350006
"272","2008-01-31",154.5
"273","2008-02-01",158.25
"274","2008-02-04",162
"275","2008-02-05",159.75
"276","2008-02-06",152.25
"277","2008-02-07",150.75
"278","2008-02-08",156.300003
"279","2008-02-11",155.850006
"280","2008-02-12",158.100006
"281","2008-02-13",156.149994
"282","2008-02-14",158.100006
"283","2008-02-15",159
"284","2008-02-19",157.5
"285","2008-02-20",156
"286","2008-02-21",156.149994
"287","2008-02-22",155.25
"288","2008-02-25",152.25
"289","2008-02-26",157.5
"290","2008-02-27",155.25
"291","2008-02-28",158.25
"292","2008-02-29",156.75
"293","2008-03-03",153.75
"294","2008-03-04",149.25
"295","2008-03-05",149.25
"296","2008-03-06",149.550003
"297","2008-03-07",144
"298","2008-03-10",141.149994
"299","2008-03-11",141.149994
"300","2008-03-12",141.75
"301","2008-03-13",139.199997
"302","2008-03-14",135
"303","2008-03-17",108.75
"304","2008-03-18",109.349998
"305","2008-03-19",113.25
"306","2008-03-20",109.5
"307","2008-03-24",104.849998
"308","2008-03-25",118.349998
"309","2008-03-26",123.75
"310","2008-03-27",115.199997
"311","2008-03-28",108.900002
"312","2008-03-31",105.150002
"313","2008-04-01",108
"314","2008-04-02",105
"315","2008-04-03",105
"316","2008-04-04",111.900002
"317","2008-04-07",117.449997
"318","2008-04-08",115.349998
"319","2008-04-09",114
"320","2008-04-10",115.199997
"321","2008-04-11",112.5
"322","2008-04-14",114.75
"323","2008-04-15",111.75
"324","2008-04-16",113.400002
"325","2008-04-17",113.400002
"326","2008-04-18",113.25
"327","2008-04-21",115.349998
"328","2008-04-22",112.5
"329","2008-04-23",111.75
"330","2008-04-24",109.349998
"331","2008-04-25",106.199997
"332","2008-04-28",105.599998
"333","2008-04-29",104.400002
"334","2008-04-30",105.300003
"335","2008-05-01",105
"336","2008-05-02",109.800003
"337","2008-05-05",111.449997
"338","2008-05-06",112.199997
"339","2008-05-07",109.5
"340","2008-05-08",109.949997
"341","2008-05-09",109.800003
"342","2008-05-12",117
"343","2008-05-13",121.5
"344","2008-05-14",120
"345","2008-05-15",118.199997
"346","2008-05-16",118.5
"347","2008-05-19",116.699997
"348","2008-05-20",117.75
"349","2008-05-21",116.25
"350","2008-05-22",114.75
"351","2008-05-23",114.900002
"352","2008-05-27",117
"353","2008-05-28",119.25
"354","2008-05-29",117
"355","2008-05-30",117.300003
"356","2008-06-02",116.25
"357","2008-06-03",116.849998
"358","2008-06-04",116.25
"359","2008-06-05",116.099998
"360","2008-06-06",116.400002
"361","2008-06-09",115.949997
"362","2008-06-10",116.25
"363","2008-06-11",114.150002
"364","2008-06-12",114.449997
"365","2008-06-13",114.75
"366","2008-06-16",115.5
"367","2008-06-17",119.699997
"368","2008-06-18",122.849998
"369","2008-06-19",125.25
"370","2008-06-20",123.300003
"371","2008-06-23",128.699997
"372","2008-06-24",128.699997
"373","2008-06-25",126.75
"374","2008-06-26",123
"375","2008-06-27",122.25
"376","2008-06-30",120
"377","2008-07-01",118.5
"378","2008-07-02",117
"379","2008-07-03",117.599998
"380","2008-07-07",119.25
"381","2008-07-08",119.25
"382","2008-07-09",124.5
"383","2008-07-10",125.699997
"384","2008-07-11",117.900002
"385","2008-07-14",114.300003
"386","2008-07-15",112.650002
"387","2008-07-16",111.449997
"388","2008-07-17",113.25
"389","2008-07-18",118.650002
"390","2008-07-21",123.300003
"391","2008-07-22",121.199997
"392","2008-07-23",120
"393","2008-07-24",119.099998
"394","2008-07-25",116.25
"395","2008-07-28",121.349998
"396","2008-07-29",118.800003
"397","2008-07-30",117.75
"398","2008-07-31",118.650002
"399","2008-08-01",120.75
"400","2008-08-04",123
"401","2008-08-05",123
"402","2008-08-06",121.5
"403","2008-08-07",118.5
"404","2008-08-08",118.800003
"405","2008-08-11",118.5
"406","2008-08-12",117.75
"407","2008-08-13",117.900002
"408","2008-08-14",120
"409","2008-08-15",120
"410","2008-08-18",121.5
"411","2008-08-19",122.099998
"412","2008-08-20",121.650002
"413","2008-08-21",122.25
"414","2008-08-22",124.949997
"415","2008-08-25",121.650002
"416","2008-08-26",122.25
"417","2008-08-27",122.25
"418","2008-08-28",122.25
"419","2008-08-29",123
"420","2008-09-02",122.400002
"421","2008-09-03",122.400002
"422","2008-09-04",123
"423","2008-09-05",123
"424","2008-09-08",124.199997
"425","2008-09-09",125.25
"426","2008-09-10",126.75
"427","2008-09-11",126.599998
"428","2008-09-12",126.75
"429","2008-09-15",123
"430","2008-09-16",120.900002
"431","2008-09-17",118.949997
"432","2008-09-18",118.650002
"433","2008-09-19",122.25
"434","2008-09-22",120
"435","2008-09-23",118.650002
"436","2008-09-24",120.150002
"437","2008-09-25",121.5
"438","2008-09-26",120.75
"439","2008-09-29",114
"440","2008-09-30",109.5
"441","2008-10-01",112.5
"442","2008-10-02",112.949997
"443","2008-10-03",112.5
"444","2008-10-06",104.699997
"445","2008-10-07",98.550003
"446","2008-10-08",91.5
"447","2008-10-09",90
"448","2008-10-10",74.25
"449","2008-10-13",92.25
"450","2008-10-14",95.400002
"451","2008-10-15",95.550003
"452","2008-10-16",97.5
"453","2008-10-17",100.050003
"454","2008-10-20",106.5
"455","2008-10-21",115.349998
"456","2008-10-22",118.050003
"457","2008-10-23",111.75
"458","2008-10-24",112.5
"459","2008-10-27",117
"460","2008-10-28",120
"461","2008-10-29",123.300003
"462","2008-10-30",120.75
"463","2008-10-31",135
"464","2008-11-03",134.399994
"465","2008-11-04",135
"466","2008-11-05",131.25
"467","2008-11-06",120.599998
"468","2008-11-07",116.25
"469","2008-11-10",108
"470","2008-11-11",113.25
"471","2008-11-12",112.949997
"472","2008-11-13",117.75
"473","2008-11-14",112.650002
"474","2008-11-17",105.75
"475","2008-11-18",116.25
"476","2008-11-19",106.5
"477","2008-11-20",104.25
"478","2008-11-21",93.75
"479","2008-11-24",90.75
"480","2008-11-25",96.599998
"481","2008-11-26",98.25
"482","2008-11-28",100.5
"483","2008-12-01",96.150002
"484","2008-12-02",96
"485","2008-12-03",95.550003
"486","2008-12-04",94.199997
"487","2008-12-05",97.949997
"488","2008-12-08",99.75
"489","2008-12-09",101.849998
"490","2008-12-10",105.75
"491","2008-12-11",107.400002
"492","2008-12-12",110.25
"493","2008-12-15",108
"494","2008-12-16",107.849998
"495","2008-12-17",105
"496","2008-12-18",104.25
"497","2008-12-19",106.5
"498","2008-12-22",108
"499","2008-12-23",110.400002
"500","2008-12-24",111.900002
"501","2008-12-26",114
"502","2008-12-29",100.800003
"503","2008-12-30",101.099998
"504","2008-12-31",111.75
"505","2009-01-02",111.75
"506","2009-01-05",110.550003
"507","2009-01-06",109.349998
"508","2009-01-07",116.25
"509","2009-01-08",114.75
"510","2009-01-09",116.849998
"511","2009-01-12",120.75
"512","2009-01-13",120
"513","2009-01-14",121.199997
"514","2009-01-15",118.5
"515","2009-01-16",112.949997
"516","2009-01-20",105
"517","2009-01-21",111.75
"518","2009-01-22",109.199997
"519","2009-01-23",108.900002
"520","2009-01-26",108.300003
"521","2009-01-27",106.650002
"522","2009-01-28",107.099998
"523","2009-01-29",108
"524","2009-01-30",109.949997
"525","2009-02-02",113.699997
"526","2009-02-03",112.650002
"527","2009-02-04",110.400002
"528","2009-02-05",112.050003
"529","2009-02-06",109.949997
"530","2009-02-09",105.150002
"531","2009-02-10",108.75
"532","2009-02-11",111
"533","2009-02-12",108
"534","2009-02-13",105.75
"535","2009-02-17",104.25
"536","2009-02-18",103.800003
"537","2009-02-19",105.75
"538","2009-02-20",101.849998
"539","2009-02-23",101.400002
"540","2009-02-24",97.199997
"541","2009-02-25",97.199997
"542","2009-02-26",96
"543","2009-02-27",99
"544","2009-03-02",89.550003
"545","2009-03-03",84.449997
