"","date","PEAK"
"1","2007-01-03",33.606556
"2","2007-01-04",34.143898
"3","2007-01-05",34.153004
"4","2007-01-08",34.708561
"5","2007-01-09",34.890709
"6","2007-01-10",35.819672
"7","2007-01-11",35.819672
"8","2007-01-12",35.865208
"9","2007-01-16",35.883423
"10","2007-01-17",35.245903
"11","2007-01-18",35.40073
"12","2007-01-19",35.601093
"13","2007-01-22",35.591984
"14","2007-01-23",35.765026
"15","2007-01-24",35.701275
"16","2007-01-25",36.07468
"17","2007-01-26",36.174862
"18","2007-01-29",36.684883
"19","2007-01-30",37.176685
"20","2007-01-31",37.568306
"21","2007-02-01",37.540985
"22","2007-02-02",37.4408
"23","2007-02-05",37.495445
"24","2007-02-06",37.568306
"25","2007-02-07",38.142078
"26","2007-02-08",37.795994
"27","2007-02-09",37.249546
"28","2007-02-12",36.375229
"29","2007-02-13",36.693989
"30","2007-02-14",36.275047
"31","2007-02-15",35.974499
"32","2007-02-16",35.901638
"33","2007-02-20",36.457195
"34","2007-02-21",35.965393
"35","2007-02-22",35.373405
"36","2007-02-23",34.726776
"37","2007-02-26",34.353371
"38","2007-02-27",33.260475
"39","2007-02-28",33.424408
"40","2007-03-01",33.315117
"41","2007-03-02",33.260475
"42","2007-03-05",31.912569
"43","2007-03-06",33.415302
"44","2007-03-07",33.20583
"45","2007-03-08",34.134792
"46","2007-03-09",34.462658
"47","2007-03-12",34.854282
"48","2007-03-13",33.515484
"49","2007-03-14",33.078323
"50","2007-03-15",33.469944
"51","2007-03-16",33.169399
"52","2007-03-19",33.442623
"53","2007-03-20",33.315117
"54","2007-03-21",33.56102
"55","2007-03-22",33.342442
"56","2007-03-23",33.451729
"57","2007-03-26",33.24226
"58","2007-03-27",32.677597
"59","2007-03-28",32.51366
"60","2007-03-29",32.367943
"61","2007-03-30",32.814209
"62","2007-04-02",33.214935
"63","2007-04-03",33.24226
"64","2007-04-04",33.224045
"65","2007-04-05",33.014572
"66","2007-04-09",33.260475
"67","2007-04-10",33.515484
"68","2007-04-11",33.387978
"69","2007-04-12",32.969036
"70","2007-04-13",33.069218
"71","2007-04-16",33.315117
"72","2007-04-17",33.570129
"73","2007-04-18",33.724953
"74","2007-04-19",33.497269
"75","2007-04-20",33.24226
"76","2007-04-23",33.506374
"77","2007-04-24",33.023678
"78","2007-04-25",32.741348
"79","2007-04-26",32.732239
"80","2007-04-27",32.777779
"81","2007-04-30",32.231331
"82","2007-05-01",31.748634
"83","2007-05-02",32.012749
"84","2007-05-03",31.757742
"85","2007-05-04",31.302368
"86","2007-05-07",31.211294
"87","2007-05-08",31.411657
"88","2007-05-09",31.384335
"89","2007-05-10",30.628416
"90","2007-05-11",30.874317
"91","2007-05-14",30.300547
"92","2007-05-15",29.972677
"93","2007-05-16",29.207651
"94","2007-05-17",28.888889
"95","2007-05-18",28.688524
"96","2007-05-21",28.588343
"97","2007-05-22",28.970856
"98","2007-05-23",28.588343
"99","2007-05-24",28.369762
"100","2007-05-25",28.4153
"101","2007-05-29",29.180328
"102","2007-05-30",30.045538
"103","2007-05-31",29.754099
"104","2007-06-01",29.517303
"105","2007-06-04",29.371584
"106","2007-06-05",28.734062
"107","2007-06-06",28.816029
"108","2007-06-07",27.814207
"109","2007-06-08",27.786884
"110","2007-06-11",27.358833
"111","2007-06-12",26.930782
"112","2007-06-13",27.322405
"113","2007-06-14",26.821493
"114","2007-06-15",27.112932
"115","2007-06-18",26.375227
"116","2007-06-19",26.411657
"117","2007-06-20",26.038252
"118","2007-06-21",26.366119
"119","2007-06-22",26.229507
"120","2007-06-25",25.974499
"121","2007-06-26",25.856102
"122","2007-06-27",26.639345
"123","2007-06-28",26.712204
"124","2007-06-29",26.347906
"125","2007-07-02",27.049181
"126","2007-07-03",27.349728
"127","2007-07-05",27.732241
"128","2007-07-06",28.087431
"129","2007-07-09",28.051003
"130","2007-07-10",27.431694
"131","2007-07-11",27.094717
"132","2007-07-12",27.422586
"133","2007-07-13",27.805099
"134","2007-07-16",27.34062
"135","2007-07-17",27.149363
"136","2007-07-18",27.176685
"137","2007-07-19",27.185793
"138","2007-07-20",26.657558
"139","2007-07-23",25.75592
"140","2007-07-24",25
"141","2007-07-25",24.581057
"142","2007-07-26",24.061932
"143","2007-07-27",23.460838
"144","2007-07-30",23.888889
"145","2007-07-31",24.808743
"146","2007-08-01",24.562841
"147","2007-08-02",24.508196
"148","2007-08-03",23.533697
"149","2007-08-06",24.153006
"150","2007-08-07",24.990892
"151","2007-08-08",26.366119
"152","2007-08-09",25.564663
"153","2007-08-10",25.418943
"154","2007-08-13",24.435337
"155","2007-08-14",23.952641
"156","2007-08-15",23.907104
"157","2007-08-16",23.907104
"158","2007-08-17",25.455374
"159","2007-08-20",25.947176
"160","2007-08-21",25.701275
"161","2007-08-22",26.457195
"162","2007-08-23",26.730419
