"","date","ZIOP"
"1","2007-01-03",5.97
"2","2007-01-04",5.78
"3","2007-01-05",5.94
"4","2007-01-08",5.82
"5","2007-01-09",5.7
"6","2007-01-10",5.7
"7","2007-01-11",5.49
"8","2007-01-12",5.4
"9","2007-01-16",5.21
"10","2007-01-17",5.24
"11","2007-01-18",5.3
"12","2007-01-19",5.31
"13","2007-01-22",5.31
"14","2007-01-23",5.34
"15","2007-01-24",5.22
"16","2007-01-25",5.22
"17","2007-01-26",5.47
"18","2007-01-29",5.3
"19","2007-01-30",5.33
"20","2007-01-31",5.33
"21","2007-02-01",5.3
"22","2007-02-02",5.19
"23","2007-02-05",4.9
"24","2007-02-06",4.52
"25","2007-02-07",4.85
"26","2007-02-08",5.15
"27","2007-02-09",5.13
"28","2007-02-12",5.13
"29","2007-02-13",5.2
"30","2007-02-14",5.18
"31","2007-02-15",5.2
"32","2007-02-16",5.45
"33","2007-02-20",5.45
"34","2007-02-21",5.45
"35","2007-02-22",5.5
"36","2007-02-23",5.5
"37","2007-02-26",5.49
"38","2007-02-27",5.4
"39","2007-02-28",5.3
"40","2007-03-01",5.13
"41","2007-03-02",5.11
"42","2007-03-05",5.02
"43","2007-03-06",5.15
"44","2007-03-07",4.99
"45","2007-03-08",4.9
"46","2007-03-09",4.92
"47","2007-03-12",4.9
"48","2007-03-13",4.96
"49","2007-03-14",4.9
"50","2007-03-15",5.18
"51","2007-03-16",5.27
"52","2007-03-19",5.2
"53","2007-03-20",5.05
"54","2007-03-21",5.5
"55","2007-03-22",5.62
"56","2007-03-23",5.65
"57","2007-03-26",5.5
"58","2007-03-27",5.4
"59","2007-03-28",5.17
"60","2007-03-29",5.07
"61","2007-03-30",5.11
"62","2007-04-02",5.14
"63","2007-04-03",5.15
"64","2007-04-04",5.08
"65","2007-04-05",5.07
"66","2007-04-09",5.07
"67","2007-04-10",5.05
"68","2007-04-11",5.09
"69","2007-04-12",5.05
"70","2007-04-13",5.05
"71","2007-04-16",5.08
"72","2007-04-17",5.12
"73","2007-04-18",5
"74","2007-04-19",4.81
"75","2007-04-20",4.89
"76","2007-04-23",4.85
"77","2007-04-24",4.98
"78","2007-04-25",5
"79","2007-04-26",5.3
"80","2007-04-27",5.1
"81","2007-04-30",5.36
"82","2007-05-01",5.22
"83","2007-05-02",5.8
"84","2007-05-03",5.61
"85","2007-05-04",5.76
"86","2007-05-07",5.4
"87","2007-05-08",5.21
"88","2007-05-09",5.19
"89","2007-05-10",5.06
"90","2007-05-11",5.06
"91","2007-05-14",4.95
"92","2007-05-15",4.84
"93","2007-05-16",4.82
"94","2007-05-17",4.75
"95","2007-05-18",4.8
"96","2007-05-21",4.84
"97","2007-05-22",4.76
"98","2007-05-23",4.8
"99","2007-05-24",4.74
"100","2007-05-25",4.9
"101","2007-05-29",5
"102","2007-05-30",5
"103","2007-05-31",5.3
"104","2007-06-01",5.15
"105","2007-06-04",5.2
"106","2007-06-05",5.01
"107","2007-06-06",4.89
"108","2007-06-07",5.09
"109","2007-06-08",4.91
"110","2007-06-11",5.02
"111","2007-06-12",5.09
"112","2007-06-13",4.96
"113","2007-06-14",4.87
"114","2007-06-15",4.85
"115","2007-06-18",4.96
"116","2007-06-19",4.97
"117","2007-06-20",4.82
"118","2007-06-21",4.82
"119","2007-06-22",4.76
"120","2007-06-25",4.8
"121","2007-06-26",4.8
"122","2007-06-27",4.82
"123","2007-06-28",4.75
"124","2007-06-29",5.15
"125","2007-07-02",4.75
"126","2007-07-03",5.24
"127","2007-07-05",5
"128","2007-07-06",4.88
"129","2007-07-09",5
"130","2007-07-10",4.92
"131","2007-07-11",4.9
"132","2007-07-12",4.95
"133","2007-07-13",5.17
"134","2007-07-16",5.03
"135","2007-07-17",5.04
"136","2007-07-18",4.99
"137","2007-07-19",5
"138","2007-07-20",5
"139","2007-07-23",5.05
"140","2007-07-24",4.96
"141","2007-07-25",4.9
"142","2007-07-26",4.92
"143","2007-07-27",4.76
"144","2007-07-30",4.55
"145","2007-07-31",4.87
"146","2007-08-01",4.56
"147","2007-08-02",4.4
"148","2007-08-03",4.32
"149","2007-08-06",4.04
"150","2007-08-07",4.3
"151","2007-08-08",4.06
"152","2007-08-09",4.31
"153","2007-08-10",4
"154","2007-08-13",4.16
"155","2007-08-14",4.1
"156","2007-08-15",4.14
"157","2007-08-16",4.1
"158","2007-08-17",4.22
"159","2007-08-20",4.2
"160","2007-08-21",4.29
"161","2007-08-22",4.26
"162","2007-08-23",4.3
"163","2007-08-24",4.03
"164","2007-08-27",3.93
"165","2007-08-28",3.7
"166","2007-08-29",3.7
"167","2007-08-30",3.45
"168","2007-08-31",4
"169","2007-09-04",3.47
"170","2007-09-05",3.31
"171","2007-09-06",3.26
"172","2007-09-07",3.28
"173","2007-09-10",3.3
"174","2007-09-11",3.25
"175","2007-09-12",3.58
"176","2007-09-13",3.82
"177","2007-09-14",3.55
"178","2007-09-17",3.28
"179","2007-09-18",3.52
"180","2007-09-19",3.42
"181","2007-09-20",3.35
"182","2007-09-21",3.45
"183","2007-09-24",3.55
"184","2007-09-25",3.41
"185","2007-09-26",3.6
"186","2007-09-27",3.33
"187","2007-09-28",3.3
"188","2007-10-01",3.27
"189","2007-10-02",3.38
"190","2007-10-03",3.35
"191","2007-10-04",3.34
"192","2007-10-05",3.32
"193","2007-10-08",3.33
"194","2007-10-09",3.3
"195","2007-10-10",3.31
"196","2007-10-11",3.37
"197","2007-10-12",3.38
"198","2007-10-15",3.18
"199","2007-10-16",3.38
"200","2007-10-17",3.43
"201","2007-10-18",3.49
"202","2007-10-19",3.37
"203","2007-10-22",3.5
"204","2007-10-23",3.48
"205","2007-10-24",3.43
"206","2007-10-25",3.45
"207","2007-10-26",3.5
"208","2007-10-29",3.44
"209","2007-10-30",3.41
"210","2007-10-31",3.33
"211","2007-11-01",3.42
"212","2007-11-02",3.54
"213","2007-11-05",3.47
"214","2007-11-06",3.45
"215","2007-11-07",3.34
"216","2007-11-08",3.05
"217","2007-11-09",3.05
"218","2007-11-12",2.64
"219","2007-11-13",2.59
"220","2007-11-14",2.43
"221","2007-11-15",2.22
"222","2007-11-16",2.23
"223","2007-11-19",2.83
"224","2007-11-20",3.13
"225","2007-11-21",3.28
"226","2007-11-23",3.35
"227","2007-11-26",3.11
"228","2007-11-27",3
