"","date","TLK"
"1","2007-01-03",23.49
"2","2007-01-04",22.775
"3","2007-01-05",22.225
"4","2007-01-08",22.299999
"5","2007-01-09",21.76
"6","2007-01-10",21.15
"7","2007-01-11",21.365
"8","2007-01-12",21.360001
"9","2007-01-16",21.65
"10","2007-01-17",21.559999
"11","2007-01-18",21.684999
"12","2007-01-19",22.049999
"13","2007-01-22",22.264999
"14","2007-01-23",22.115
"15","2007-01-24",22.225
"16","2007-01-25",20.969999
"17","2007-01-26",21.5
"18","2007-01-29",21.299999
"19","2007-01-30",21.35
"20","2007-01-31",20.98
"21","2007-02-01",20.915001
"22","2007-02-02",21.075001
"23","2007-02-05",20.875
"24","2007-02-06",20.93
"25","2007-02-07",20.565001
"26","2007-02-08",20.325001
"27","2007-02-09",19.785
"28","2007-02-12",19.76
"29","2007-02-13",20.530001
"30","2007-02-14",21.379999
"31","2007-02-15",21.275
"32","2007-02-16",21.655001
"33","2007-02-20",21.575001
"34","2007-02-21",21.57
"35","2007-02-22",21.125
"36","2007-02-23",20.594999
"37","2007-02-26",20.549999
"38","2007-02-27",18.870001
"39","2007-02-28",20.219999
"40","2007-03-01",19.885
"41","2007-03-02",19.799999
"42","2007-03-05",18.950001
"43","2007-03-06",20.025
"44","2007-03-07",19.83
"45","2007-03-08",20.370001
"46","2007-03-09",20.245001
"47","2007-03-12",20.535
"48","2007-03-13",19.809999
"49","2007-03-14",20.245001
"50","2007-03-15",20.280001
"51","2007-03-16",20.084999
"52","2007-03-19",20.58
"53","2007-03-20",20.615
"54","2007-03-21",20.865
"55","2007-03-22",21.375
"56","2007-03-23",21.440001
"57","2007-03-26",21.775
"58","2007-03-27",21.195
"59","2007-03-28",20.83
"60","2007-03-29",21.52
"61","2007-03-30",21.57
"62","2007-04-02",22.014999
"63","2007-04-03",22.42
"64","2007-04-04",22.785
"65","2007-04-05",22.559999
"66","2007-04-09",22.68
"67","2007-04-10",23
"68","2007-04-11",22.610001
"69","2007-04-12",22.805
"70","2007-04-13",23.07
"71","2007-04-16",23.040001
"72","2007-04-17",22.92
"73","2007-04-18",22.665001
"74","2007-04-19",22.440001
"75","2007-04-20",23.07
"76","2007-04-23",23.165001
"77","2007-04-24",23.254999
"78","2007-04-25",23.485001
"79","2007-04-26",23.35
