"","date","PECK"
"1","2016-04-26",9.75
"2","2016-04-27",9.8
"3","2016-04-28",9.85
"4","2016-04-29",9.85
"5","2016-05-02",9.85
"6","2016-05-03",9.85
"7","2016-05-04",10
"8","2016-05-05",10
"9","2016-05-06",10
"10","2016-05-09",10
"11","2016-05-10",9.8
"12","2016-05-11",9.8
"13","2016-05-12",9.8
"14","2016-05-13",9.8
"15","2016-05-16",9.8
"16","2016-05-17",9.8
"17","2016-05-18",9.8
"18","2016-05-19",9.85
"19","2016-05-20",9.85
"20","2016-05-23",9.8
"21","2016-05-24",9.8
"22","2016-05-25",9.8
"23","2016-05-26",9.88
"24","2016-05-27",9.88
"25","2016-05-31",9.9
"26","2016-06-01",9.9
"27","2016-06-02",9.85
"28","2016-06-03",9.85
"29","2016-06-06",9.85
"30","2016-06-07",9.94
"31","2016-06-08",9.87
"32","2016-06-09",9.86
"33","2016-06-10",9.86
"34","2016-06-13",9.86
"35","2016-06-14",9.86
"36","2016-06-15",9.95
"37","2016-06-16",9.95
"38","2016-06-17",9.84
"39","2016-06-20",9.83
"40","2016-06-21",9.83
"41","2016-06-22",9.83
"42","2016-06-23",9.83
"43","2016-06-24",9.85
"44","2016-06-27",9.85
"45","2016-06-28",9.85
"46","2016-06-29",9.87
"47","2016-06-30",9.87
"48","2016-07-01",9.87
"49","2016-07-05",9.87
"50","2016-07-06",9.87
"51","2016-07-07",9.87
"52","2016-07-08",9.88
"53","2016-07-11",9.89
"54","2016-07-12",9.89
"55","2016-07-13",9.89
"56","2016-07-14",9.89
"57","2016-07-15",9.9
"58","2016-07-18",9.88
"59","2016-07-19",9.92
"60","2016-07-20",9.92
"61","2016-07-21",9.9
"62","2016-07-22",9.97
"63","2016-07-25",9.96
"64","2016-07-26",9.96
"65","2016-07-27",9.97
"66","2016-07-28",9.98
"67","2016-07-29",9.95
"68","2016-08-01",9.991
"69","2016-08-02",10.002
"70","2016-08-03",10.02
"71","2016-08-04",10
"72","2016-08-05",10
"73","2016-08-08",10
"74","2016-08-09",10.01
"75","2016-08-10",10
"76","2016-08-11",10.01
"77","2016-08-12",10.01
"78","2016-08-15",10.01
"79","2016-08-16",10.015
"80","2016-08-17",10.015
"81","2016-08-18",10.04
"82","2016-08-19",10.04
"83","2016-08-22",10.05
"84","2016-08-23",10.03
"85","2016-08-24",10.04
"86","2016-08-25",10.04
"87","2016-08-26",10.04
"88","2016-08-29",10.04
"89","2016-08-30",10.02
"90","2016-08-31",10.02
"91","2016-09-01",10.06
"92","2016-09-02",10.06
"93","2016-09-06",10
"94","2016-09-07",10
"95","2016-09-08",10.01
"96","2016-09-09",10.01
"97","2016-09-12",10.02
"98","2016-09-13",10.02
"99","2016-09-14",10.02
"100","2016-09-15",10.01
"101","2016-09-16",9.9
"102","2016-09-19",9.99
"103","2016-09-20",10.041
"104","2016-09-21",10.01
"105","2016-09-22",10.01
"106","2016-09-23",10.03
"107","2016-09-26",10.02
"108","2016-09-27",10.02
"109","2016-09-28",10.03
"110","2016-09-29",10.03
"111","2016-09-30",10.03
"112","2016-10-03",10.047
"113","2016-10-04",10.07
"114","2016-10-05",10.07
"115","2016-10-06",10.07
"116","2016-10-07",10.05
"117","2016-10-10",10.14
"118","2016-10-11",10.06
"119","2016-10-12",10.06
"120","2016-10-13",10.06
"121","2016-10-14",10.06
"122","2016-10-17",10.04
"123","2016-10-18",10.03
"124","2016-10-19",10.03
"125","2016-10-20",10.046
"126","2016-10-21",10.05
"127","2016-10-24",10.05
"128","2016-10-25",10.063
"129","2016-10-26",10.06
"130","2016-10-27",10.06
"131","2016-10-28",10.08
"132","2016-10-31",10.08
"133","2016-11-01",10.076
"134","2016-11-02",10.09
"135","2016-11-03",10.08
"136","2016-11-04",10.1
"137","2016-11-07",10.09
"138","2016-11-08",10.08
"139","2016-11-09",10.12
"140","2016-11-10",10.18
"141","2016-11-11",10.1
"142","2016-11-14",10.1
"143","2016-11-15",10.09
"144","2016-11-16",10.08
"145","2016-11-17",10.08
"146","2016-11-18",10.08
"147","2016-11-21",10.08
"148","2016-11-22",10.09
"149","2016-11-23",10.09
"150","2016-11-25",10.09
"151","2016-11-28",10.09
"152","2016-11-29",10.09
"153","2016-11-30",10.11
"154","2016-12-01",10.11
"155","2016-12-02",10.11
"156","2016-12-05",10.11
"157","2016-12-06",10.11
"158","2016-12-07",10.11
"159","2016-12-08",10.11
"160","2016-12-09",10.11
"161","2016-12-12",10.12
"162","2016-12-13",10.1
"163","2016-12-14",10.1
"164","2016-12-15",10.1
"165","2016-12-16",10.11
"166","2016-12-19",10.12
"167","2016-12-20",10.12
"168","2016-12-21",10.15
"169","2016-12-22",10.16
"170","2016-12-23",10.16
"171","2016-12-27",10.16
"172","2016-12-28",10.16
"173","2016-12-29",10.17
"174","2016-12-30",10.17
"175","2017-01-03",10.1
"176","2017-01-04",10.156
"177","2017-01-05",10.238
"178","2017-01-06",10.238
"179","2017-01-09",10.238
"180","2017-01-10",10.15
"181","2017-01-11",10.16
"182","2017-01-12",10.16
"183","2017-01-13",10.17
"184","2017-01-17",10.17
"185","2017-01-18",10.16
"186","2017-01-19",10.15
"187","2017-01-20",10.17
"188","2017-01-23",10.17
"189","2017-01-24",10.17
"190","2017-01-25",10.17
"191","2017-01-26",10.16
"192","2017-01-27",10.18
"193","2017-01-30",10.161
"194","2017-01-31",10.161
"195","2017-02-01",10.14
"196","2017-02-02",10.14
"197","2017-02-03",10.14
"198","2017-02-06",10.14
"199","2017-02-07",10.14
"200","2017-02-08",10.16
"201","2017-02-09",10.18
"202","2017-02-10",10.18
"203","2017-02-13",10.18
"204","2017-02-14",10.15
"205","2017-02-15",10.17
"206","2017-02-16",10.19
"207","2017-02-17",10.18
"208","2017-02-21",10.18
"209","2017-02-22",10.2
"210","2017-02-23",10.2
"211","2017-02-24",10.2
"212","2017-02-27",10.2
"213","2017-02-28",10.18
"214","2017-03-01",10.18
"215","2017-03-02",10.189
"216","2017-03-03",10.189
"217","2017-03-06",10.18
"218","2017-03-07",10.18
"219","2017-03-08",10.19
"220","2017-03-09",10.19
"221","2017-03-10",10.19
"222","2017-03-13",10.17
"223","2017-03-14",10.17
"224","2017-03-15",10.17
"225","2017-03-16",10.17
"226","2017-03-17",10.17
"227","2017-03-20",10.139
"228","2017-03-21",10.139
"229","2017-03-22",10.139
"230","2017-03-23",10.139
"231","2017-03-24",10.2
"232","2017-03-27",10.2
"233","2017-03-28",10.2
"234","2017-03-29",10.2
"235","2017-03-30",10.221
"236","2017-03-31",10.25
"237","2017-04-03",10.2
"238","2017-04-04",10.2
"239","2017-04-05",10.25
"240","2017-04-06",10.21
"241","2017-04-07",10.233
"242","2017-04-10",10.233
"243","2017-04-11",10.233
"244","2017-04-12",10.22
"245","2017-04-13",10.24
"246","2017-04-17",10.25
"247","2017-04-18",10.25
"248","2017-04-19",10.248
"249","2017-04-20",10.26
"250","2017-04-21",10.24
"251","2017-04-24",10.24
"252","2017-04-25",10.26
"253","2017-04-26",10.24
"254","2017-04-27",10.26
"255","2017-04-28",10.26
"256","2017-05-01",10.26
"257","2017-05-02",10.26
"258","2017-05-03",10.26
"259","2017-05-04",10.25
"260","2017-05-05",10.26
"261","2017-05-08",10.24
"262","2017-05-09",10.26
"263","2017-05-10",10.26
"264","2017-05-11",10.26
"265","2017-05-12",10.23
"266","2017-05-15",10.23
"267","2017-05-16",10.26
"268","2017-05-17",10.26
"269","2017-05-18",10.26
"270","2017-05-19",10.28
"271","2017-05-22",10.28
"272","2017-05-23",10.28
"273","2017-05-24",10.28
"274","2017-05-25",10.25
"275","2017-05-26",10.22
"276","2017-05-30",10.239
"277","2017-05-31",10.26
"278","2017-06-01",10.26
"279","2017-06-02",10.26
"280","2017-06-05",10.26
"281","2017-06-06",10.26
"282","2017-06-07",10.27
"283","2017-06-08",10.234
"284","2017-06-09",10.234
"285","2017-06-12",10.242
"286","2017-06-13",10.28
"287","2017-06-14",10.28
"288","2017-06-15",10.25
"289","2017-06-16",10.23
"290","2017-06-19",10.23
"291","2017-06-20",10.25
"292","2017-06-21",10.25
"293","2017-06-22",10.23
"294","2017-06-23",10.23
"295","2017-06-26",10.23
"296","2017-06-27",10.23
"297","2017-06-28",10.23
"298","2017-06-29",10.23
"299","2017-06-30",10.24
"300","2017-07-03",10.19
"301","2017-07-05",10.21
"302","2017-07-06",10.21
"303","2017-07-07",10.22
"304","2017-07-10",10.22
"305","2017-07-11",10.22
"306","2017-07-12",10.22
"307","2017-07-13",10.26
"308","2017-07-14",10.23
"309","2017-07-17",10.23
"310","2017-07-18",10.25
"311","2017-07-19",10.25
"312","2017-07-20",10.24
"313","2017-07-21",10.232
"314","2017-07-24",10.23
"315","2017-07-25",10.22
"316","2017-07-26",10.22
"317","2017-07-27",10.21
"318","2017-07-28",10.24
"319","2017-07-31",10.24
"320","2017-08-01",10.218
"321","2017-08-02",10.21
"322","2017-08-03",10.22
"323","2017-08-04",10.21
"324","2017-08-07",10.21
"325","2017-08-08",10.21
"326","2017-08-09",10.21
"327","2017-08-10",10.259
"328","2017-08-11",10.259
"329","2017-08-14",10.259
"330","2017-08-15",10.21
"331","2017-08-16",10.22
"332","2017-08-17",10.22
"333","2017-08-18",10.2
"334","2017-08-21",10.2
"335","2017-08-22",10.2
"336","2017-08-23",10.26
"337","2017-08-24",10.26
"338","2017-08-25",10.26
"339","2017-08-28",10.26
"340","2017-08-29",10.26
"341","2017-08-30",10.26
"342","2017-08-31",10.23
"343","2017-09-01",10.32
"344","2017-09-05",10.26
