"","date","TNET"
"1","2014-03-27",19.1
"2","2014-03-28",21.309999
"3","2014-03-31",21.309999
"4","2014-04-01",21.299999
"5","2014-04-02",21.01
"6","2014-04-03",21.01
"7","2014-04-04",20.4
"8","2014-04-07",19.74
"9","2014-04-08",19.27
"10","2014-04-09",20.76
"11","2014-04-10",20.6
"12","2014-04-11",20.32
"13","2014-04-14",20.469999
"14","2014-04-15",20.469999
"15","2014-04-16",21.389999
"16","2014-04-17",22
"17","2014-04-21",23.18
"18","2014-04-22",22.559999
"19","2014-04-23",21.41
"20","2014-04-24",21.469999
"21","2014-04-25",21.389999
"22","2014-04-28",21.719999
"23","2014-04-29",21.530001
"24","2014-04-30",21.450001
"25","2014-05-01",21.26
"26","2014-05-02",21.700001
"27","2014-05-05",21.870001
"28","2014-05-06",22.870001
"29","2014-05-07",22.889999
"30","2014-05-08",22.15
"31","2014-05-09",22.6
"32","2014-05-12",22.379999
"33","2014-05-13",23
"34","2014-05-14",23.469999
"35","2014-05-15",23.940001
"36","2014-05-16",23.93
"37","2014-05-19",23.719999
"38","2014-05-20",23.639999
"39","2014-05-21",23.57
"40","2014-05-22",23.940001
"41","2014-05-23",24.110001
"42","2014-05-27",25.200001
"43","2014-05-28",24.75
"44","2014-05-29",25.07
"45","2014-05-30",25.1
"46","2014-06-02",26
"47","2014-06-03",25.780001
"48","2014-06-04",26.370001
"49","2014-06-05",27
"50","2014-06-06",27
"51","2014-06-09",26.700001
"52","2014-06-10",26.969999
"53","2014-06-11",27.25
"54","2014-06-12",27.280001
"55","2014-06-13",27.389999
"56","2014-06-16",25.969999
"57","2014-06-17",25.51
"58","2014-06-18",25.940001
"59","2014-06-19",25.77
"60","2014-06-20",24.940001
"61","2014-06-23",24.23
"62","2014-06-24",23.65
"63","2014-06-25",23.870001
"64","2014-06-26",24.02
"65","2014-06-27",23.639999
"66","2014-06-30",24.07
"67","2014-07-01",23.870001
"68","2014-07-02",23.9
"69","2014-07-03",24.67
"70","2014-07-07",23.950001
"71","2014-07-08",23.860001
"72","2014-07-09",23.83
"73","2014-07-10",23.51
"74","2014-07-11",23.24
"75","2014-07-14",23.52
"76","2014-07-15",23.42
"77","2014-07-16",23.25
"78","2014-07-17",22.77
"79","2014-07-18",22.540001
"80","2014-07-21",22.33
"81","2014-07-22",22.25
"82","2014-07-23",22.57
"83","2014-07-24",22.360001
"84","2014-07-25",22.139999
"85","2014-07-28",22.549999
"86","2014-07-29",23.190001
"87","2014-07-30",23.190001
"88","2014-07-31",23.4
"89","2014-08-01",24.34
"90","2014-08-04",24.719999
"91","2014-08-05",27.08
"92","2014-08-06",27.190001
"93","2014-08-07",27.469999
"94","2014-08-08",27.59
"95","2014-08-11",28.27
"96","2014-08-12",29.139999
"97","2014-08-13",28.719999
"98","2014-08-14",28.860001
"99","2014-08-15",28.49
"100","2014-08-18",28.68
"101","2014-08-19",28.83
"102","2014-08-20",28.59
"103","2014-08-21",27.24
"104","2014-08-22",27.08
"105","2014-08-25",27.5
"106","2014-08-26",27.18
"107","2014-08-27",27.32
"108","2014-08-28",27.01
"109","2014-08-29",26.809999
"110","2014-09-02",27.98
"111","2014-09-03",28.02
"112","2014-09-04",27.65
"113","2014-09-05",27.26
"114","2014-09-08",27.860001
"115","2014-09-09",26.610001
"116","2014-09-10",26.110001
"117","2014-09-11",25.709999
"118","2014-09-12",27.459999
"119","2014-09-15",27.33
"120","2014-09-16",27.02
"121","2014-09-17",27.18
"122","2014-09-18",27.290001
"123","2014-09-19",27.18
"124","2014-09-22",26.799999
"125","2014-09-23",25.950001
"126","2014-09-24",25.950001
"127","2014-09-25",25.93
"128","2014-09-26",25.620001
"129","2014-09-29",25.5
"130","2014-09-30",25.75
"131","2014-10-01",24.9
"132","2014-10-02",25.049999
"133","2014-10-03",25.84
"134","2014-10-06",25.620001
"135","2014-10-07",25.629999
"136","2014-10-08",26.790001
"137","2014-10-09",26
"138","2014-10-10",25.73
"139","2014-10-13",26.120001
"140","2014-10-14",26.719999
"141","2014-10-15",26.809999
"142","2014-10-16",26.9
"143","2014-10-17",26.469999
"144","2014-10-20",26.99
"145","2014-10-21",26.809999
"146","2014-10-22",26.92
"147","2014-10-23",28.18
"148","2014-10-24",28.25
"149","2014-10-27",28.690001
"150","2014-10-28",28.959999
"151","2014-10-29",28.42
