"","date","ISNS"
"1","2007-01-03",14.3
"2","2007-01-04",14.3
"3","2007-01-05",14.07
"4","2007-01-08",14.1
"5","2007-01-09",14.43
"6","2007-01-10",14.17
"7","2007-01-11",14.08
"8","2007-01-12",14.1
"9","2007-01-16",14.1
"10","2007-01-17",14.45
"11","2007-01-18",14.5
"12","2007-01-19",14.31
"13","2007-01-22",14.24
"14","2007-01-23",14.28
"15","2007-01-24",14.27
"16","2007-01-25",14.36
"17","2007-01-26",14.26
"18","2007-01-29",14.48
"19","2007-01-30",14.5
"20","2007-01-31",14.5
"21","2007-02-01",14.51
"22","2007-02-02",14.66
"23","2007-02-05",14.6
"24","2007-02-06",14.45
"25","2007-02-07",14.5
"26","2007-02-08",14.51
"27","2007-02-09",14.6
"28","2007-02-12",14.5
"29","2007-02-13",14.5
"30","2007-02-14",14.55
"31","2007-02-15",14.5
"32","2007-02-16",14.51
"33","2007-02-20",14.63
"34","2007-02-21",14.64
"35","2007-02-22",14.52
"36","2007-02-23",17.5
"37","2007-02-26",18.15
"38","2007-02-27",17.389999
"39","2007-02-28",17.6
"40","2007-03-01",17.049999
"41","2007-03-02",17.09
"42","2007-03-05",16.5
"43","2007-03-06",16.879999
"44","2007-03-07",16.73
"45","2007-03-08",17.940001
"46","2007-03-09",18
"47","2007-03-12",17.76
"48","2007-03-13",17.51
"49","2007-03-14",17.559999
"50","2007-03-15",17.25
"51","2007-03-16",17.799999
"52","2007-03-19",17.809999
"53","2007-03-20",17.879999
"54","2007-03-21",18
"55","2007-03-22",17.67
"56","2007-03-23",17.629999
"57","2007-03-26",17.610001
"58","2007-03-27",17.42
"59","2007-03-28",17.48
"60","2007-03-29",17.43
"61","2007-03-30",17.59
"62","2007-04-02",17.370001
"63","2007-04-03",17.16
"64","2007-04-04",17.32
"65","2007-04-05",17.200001
"66","2007-04-09",17.75
"67","2007-04-10",17.75
"68","2007-04-11",17.99
"69","2007-04-12",17.709999
"70","2007-04-13",17.85
"71","2007-04-16",19.15
"72","2007-04-17",19
"73","2007-04-18",18.74
"74","2007-04-19",18.75
"75","2007-04-20",18.700001
"76","2007-04-23",17.809999
"77","2007-04-24",17.860001
"78","2007-04-25",17
"79","2007-04-26",17.110001
"80","2007-04-27",15.32
"81","2007-04-30",15.43
"82","2007-05-01",15.4
"83","2007-05-02",15.37
"84","2007-05-03",15.65
"85","2007-05-04",15.37
"86","2007-05-07",15.61
"87","2007-05-08",16
"88","2007-05-09",15.86
"89","2007-05-10",16.040001
"90","2007-05-11",16.040001
"91","2007-05-14",16.33
"92","2007-05-15",16.040001
"93","2007-05-16",16
"94","2007-05-17",15.5
"95","2007-05-18",15.74
"96","2007-05-21",15.55
"97","2007-05-22",15.56
"98","2007-05-23",15.67
"99","2007-05-24",15.5
"100","2007-05-25",15.9
