"","date","UPLD"
"1","2014-11-06",9.75
"2","2014-11-07",10.81
"3","2014-11-10",11.29
"4","2014-11-11",11.19
"5","2014-11-12",11.02
"6","2014-11-13",10.81
"7","2014-11-14",10.8
"8","2014-11-17",11
"9","2014-11-18",11.08
"10","2014-11-19",10.94
"11","2014-11-20",10.9
"12","2014-11-21",11.03
"13","2014-11-24",11.15
"14","2014-11-25",11.6
"15","2014-11-26",11.86
"16","2014-11-28",12.1
"17","2014-12-01",11.94
"18","2014-12-02",11.7
"19","2014-12-03",11.81
"20","2014-12-04",10.69
"21","2014-12-05",11.16
"22","2014-12-08",10.77
"23","2014-12-09",10.53
"24","2014-12-10",10
"25","2014-12-11",9.78
"26","2014-12-12",10.22
"27","2014-12-15",9.93
"28","2014-12-16",9.16
"29","2014-12-17",9
"30","2014-12-18",9.1
"31","2014-12-19",9.06
"32","2014-12-22",9.4
"33","2014-12-23",9.06
"34","2014-12-24",9.22
"35","2014-12-26",10.34
"36","2014-12-29",9.67
"37","2014-12-30",9.52
"38","2014-12-31",9.56
"39","2015-01-02",9.51
"40","2015-01-05",10.05
"41","2015-01-06",9.58
"42","2015-01-07",9.545
"43","2015-01-08",9.65
"44","2015-01-09",9.5
"45","2015-01-12",9.69
"46","2015-01-13",8.9
"47","2015-01-14",9.09
"48","2015-01-15",8.76
"49","2015-01-16",8.7
"50","2015-01-20",8.52
"51","2015-01-21",8.52
"52","2015-01-22",8.37
"53","2015-01-23",7.83
"54","2015-01-26",7.79
"55","2015-01-27",8.03
"56","2015-01-28",8.08
"57","2015-01-29",7.83
"58","2015-01-30",7.92
"59","2015-02-02",8.1
"60","2015-02-03",8
"61","2015-02-04",8.05
"62","2015-02-05",8.36
"63","2015-02-06",7.66
"64","2015-02-09",7.9
"65","2015-02-10",7.64
"66","2015-02-11",7.25
"67","2015-02-12",7.24
"68","2015-02-13",7.22
"69","2015-02-17",7.17
"70","2015-02-18",7.2
"71","2015-02-19",6.91
"72","2015-02-20",7.14
"73","2015-02-23",7.02
"74","2015-02-24",6.99
"75","2015-02-25",6.87
"76","2015-02-26",7.11
"77","2015-02-27",7.05
"78","2015-03-02",7.16
"79","2015-03-03",7.12
"80","2015-03-04",7.24
"81","2015-03-05",7.36
"82","2015-03-06",7.24
"83","2015-03-09",7.1
"84","2015-03-10",7.07
"85","2015-03-11",7.1
"86","2015-03-12",6.99
"87","2015-03-13",6.81
"88","2015-03-16",7.1
"89","2015-03-17",7.25
"90","2015-03-18",7.13
"91","2015-03-19",7.52
"92","2015-03-20",7.22
"93","2015-03-23",7.1
"94","2015-03-24",7.32
"95","2015-03-25",7.4
"96","2015-03-26",7.59
"97","2015-03-27",7.16
"98","2015-03-30",6.86
"99","2015-03-31",7.01
"100","2015-04-01",6.73
"101","2015-04-02",6.54
"102","2015-04-06",6.45
"103","2015-04-07",6.52
"104","2015-04-08",6.46
"105","2015-04-09",6.65
"106","2015-04-10",6.98
"107","2015-04-13",7.12
"108","2015-04-14",6.92
"109","2015-04-15",6.89
"110","2015-04-16",6.86
"111","2015-04-17",6.88
"112","2015-04-20",6.56
"113","2015-04-21",6.31
"114","2015-04-22",6.31
"115","2015-04-23",6.72
"116","2015-04-24",6.53
"117","2015-04-27",6.41
"118","2015-04-28",6.4
"119","2015-04-29",6.39
"120","2015-04-30",6.16
"121","2015-05-01",6.39
"122","2015-05-04",6.98
"123","2015-05-05",6.55
"124","2015-05-06",6.35
"125","2015-05-07",6.2
"126","2015-05-08",5.91
"127","2015-05-11",6.63
"128","2015-05-12",6.64
"129","2015-05-13",6.66
"130","2015-05-14",6.47
"131","2015-05-15",7.41
"132","2015-05-18",7.78
"133","2015-05-19",8.08
"134","2015-05-20",8.25
"135","2015-05-21",8.1
"136","2015-05-22",8.01
"137","2015-05-26",7.78
"138","2015-05-27",7.75
"139","2015-05-28",8.1
"140","2015-05-29",7.62
