"","date","MVO"
"1","2007-01-19",22.370001
"2","2007-01-22",23.1
"3","2007-01-23",24.200001
"4","2007-01-24",23.299999
"5","2007-01-25",23.879999
"6","2007-01-26",24.1
"7","2007-01-29",23.950001
"8","2007-01-30",23.799999
"9","2007-01-31",23.790001
"10","2007-02-01",24.08
"11","2007-02-02",24.299999
"12","2007-02-05",24.700001
"13","2007-02-06",24.700001
"14","2007-02-07",24.35
"15","2007-02-08",24.200001
"16","2007-02-09",24.700001
"17","2007-02-12",24.629999
"18","2007-02-13",24
"19","2007-02-14",24.27
"20","2007-02-15",23.809999
"21","2007-02-16",24.15
"22","2007-02-20",23.77
"23","2007-02-21",23.389999
"24","2007-02-22",23.450001
"25","2007-02-23",23.110001
"26","2007-02-26",23.209999
"27","2007-02-27",22.790001
"28","2007-02-28",22.700001
"29","2007-03-01",23.9
"30","2007-03-02",23.889999
"31","2007-03-05",23.5
"32","2007-03-06",24.139999
"33","2007-03-07",24.25
"34","2007-03-08",24.6
"35","2007-03-09",24.6
"36","2007-03-12",24.48
"37","2007-03-13",23.959999
"38","2007-03-14",24.299999
"39","2007-03-15",24.9
"40","2007-03-16",24.99
"41","2007-03-19",24.42
"42","2007-03-20",24
"43","2007-03-21",23.860001
"44","2007-03-22",23.950001
"45","2007-03-23",23.780001
"46","2007-03-26",23.790001
"47","2007-03-27",23.4
"48","2007-03-28",23.4
"49","2007-03-29",23.76
"50","2007-03-30",23.84
"51","2007-04-02",23.85
"52","2007-04-03",23.700001
"53","2007-04-04",23.719999
"54","2007-04-05",24
"55","2007-04-09",23.889999
"56","2007-04-10",23.66
"57","2007-04-11",24.08
"58","2007-04-12",23.73
"59","2007-04-13",23.6
"60","2007-04-16",23.58
"61","2007-04-17",23.530001
"62","2007-04-18",23.549999
"63","2007-04-19",23.34
"64","2007-04-20",23.540001
"65","2007-04-23",23.77
"66","2007-04-24",23.75
"67","2007-04-25",23.9
"68","2007-04-26",23.43
"69","2007-04-27",23.4
"70","2007-04-30",23.059999
"71","2007-05-01",23.24
"72","2007-05-02",23.290001
"73","2007-05-03",23.049999
"74","2007-05-04",22.969999
"75","2007-05-07",22.6
"76","2007-05-08",22.33
"77","2007-05-09",22.299999
"78","2007-05-10",22.9
"79","2007-05-11",22.879999
"80","2007-05-14",22.370001
"81","2007-05-15",22.42
"82","2007-05-16",22.969999
