"","date","TEDU"
"1","2014-04-03",9.06
"2","2014-04-04",9.04
"3","2014-04-07",8.06
"4","2014-04-08",8.5
"5","2014-04-09",8.44
"6","2014-04-10",7.58
"7","2014-04-11",7.71
"8","2014-04-14",7.5
"9","2014-04-15",7.16
"10","2014-04-16",6.97
"11","2014-04-17",6.74
"12","2014-04-21",7.76
"13","2014-04-22",8.32
"14","2014-04-23",9
"15","2014-04-24",8.95
"16","2014-04-25",8.91
"17","2014-04-28",8.81
"18","2014-04-29",8.46
"19","2014-04-30",8.42
"20","2014-05-01",8.83
"21","2014-05-02",9.18
"22","2014-05-05",9.17
"23","2014-05-06",9.04
"24","2014-05-07",8.06
"25","2014-05-08",7.7
"26","2014-05-09",7.62
"27","2014-05-12",8.27
"28","2014-05-13",8.05
"29","2014-05-14",7.72
"30","2014-05-15",7.02
"31","2014-05-16",7.75
"32","2014-05-19",8.06
"33","2014-05-20",7.99
"34","2014-05-21",8.47
"35","2014-05-22",7.96
"36","2014-05-23",8.52
"37","2014-05-27",8.27
"38","2014-05-28",8.2
"39","2014-05-29",9.1
"40","2014-05-30",8.97
"41","2014-06-02",8.9
"42","2014-06-03",9.28
"43","2014-06-04",9.2
"44","2014-06-05",9.12
"45","2014-06-06",9.9
"46","2014-06-09",10.17
"47","2014-06-10",9.92
"48","2014-06-11",10.84
"49","2014-06-12",10.9
"50","2014-06-13",11.75
"51","2014-06-16",11.81
"52","2014-06-17",11.15
"53","2014-06-18",11.96
"54","2014-06-19",11.68
"55","2014-06-20",11.31
"56","2014-06-23",11.53
"57","2014-06-24",11.54
"58","2014-06-25",13.26
"59","2014-06-26",13.95
"60","2014-06-27",12.21
"61","2014-06-30",13.13
"62","2014-07-01",12.83
"63","2014-07-02",13.1
"64","2014-07-03",13.86
"65","2014-07-07",12.54
"66","2014-07-08",11.97
"67","2014-07-09",12.32
"68","2014-07-10",11.68
"69","2014-07-11",11.7
"70","2014-07-14",11.99
"71","2014-07-15",12
"72","2014-07-16",11.9
"73","2014-07-17",11.75
"74","2014-07-18",11.57
"75","2014-07-21",11.45
"76","2014-07-22",12.41
"77","2014-07-23",11.99
"78","2014-07-24",11.63
"79","2014-07-25",11.84
"80","2014-07-28",11.7
"81","2014-07-29",12.7
"82","2014-07-30",12.32
"83","2014-07-31",11.8
"84","2014-08-01",11.85
"85","2014-08-04",12.44
"86","2014-08-05",12.94
"87","2014-08-06",13.14
"88","2014-08-07",12.71
"89","2014-08-08",13.53
"90","2014-08-11",13.36
"91","2014-08-12",14.63
"92","2014-08-13",15.02
"93","2014-08-14",14.98
"94","2014-08-15",13.95
"95","2014-08-18",14.68
"96","2014-08-19",14.96
"97","2014-08-20",14.42
"98","2014-08-21",13.55
"99","2014-08-22",14.45
"100","2014-08-25",14.07
"101","2014-08-26",13.94
"102","2014-08-27",13.53
"103","2014-08-28",13.71
"104","2014-08-29",14.23
"105","2014-09-02",13.99
"106","2014-09-03",14.26
"107","2014-09-04",14.32
"108","2014-09-05",14.24
"109","2014-09-08",15.62
"110","2014-09-09",14.3
"111","2014-09-10",14.05
"112","2014-09-11",13.24
"113","2014-09-12",13.22
"114","2014-09-15",12.11
"115","2014-09-16",12.26
"116","2014-09-17",12.16
"117","2014-09-18",12.46
"118","2014-09-19",13.08
"119","2014-09-22",13.4
"120","2014-09-23",12.68
"121","2014-09-24",13.47
"122","2014-09-25",13.33
"123","2014-09-26",13.33
"124","2014-09-29",12.93
"125","2014-09-30",12.93
"126","2014-10-01",12.3
"127","2014-10-02",12.05
"128","2014-10-03",11.86
"129","2014-10-06",11.58
"130","2014-10-07",11.03
"131","2014-10-08",11.66
"132","2014-10-09",11.53
"133","2014-10-10",11.12
"134","2014-10-13",10.75
"135","2014-10-14",11.45
"136","2014-10-15",11.59
"137","2014-10-16",11.68
"138","2014-10-17",12.04
"139","2014-10-20",11.89
"140","2014-10-21",11.97
"141","2014-10-22",11.33
"142","2014-10-23",11.62
"143","2014-10-24",11.68
"144","2014-10-27",11.6
"145","2014-10-28",12.3
"146","2014-10-29",12.35
"147","2014-10-30",13.2
"148","2014-10-31",13.73
"149","2014-11-03",13.39
"150","2014-11-04",12.9
"151","2014-11-05",12.87
"152","2014-11-06",13.1
"153","2014-11-07",13.88
"154","2014-11-10",14.2
"155","2014-11-11",13.95
"156","2014-11-12",13.48
"157","2014-11-13",13.08
"158","2014-11-14",12.79
"159","2014-11-17",12.59
"160","2014-11-18",13.1
"161","2014-11-19",13.41
"162","2014-11-20",12.63
"163","2014-11-21",12.61
"164","2014-11-24",13.08
"165","2014-11-25",13.11
"166","2014-11-26",13.07
"167","2014-11-28",12.36
"168","2014-12-01",12.39
"169","2014-12-02",12.02
"170","2014-12-03",11.48
"171","2014-12-04",10.96
"172","2014-12-05",11.29
"173","2014-12-08",10.82
"174","2014-12-09",10.73
"175","2014-12-10",10.72
"176","2014-12-11",10.74
"177","2014-12-12",10.98
"178","2014-12-15",10.93
"179","2014-12-16",10.76
"180","2014-12-17",10.57
"181","2014-12-18",11.16
"182","2014-12-19",11.21
"183","2014-12-22",10.78
"184","2014-12-23",10.56
"185","2014-12-24",10.43
"186","2014-12-26",11.06
"187","2014-12-29",10.99
"188","2014-12-30",11.13
"189","2014-12-31",11.1
"190","2015-01-02",11
"191","2015-01-05",11.04
"192","2015-01-06",10.93
"193","2015-01-07",11.1
"194","2015-01-08",11.31
"195","2015-01-09",11.14
"196","2015-01-12",11.1
"197","2015-01-13",11.22
"198","2015-01-14",11.96
"199","2015-01-15",11.91
"200","2015-01-16",11.71
"201","2015-01-20",11.96
"202","2015-01-21",11.96
"203","2015-01-22",11.91
"204","2015-01-23",11.94
"205","2015-01-26",12.1
"206","2015-01-27",12.02
"207","2015-01-28",12.005
"208","2015-01-29",12.05
"209","2015-01-30",11.9
"210","2015-02-02",12.14
"211","2015-02-03",12.14
"212","2015-02-04",12.4
"213","2015-02-05",12.12
"214","2015-02-06",11.98
"215","2015-02-09",11.97
"216","2015-02-10",11.97
"217","2015-02-11",11.8
"218","2015-02-12",11.51
"219","2015-02-13",11.36
"220","2015-02-17",11.54
"221","2015-02-18",11.56
"222","2015-02-19",11.5
"223","2015-02-20",11.2
"224","2015-02-23",11.09
"225","2015-02-24",12
"226","2015-02-25",11.78
"227","2015-02-26",11.67
"228","2015-02-27",11.4
"229","2015-03-02",11.51
"230","2015-03-03",10.45
"231","2015-03-04",9.97
"232","2015-03-05",10.03
"233","2015-03-06",10.24
"234","2015-03-09",10.06
"235","2015-03-10",10.42
"236","2015-03-11",10.25
"237","2015-03-12",10.35
"238","2015-03-13",10.34
"239","2015-03-16",10.5
"240","2015-03-17",10.45
"241","2015-03-18",10.2
"242","2015-03-19",10.23
"243","2015-03-20",10.39
"244","2015-03-23",10.2
"245","2015-03-24",10.29
"246","2015-03-25",10.39
"247","2015-03-26",10.4
"248","2015-03-27",10.19
"249","2015-03-30",9.74
"250","2015-03-31",9.73
"251","2015-04-01",9.44
"252","2015-04-02",9.66
"253","2015-04-06",9.63
"254","2015-04-07",9.4
"255","2015-04-08",11.49
"256","2015-04-09",11.19
"257","2015-04-10",11.27
"258","2015-04-13",11.64
"259","2015-04-14",12.77
"260","2015-04-15",13.4
"261","2015-04-16",13.25
"262","2015-04-17",12.21
"263","2015-04-20",12.52
"264","2015-04-21",12.96
"265","2015-04-22",12.7
"266","2015-04-23",12.81
"267","2015-04-24",12.84
"268","2015-04-27",12.76
"269","2015-04-28",12.58
"270","2015-04-29",12.37
"271","2015-04-30",12.15
"272","2015-05-01",12.12
"273","2015-05-04",12.62
"274","2015-05-05",12.31
"275","2015-05-06",11.94
"276","2015-05-07",11.93
"277","2015-05-08",12.11
"278","2015-05-11",12.44
"279","2015-05-12",12.33
"280","2015-05-13",11.95
"281","2015-05-14",12.38
"282","2015-05-15",12.12
"283","2015-05-18",12.06
"284","2015-05-19",12.11
"285","2015-05-20",11.6
"286","2015-05-21",12.79
"287","2015-05-22",12.63
"288","2015-05-26",12.25
"289","2015-05-27",11.78
"290","2015-05-28",11.47
"291","2015-05-29",11.3
"292","2015-06-01",11.82
"293","2015-06-02",11.77
"294","2015-06-03",11.51
"295","2015-06-04",11.28
"296","2015-06-05",11.98
"297","2015-06-08",12.05
"298","2015-06-09",11.7
"299","2015-06-10",12.48
"300","2015-06-11",13.48
"301","2015-06-12",14.31
"302","2015-06-15",14.07
"303","2015-06-16",14.01
"304","2015-06-17",14.66
"305","2015-06-18",14.57
"306","2015-06-19",13.57
"307","2015-06-22",13.49
"308","2015-06-23",13.42
"309","2015-06-24",13.01
"310","2015-06-25",13.19
"311","2015-06-26",12.76
"312","2015-06-29",12.47
"313","2015-06-30",12.66
"314","2015-07-01",12.85
"315","2015-07-02",12.46
"316","2015-07-06",12.01
"317","2015-07-07",10.61
"318","2015-07-08",10.3
"319","2015-07-09",11.7
"320","2015-07-10",11.68
"321","2015-07-13",11.63
"322","2015-07-14",11.86
"323","2015-07-15",11.59
"324","2015-07-16",11.74
"325","2015-07-17",11.6
"326","2015-07-20",11.69
"327","2015-07-21",11.86
"328","2015-07-22",11.96
"329","2015-07-23",12.41
"330","2015-07-24",11.93
"331","2015-07-27",11.75
"332","2015-07-28",11.86
"333","2015-07-29",11.95
"334","2015-07-30",11.95
"335","2015-07-31",11.82
"336","2015-08-03",11.72
"337","2015-08-04",12.15
"338","2015-08-05",12.68
"339","2015-08-06",12.21
"340","2015-08-07",11.95
"341","2015-08-10",12.64
"342","2015-08-11",12.06
"343","2015-08-12",12.06
"344","2015-08-13",12.33
"345","2015-08-14",12.8
"346","2015-08-17",12.79
"347","2015-08-18",12.18
"348","2015-08-19",8.71
"349","2015-08-20",8.5
"350","2015-08-21",7.76
"351","2015-08-24",7.83
"352","2015-08-25",8.03
"353","2015-08-26",7.97
"354","2015-08-27",8.33
"355","2015-08-28",8.41
"356","2015-08-31",8.45
"357","2015-09-01",8.3
"358","2015-09-02",8.52
"359","2015-09-03",8.49
"360","2015-09-04",8.45
"361","2015-09-08",8.56
