"","date","GTIM"
"1","2007-01-03",18
"2","2007-01-04",17.700001
"3","2007-01-05",17.67
"4","2007-01-08",17.4
"5","2007-01-09",17.4
"6","2007-01-10",17.67
"7","2007-01-11",17.76
"8","2007-01-12",17.879999
"9","2007-01-16",17.43
"10","2007-01-17",16.5
"11","2007-01-18",16.860001
"12","2007-01-19",16.65
"13","2007-01-22",16.23
"14","2007-01-23",16.5
"15","2007-01-24",16.950001
"16","2007-01-25",16.5
"17","2007-01-26",16.5
"18","2007-01-29",16.799999
"19","2007-01-30",16.98
"20","2007-01-31",17.1
"21","2007-02-01",17.1
"22","2007-02-02",17.25
"23","2007-02-05",17.25
"24","2007-02-06",17.25
"25","2007-02-07",17.52
"26","2007-02-08",17.49
"27","2007-02-09",17.549999
"28","2007-02-12",17.25
"29","2007-02-13",16.5
"30","2007-02-14",16.5
"31","2007-02-15",16.139999
"32","2007-02-16",16.559999
"33","2007-02-20",15.81
"34","2007-02-21",15.81
"35","2007-02-22",15.81
"36","2007-02-23",15.81
"37","2007-02-26",15.81
"38","2007-02-27",15.81
"39","2007-02-28",16.5
"40","2007-03-01",16.5
"41","2007-03-02",15.9
"42","2007-03-05",15.66
"43","2007-03-06",15.99
"44","2007-03-07",15.09
"45","2007-03-08",15.09
"46","2007-03-09",15.09
"47","2007-03-12",15.75
"48","2007-03-13",15.72
"49","2007-03-14",14.94
"50","2007-03-15",15
"51","2007-03-16",15.06
"52","2007-03-19",16.23
"53","2007-03-20",16.23
"54","2007-03-21",15
"55","2007-03-22",16.200001
"56","2007-03-23",15.96
"57","2007-03-26",15.96
"58","2007-03-27",16.440001
"59","2007-03-28",16.200001
"60","2007-03-29",16.200001
"61","2007-03-30",16.200001
"62","2007-04-02",15.6
"63","2007-04-03",15.45
"64","2007-04-04",15.45
"65","2007-04-05",15.6
"66","2007-04-09",15.6
"67","2007-04-10",15.6
"68","2007-04-11",15.75
"69","2007-04-12",15.27
"70","2007-04-13",16.08
"71","2007-04-16",16.139999
"72","2007-04-17",16.139999
"73","2007-04-18",16.139999
"74","2007-04-19",16.139999
"75","2007-04-20",16.5
"76","2007-04-23",15.93
"77","2007-04-24",15.69
"78","2007-04-25",16.799999
"79","2007-04-26",15.87
"80","2007-04-27",16.92
"81","2007-04-30",16.26
"82","2007-05-01",16.5
"83","2007-05-02",16.59
"84","2007-05-03",16.41
"85","2007-05-04",16.35
"86","2007-05-07",16.35
"87","2007-05-08",16.35
"88","2007-05-09",16.35
"89","2007-05-10",17.969999
"90","2007-05-11",18
"91","2007-05-14",17.940001
"92","2007-05-15",16.92
"93","2007-05-16",16.92
"94","2007-05-17",16.92
"95","2007-05-18",16.860001
"96","2007-05-21",16.950001
"97","2007-05-22",16.889999
"98","2007-05-23",16.5
"99","2007-05-24",16.59
"100","2007-05-25",15.66
"101","2007-05-29",15.93
"102","2007-05-30",15.51
"103","2007-05-31",16.32
"104","2007-06-01",16.26
"105","2007-06-04",15.81
"106","2007-06-05",15.81
"107","2007-06-06",15.81
"108","2007-06-07",15.39
"109","2007-06-08",15.45
"110","2007-06-11",15.75
"111","2007-06-12",15.81
"112","2007-06-13",15.84
"113","2007-06-14",15.69
"114","2007-06-15",15.69
"115","2007-06-18",15.69
"116","2007-06-19",15.75
"117","2007-06-20",16.17
"118","2007-06-21",16.17
"119","2007-06-22",17.700001
"120","2007-06-25",16.709999
"121","2007-06-26",16.950001
"122","2007-06-27",17.25
"123","2007-06-28",17.67
"124","2007-06-29",17.610001
"125","2007-07-02",17.58
"126","2007-07-03",17.58
"127","2007-07-05",18.15
"128","2007-07-06",18.030001
"129","2007-07-09",18.030001
"130","2007-07-10",18.690001
"131","2007-07-11",18.059999
"132","2007-07-12",18.33
"133","2007-07-13",18.299999
"134","2007-07-16",18.059999
"135","2007-07-17",18.059999
