"","date","GSX"
"1","2019-06-06",10.48
"2","2019-06-07",10
"3","2019-06-10",9.55
"4","2019-06-11",9.52
"5","2019-06-12",9.57
"6","2019-06-13",9.56
"7","2019-06-14",9.5
"8","2019-06-17",9.45
"9","2019-06-18",9.41
"10","2019-06-19",9.35
"11","2019-06-20",9.37
"12","2019-06-21",9.6
"13","2019-06-24",9.36
"14","2019-06-25",9.4
"15","2019-06-26",9.42
"16","2019-06-27",10.01
"17","2019-06-28",10.79
"18","2019-07-01",9.92
"19","2019-07-02",10.15
"20","2019-07-03",10.5
"21","2019-07-05",10.6
"22","2019-07-08",9.57
"23","2019-07-09",9.51
"24","2019-07-10",9.07
"25","2019-07-11",9.07
"26","2019-07-12",9.12
"27","2019-07-15",9.58
"28","2019-07-16",10.12
"29","2019-07-17",10.4
"30","2019-07-18",10.06
"31","2019-07-19",10.34
"32","2019-07-22",10.82
"33","2019-07-23",11.27
"34","2019-07-24",11.88
"35","2019-07-25",12.74
"36","2019-07-26",13
"37","2019-07-29",13.3
"38","2019-07-30",13.18
"39","2019-07-31",12.95
"40","2019-08-01",12.9
"41","2019-08-02",12.79
"42","2019-08-05",12.54
"43","2019-08-06",12.6
"44","2019-08-07",13.15
"45","2019-08-08",13.28
"46","2019-08-09",13.36
"47","2019-08-12",14.67
"48","2019-08-13",14.24
"49","2019-08-14",13.4
"50","2019-08-15",13.39
"51","2019-08-16",13.45
"52","2019-08-19",13.94
"53","2019-08-20",14.65
"54","2019-08-21",16
"55","2019-08-22",14.61
"56","2019-08-23",13.57
"57","2019-08-26",12.8
"58","2019-08-27",12.78
"59","2019-08-28",13.73
"60","2019-08-29",13.64
"61","2019-08-30",14.32
"62","2019-09-03",13.75
"63","2019-09-04",13.09
"64","2019-09-05",12.82
"65","2019-09-06",12.3
"66","2019-09-09",12.46
"67","2019-09-10",12.83
"68","2019-09-11",12.93
"69","2019-09-12",12.95
"70","2019-09-13",13.44
"71","2019-09-16",13.6
"72","2019-09-17",13.7
"73","2019-09-18",14.15
"74","2019-09-19",14.29
"75","2019-09-20",14.59
"76","2019-09-23",14.59
"77","2019-09-24",14.07
"78","2019-09-25",14.86
"79","2019-09-26",14.75
"80","2019-09-27",15.02
"81","2019-09-30",15.31
"82","2019-10-01",15.15
"83","2019-10-02",14.08
"84","2019-10-03",14.11
"85","2019-10-04",14.7
"86","2019-10-07",14.33
"87","2019-10-08",13.88
"88","2019-10-09",14.49
"89","2019-10-10",14.2
"90","2019-10-11",14.31
"91","2019-10-14",14.31
"92","2019-10-15",14.01
"93","2019-10-16",14.1
"94","2019-10-17",14.61
"95","2019-10-18",14.25
"96","2019-10-21",13.99
"97","2019-10-22",14.25
"98","2019-10-23",14.33
"99","2019-10-24",15
"100","2019-10-25",15.41
"101","2019-10-28",15.1
"102","2019-10-29",15.39
"103","2019-10-30",16.99
"104","2019-10-31",17.139999
"105","2019-11-01",16.290001
"106","2019-11-04",16.219999
"107","2019-11-05",16.02
"108","2019-11-06",15.25
"109","2019-11-07",14.94
"110","2019-11-08",15.31
"111","2019-11-11",15.04
"112","2019-11-12",15.09
"113","2019-11-13",15.12
"114","2019-11-14",14.58
"115","2019-11-15",14.91
"116","2019-11-18",16.75
"117","2019-11-19",15.5
"118","2019-11-20",14.57
"119","2019-11-21",16.200001
"120","2019-11-22",18.57
"121","2019-11-25",18.950001
"122","2019-11-26",18.33
"123","2019-11-27",17.58
"124","2019-11-29",17.59
"125","2019-12-02",18.17
"126","2019-12-03",18.17
"127","2019-12-04",18.57
"128","2019-12-05",19.040001
"129","2019-12-06",19.629999
"130","2019-12-09",19.690001
"131","2019-12-10",19.92
"132","2019-12-11",20.01
"133","2019-12-12",19.799999
"134","2019-12-13",20.49
"135","2019-12-16",20.4
"136","2019-12-17",20.65
"137","2019-12-18",20.690001
"138","2019-12-19",20.530001
"139","2019-12-20",20.93
"140","2019-12-23",21.559999
"141","2019-12-24",21.98
"142","2019-12-26",22.030001
"143","2019-12-27",21.91
"144","2019-12-30",21.379999
"145","2019-12-31",21.860001
"146","2020-01-02",23.74
"147","2020-01-03",23.43
"148","2020-01-06",23.75
"149","2020-01-07",24.75
"150","2020-01-08",24.459999
"151","2020-01-09",25.26
"152","2020-01-10",26.84
"153","2020-01-13",27.65
"154","2020-01-14",28.66
"155","2020-01-15",29.42
"156","2020-01-16",30.4
"157","2020-01-17",32.91
"158","2020-01-21",34.610001
"159","2020-01-22",35.25
"160","2020-01-23",32.73
"161","2020-01-24",31.219999
"162","2020-01-27",34.279999
"163","2020-01-28",35.119999
"164","2020-01-29",37.23
"165","2020-01-30",32.349998
"166","2020-01-31",32.689999
"167","2020-02-03",35.049999
"168","2020-02-04",38.549999
"169","2020-02-05",37.360001
"170","2020-02-06",39.240002
"171","2020-02-07",39.919998
"172","2020-02-10",41.740002
"173","2020-02-11",37.23
"174","2020-02-12",36.209999
"175","2020-02-13",36.959999
"176","2020-02-14",34.5
"177","2020-02-18",37.860001
"178","2020-02-19",44.98
"179","2020-02-20",42.759998
"180","2020-02-21",42.720001
"181","2020-02-24",45.419998
"182","2020-02-25",44.09
"183","2020-02-26",43.5
"184","2020-02-27",42
"185","2020-02-28",40.549999
"186","2020-03-02",41.139999
"187","2020-03-03",43.09
"188","2020-03-04",42.880001
"189","2020-03-05",42.5
"190","2020-03-06",41.740002
"191","2020-03-09",40.639999
"192","2020-03-10",42.119999
"193","2020-03-11",42.07
"194","2020-03-12",37.509998
"195","2020-03-13",39.189999
"196","2020-03-16",37.5
"197","2020-03-17",42
"198","2020-03-18",40.099998
"199","2020-03-19",41.200001
"200","2020-03-20",39.93
"201","2020-03-23",37.880001
"202","2020-03-24",39.380001
"203","2020-03-25",41.880001
"204","2020-03-26",42.459999
"205","2020-03-27",42.169998
"206","2020-03-30",42
"207","2020-03-31",42.360001
"208","2020-04-01",41.34
"209","2020-04-02",38.98
"210","2020-04-03",32.93
"211","2020-04-06",33.630001
"212","2020-04-07",32.450001
"213","2020-04-08",30.469999
"214","2020-04-09",33.16
"215","2020-04-13",31.4
"216","2020-04-14",31.200001
"217","2020-04-15",29.67
"218","2020-04-16",31.719999
"219","2020-04-17",33.59
"220","2020-04-20",35.709999
"221","2020-04-21",34.669998
"222","2020-04-22",33.810001
"223","2020-04-23",32.779999
"224","2020-04-24",31.75
"225","2020-04-27",35.419998
"226","2020-04-28",38.130001
"227","2020-04-29",38.970001
"228","2020-04-30",39.560001
"229","2020-05-01",37.220001
"230","2020-05-04",37.5
"231","2020-05-05",39.68
"232","2020-05-06",38.990002
"233","2020-05-07",40.869999
"234","2020-05-08",41.98
"235","2020-05-11",39.630001
"236","2020-05-12",38.23
"237","2020-05-13",38.32
"238","2020-05-14",34.93
"239","2020-05-15",35.43
"240","2020-05-18",32.84
"241","2020-05-19",33.880001
"242","2020-05-20",30.58
"243","2020-05-21",29.01
"244","2020-05-22",29.73
"245","2020-05-26",31.02
"246","2020-05-27",29.77
"247","2020-05-28",29.85
"248","2020-05-29",31.360001
"249","2020-06-01",32.610001
"250","2020-06-02",36.970001
"251","2020-06-03",39.5
"252","2020-06-04",41.400002
"253","2020-06-05",40.52
"254","2020-06-08",40.099998
"255","2020-06-09",39.599998
"256","2020-06-10",40.970001
"257","2020-06-11",39.5
"258","2020-06-12",43.040001
