"","date","MSON"
"1","2007-01-03",4
"2","2007-01-04",4.06
"3","2007-01-05",4.11
"4","2007-01-08",4.15
"5","2007-01-09",4.11
"6","2007-01-10",4
"7","2007-01-11",4.2
"8","2007-01-12",4.35
"9","2007-01-16",4.42
"10","2007-01-17",5.38
"11","2007-01-18",5.51
"12","2007-01-19",5.6
"13","2007-01-22",5.87
"14","2007-01-23",5.52
"15","2007-01-24",5.41
"16","2007-01-25",5.11
"17","2007-01-26",5.15
"18","2007-01-29",5.32
"19","2007-01-30",5.15
"20","2007-01-31",5.29
"21","2007-02-01",5.5
"22","2007-02-02",5.55
"23","2007-02-05",5.42
"24","2007-02-06",5.42
"25","2007-02-07",5.43
"26","2007-02-08",5.18
"27","2007-02-09",5.15
"28","2007-02-12",5.81
"29","2007-02-13",5.71
"30","2007-02-14",6.08
"31","2007-02-15",5.89
"32","2007-02-16",5.78
"33","2007-02-20",5.92
"34","2007-02-21",5.85
"35","2007-02-22",5.81
"36","2007-02-23",5.75
"37","2007-02-26",5.73
"38","2007-02-27",5.59
"39","2007-02-28",5.45
"40","2007-03-01",5.42
"41","2007-03-02",5.45
"42","2007-03-05",5.42
"43","2007-03-06",5.36
"44","2007-03-07",5.48
"45","2007-03-08",5.5
"46","2007-03-09",5.5
"47","2007-03-12",5.4
"48","2007-03-13",5.35
"49","2007-03-14",5.39
"50","2007-03-15",5.33
"51","2007-03-16",5.1
"52","2007-03-19",5.09
"53","2007-03-20",5.19
"54","2007-03-21",5.21
"55","2007-03-22",6.28
"56","2007-03-23",6.09
"57","2007-03-26",5.98
"58","2007-03-27",5.93
"59","2007-03-28",5.79
"60","2007-03-29",6.22
"61","2007-03-30",6.02
"62","2007-04-02",6.24
"63","2007-04-03",6
"64","2007-04-04",6.01
"65","2007-04-05",6.16
"66","2007-04-09",6.16
"67","2007-04-10",6.23
"68","2007-04-11",6.1
"69","2007-04-12",6.09
"70","2007-04-13",6.21
"71","2007-04-16",6.23
"72","2007-04-17",6.16
"73","2007-04-18",6.31
"74","2007-04-19",6.17
"75","2007-04-20",6.25
"76","2007-04-23",6.5
"77","2007-04-24",6.16
"78","2007-04-25",6.2
"79","2007-04-26",6.31
"80","2007-04-27",6.98
"81","2007-04-30",7.24
"82","2007-05-01",6.99
"83","2007-05-02",6.88
"84","2007-05-03",6.89
"85","2007-05-04",6.8
"86","2007-05-07",6.95
"87","2007-05-08",6.96
"88","2007-05-09",6.65
"89","2007-05-10",5.98
"90","2007-05-11",5.81
"91","2007-05-14",5.75
"92","2007-05-15",5.69
"93","2007-05-16",5.65
"94","2007-05-17",5.55
"95","2007-05-18",5.62
"96","2007-05-21",5.55
"97","2007-05-22",5.9
"98","2007-05-23",5.85
"99","2007-05-24",5.7
"100","2007-05-25",5.77
"101","2007-05-29",5.66
"102","2007-05-30",5.66
"103","2007-05-31",5.6
"104","2007-06-01",5.59
"105","2007-06-04",5.57
"106","2007-06-05",5.73
"107","2007-06-06",5.83
"108","2007-06-07",5.6
"109","2007-06-08",5.68
"110","2007-06-11",5.68
"111","2007-06-12",5.82
"112","2007-06-13",5.93
"113","2007-06-14",5.92
"114","2007-06-15",5.96
"115","2007-06-18",5.83
"116","2007-06-19",5.93
"117","2007-06-20",6.1
"118","2007-06-21",6.14
"119","2007-06-22",6.02
"120","2007-06-25",6.01
"121","2007-06-26",5.92
"122","2007-06-27",5.91
"123","2007-06-28",5.95
"124","2007-06-29",5.98
"125","2007-07-02",5.95
"126","2007-07-03",5.98
"127","2007-07-05",5.91
"128","2007-07-06",5.86
"129","2007-07-09",5.8
"130","2007-07-10",5.71
"131","2007-07-11",5.63
"132","2007-07-12",5.5
"133","2007-07-13",5.5
"134","2007-07-16",5.42
"135","2007-07-17",5.4
"136","2007-07-18",5.27
"137","2007-07-19",5.3
"138","2007-07-20",5.34
"139","2007-07-23",5.38
"140","2007-07-24",5.25
"141","2007-07-25",5.42
"142","2007-07-26",5.22
"143","2007-07-27",5.1
"144","2007-07-30",4.93
"145","2007-07-31",5
"146","2007-08-01",4.91
"147","2007-08-02",4.9
"148","2007-08-03",4.76
"149","2007-08-06",4.66
"150","2007-08-07",4.56
"151","2007-08-08",4.27
"152","2007-08-09",4.13
"153","2007-08-10",4.01
"154","2007-08-13",4.12
"155","2007-08-14",4.3
"156","2007-08-15",4.24
"157","2007-08-16",4.19
"158","2007-08-17",4.25
"159","2007-08-20",4.1
"160","2007-08-21",4.14
"161","2007-08-22",4.01
"162","2007-08-23",3.82
"163","2007-08-24",4.11
"164","2007-08-27",3.95
"165","2007-08-28",4.06
"166","2007-08-29",3.83
"167","2007-08-30",4.02
"168","2007-08-31",4.06
"169","2007-09-04",4.03
"170","2007-09-05",4.04
"171","2007-09-06",4.15
"172","2007-09-07",3.94
"173","2007-09-10",3.95
"174","2007-09-11",4.03
