"","date","KAMN"
"1","2007-01-03",22.969999
"2","2007-01-04",22.93
"3","2007-01-05",22.280001
"4","2007-01-08",21.860001
"5","2007-01-09",21.709999
"6","2007-01-10",21.84
"7","2007-01-11",22.66
"8","2007-01-12",23.02
"9","2007-01-16",22.82
"10","2007-01-17",23.290001
"11","2007-01-18",22.379999
"12","2007-01-19",22.6
"13","2007-01-22",22.059999
"14","2007-01-23",22.190001
"15","2007-01-24",22.389999
"16","2007-01-25",22.33
"17","2007-01-26",22.74
"18","2007-01-29",22.799999
"19","2007-01-30",23.139999
"20","2007-01-31",22.790001
"21","2007-02-01",23.6
"22","2007-02-02",23.18
"23","2007-02-05",22.969999
"24","2007-02-06",23.67
"25","2007-02-07",23.709999
"26","2007-02-08",23.950001
"27","2007-02-09",23.43
"28","2007-02-12",23.16
"29","2007-02-13",22.98
"30","2007-02-14",23.059999
"31","2007-02-15",23.200001
"32","2007-02-16",23.75
"33","2007-02-20",23.68
"34","2007-02-21",23.940001
"35","2007-02-22",23.969999
"36","2007-02-23",23.700001
"37","2007-02-26",23.889999
"38","2007-02-27",23.120001
"39","2007-02-28",22.809999
"40","2007-03-01",22.25
"41","2007-03-02",22.370001
"42","2007-03-05",22.200001
"43","2007-03-06",22.57
"44","2007-03-07",22.98
"45","2007-03-08",22.879999
"46","2007-03-09",23.309999
"47","2007-03-12",23.690001
"48","2007-03-13",23.059999
"49","2007-03-14",23.190001
"50","2007-03-15",22.65
"51","2007-03-16",22.940001
"52","2007-03-19",23.1
"53","2007-03-20",23.309999
"54","2007-03-21",23.75
"55","2007-03-22",23.83
"56","2007-03-23",23.690001
"57","2007-03-26",23.530001
"58","2007-03-27",23.450001
"59","2007-03-28",23.459999
"60","2007-03-29",23.5
"61","2007-03-30",23.309999
"62","2007-04-02",23.09
"63","2007-04-03",23.25
"64","2007-04-04",23.360001
"65","2007-04-05",23.450001
"66","2007-04-09",23.629999
"67","2007-04-10",23.65
"68","2007-04-11",23.530001
"69","2007-04-12",23.780001
"70","2007-04-13",24.120001
"71","2007-04-16",24.540001
"72","2007-04-17",24.15
"73","2007-04-18",23.870001
"74","2007-04-19",23.66
"75","2007-04-20",24.469999
"76","2007-04-23",24.059999
"77","2007-04-24",24.01
"78","2007-04-25",24.870001
"79","2007-04-26",25.08
"80","2007-04-27",25.35
"81","2007-04-30",24.799999
"82","2007-05-01",25.09
"83","2007-05-02",25.18
"84","2007-05-03",24.709999
"85","2007-05-04",24.950001
"86","2007-05-07",24.9
"87","2007-05-08",25.01
"88","2007-05-09",26.809999
"89","2007-05-10",25.84
"90","2007-05-11",26.450001
"91","2007-05-14",26.18
"92","2007-05-15",26.09
"93","2007-05-16",26.35
"94","2007-05-17",25.92
"95","2007-05-18",26.690001
"96","2007-05-21",27.209999
"97","2007-05-22",27.639999
"98","2007-05-23",27.809999
"99","2007-05-24",28.02
"100","2007-05-25",27.950001
"101","2007-05-29",28.360001
