"","date","AEY"
"1","2007-01-03",2.71
"2","2007-01-04",2.8
"3","2007-01-05",2.83
"4","2007-01-08",2.81
"5","2007-01-09",2.8
"6","2007-01-10",2.77
"7","2007-01-11",2.86
"8","2007-01-12",3.04
"9","2007-01-16",3.05
"10","2007-01-17",3.17
"11","2007-01-18",3.05
"12","2007-01-19",3.05
"13","2007-01-22",2.95
"14","2007-01-23",2.91
"15","2007-01-24",2.92
"16","2007-01-25",2.89
"17","2007-01-26",3.04
"18","2007-01-29",3.03
"19","2007-01-30",2.99
"20","2007-01-31",3
"21","2007-02-01",3
"22","2007-02-02",2.99
"23","2007-02-05",3
"24","2007-02-06",3.03
"25","2007-02-07",3.06
"26","2007-02-08",3.07
"27","2007-02-09",3.11
"28","2007-02-12",3.16
"29","2007-02-13",3.17
"30","2007-02-14",3.74
"31","2007-02-15",3.73
"32","2007-02-16",3.7
"33","2007-02-20",3.7
"34","2007-02-21",3.64
"35","2007-02-22",3.63
"36","2007-02-23",3.6
"37","2007-02-26",3.63
"38","2007-02-27",3.57
"39","2007-02-28",3.55
"40","2007-03-01",3.51
"41","2007-03-02",3.48
"42","2007-03-05",3.45
"43","2007-03-06",3.5
"44","2007-03-07",3.4
"45","2007-03-08",3.41
"46","2007-03-09",3.47
"47","2007-03-12",3.48
"48","2007-03-13",3.42
"49","2007-03-14",3.38
"50","2007-03-15",3.36
"51","2007-03-16",3.27
"52","2007-03-19",3.38
"53","2007-03-20",3.4
"54","2007-03-21",3.45
"55","2007-03-22",3.55
"56","2007-03-23",3.54
"57","2007-03-26",3.5
"58","2007-03-27",3.43
"59","2007-03-28",3.47
"60","2007-03-29",3.46
"61","2007-03-30",3.42
"62","2007-04-02",3.42
"63","2007-04-03",3.59
"64","2007-04-04",3.65
"65","2007-04-05",3.85
"66","2007-04-09",3.97
"67","2007-04-10",4.18
"68","2007-04-11",4.14
"69","2007-04-12",4.05
"70","2007-04-13",4.02
"71","2007-04-16",4.22
"72","2007-04-17",4.2
"73","2007-04-18",4.2
"74","2007-04-19",4.07
"75","2007-04-20",4.04
"76","2007-04-23",4.2
"77","2007-04-24",4.14
"78","2007-04-25",4.15
"79","2007-04-26",4.2
"80","2007-04-27",4.2
"81","2007-04-30",4.2
"82","2007-05-01",4.25
"83","2007-05-02",4.21
"84","2007-05-03",4.15
"85","2007-05-04",4.15
"86","2007-05-07",4.31
"87","2007-05-08",4.23
"88","2007-05-09",4.27
"89","2007-05-10",4.22
"90","2007-05-11",4.25
"91","2007-05-14",4.47
"92","2007-05-15",4.28
"93","2007-05-16",4.76
"94","2007-05-17",4.49
"95","2007-05-18",4.63
"96","2007-05-21",4.93
"97","2007-05-22",4.92
"98","2007-05-23",4.86
"99","2007-05-24",4.67
"100","2007-05-25",4.63
"101","2007-05-29",4.83
"102","2007-05-30",4.84
"103","2007-05-31",4.9
"104","2007-06-01",4.95
"105","2007-06-04",5.03
"106","2007-06-05",4.95
"107","2007-06-06",4.82
"108","2007-06-07",4.55
"109","2007-06-08",4.66
"110","2007-06-11",4.85
"111","2007-06-12",4.85
"112","2007-06-13",4.87
"113","2007-06-14",4.78
"114","2007-06-15",4.97
"115","2007-06-18",4.91
"116","2007-06-19",5
"117","2007-06-20",4.98
"118","2007-06-21",4.9
"119","2007-06-22",4.85
"120","2007-06-25",5.17
"121","2007-06-26",5.21
"122","2007-06-27",5.25
"123","2007-06-28",5.3
"124","2007-06-29",5.26
"125","2007-07-02",5.6
"126","2007-07-03",5.66
"127","2007-07-05",5.61
"128","2007-07-06",5.6
"129","2007-07-09",5.75
"130","2007-07-10",5.6
"131","2007-07-11",5.9
"132","2007-07-12",5.96
"133","2007-07-13",5.9
"134","2007-07-16",5.83
"135","2007-07-17",6.22
"136","2007-07-18",6.2
"137","2007-07-19",6.15
"138","2007-07-20",6.14
"139","2007-07-23",6.12
"140","2007-07-24",6.2
"141","2007-07-25",5.87
"142","2007-07-26",5.6
"143","2007-07-27",5.7
"144","2007-07-30",5.91
"145","2007-07-31",6.03
"146","2007-08-01",5.73
"147","2007-08-02",5.63
"148","2007-08-03",5.78
"149","2007-08-06",5.1
"150","2007-08-07",4.93
"151","2007-08-08",4.95
"152","2007-08-09",5.08
"153","2007-08-10",4.88
"154","2007-08-13",5.96
"155","2007-08-14",5.94
"156","2007-08-15",5.8
"157","2007-08-16",5.49
"158","2007-08-17",5.65
"159","2007-08-20",5.72
"160","2007-08-21",5.85
"161","2007-08-22",6.27
"162","2007-08-23",6.2
"163","2007-08-24",6.34
"164","2007-08-27",6.69
"165","2007-08-28",6.74
"166","2007-08-29",7.18
"167","2007-08-30",7.54
"168","2007-08-31",7.91
"169","2007-09-04",7.05
"170","2007-09-05",7.35
"171","2007-09-06",7.85
"172","2007-09-07",7.32
"173","2007-09-10",7.28
"174","2007-09-11",7.6
"175","2007-09-12",7.55
"176","2007-09-13",6.87
"177","2007-09-14",7.18
"178","2007-09-17",7.06
"179","2007-09-18",7.27
"180","2007-09-19",8.4
"181","2007-09-20",9.03
"182","2007-09-21",9.28
"183","2007-09-24",8
"184","2007-09-25",8.02
"185","2007-09-26",7.82
"186","2007-09-27",7.49
"187","2007-09-28",8.12
"188","2007-10-01",8.1
"189","2007-10-02",8.1
"190","2007-10-03",7.96
"191","2007-10-04",7.93
"192","2007-10-05",8.12
"193","2007-10-08",7.87
"194","2007-10-09",7.93
"195","2007-10-10",8.03
"196","2007-10-11",8.06
"197","2007-10-12",7.84
"198","2007-10-15",7.96
"199","2007-10-16",8.09
"200","2007-10-17",8.1
"201","2007-10-18",8.3
"202","2007-10-19",8.13
"203","2007-10-22",7.65
"204","2007-10-23",7.91
"205","2007-10-24",8
"206","2007-10-25",8.03
"207","2007-10-26",8.12
"208","2007-10-29",8.76
"209","2007-10-30",8.48
"210","2007-10-31",8.91
"211","2007-11-01",8.5
"212","2007-11-02",7.35
"213","2007-11-05",7.23
"214","2007-11-06",6.67
"215","2007-11-07",6.56
"216","2007-11-08",6.55
"217","2007-11-09",6.32
"218","2007-11-12",5.99
"219","2007-11-13",5.64
"220","2007-11-14",6.22
"221","2007-11-15",5.9
"222","2007-11-16",5.98
"223","2007-11-19",5.73
"224","2007-11-20",5.73
"225","2007-11-21",5.51
"226","2007-11-23",5.81
"227","2007-11-26",5.53
"228","2007-11-27",5.71
"229","2007-11-28",5.71
"230","2007-11-29",5.61
"231","2007-11-30",5.8
"232","2007-12-03",5.89
"233","2007-12-04",5.85
"234","2007-12-05",5.74
"235","2007-12-06",5.9
"236","2007-12-07",6.1
"237","2007-12-10",5.98
"238","2007-12-11",5.94
"239","2007-12-12",6.05
"240","2007-12-13",6.12
"241","2007-12-14",6.11
"242","2007-12-17",5.76
"243","2007-12-18",5.48
"244","2007-12-19",5.87
"245","2007-12-20",5.84
"246","2007-12-21",6.42
"247","2007-12-24",6.15
"248","2007-12-26",6.43
"249","2007-12-27",6.1
"250","2007-12-28",6.18
"251","2007-12-31",6.17
"252","2008-01-02",6
"253","2008-01-03",6.16
"254","2008-01-04",5.85
"255","2008-01-07",5.85
"256","2008-01-08",5.52
"257","2008-01-09",5.42
"258","2008-01-10",5.17
"259","2008-01-11",5.12
"260","2008-01-14",5
"261","2008-01-15",5.33
"262","2008-01-16",5.29
"263","2008-01-17",4.95
"264","2008-01-18",5.01
"265","2008-01-22",4.74
"266","2008-01-23",4.8
"267","2008-01-24",4.66
"268","2008-01-25",4.92
"269","2008-01-28",4.81
"270","2008-01-29",4.95
"271","2008-01-30",5.32
"272","2008-01-31",5.15
"273","2008-02-01",5.8
"274","2008-02-04",5.56
"275","2008-02-05",5.84
"276","2008-02-06",5.88
"277","2008-02-07",5.8
"278","2008-02-08",5.99
"279","2008-02-11",4.51
"280","2008-02-12",4.57
"281","2008-02-13",4.5
"282","2008-02-14",4.5
"283","2008-02-15",4.42
"284","2008-02-19",4.4
"285","2008-02-20",4.32
"286","2008-02-21",4.35
"287","2008-02-22",4.28
"288","2008-02-25",4.24
"289","2008-02-26",4.2
"290","2008-02-27",4.28
"291","2008-02-28",4.29
"292","2008-02-29",4.25
"293","2008-03-03",4.22
"294","2008-03-04",4.17
"295","2008-03-05",4.28
"296","2008-03-06",4.19
"297","2008-03-07",4.2
"298","2008-03-10",4.16
"299","2008-03-11",4.09
"300","2008-03-12",4.27
"301","2008-03-13",4.22
"302","2008-03-14",4.22
"303","2008-03-17",4.1
"304","2008-03-18",3.91
"305","2008-03-19",3.81
"306","2008-03-20",3.7
"307","2008-03-24",3.71
"308","2008-03-25",3.86
"309","2008-03-26",3.75
"310","2008-03-27",3.66
"311","2008-03-28",3.66
"312","2008-03-31",3.46
"313","2008-04-01",3.76
"314","2008-04-02",3.79
"315","2008-04-03",3.6
"316","2008-04-04",3.65
"317","2008-04-07",3.62
"318","2008-04-08",3.67
"319","2008-04-09",3.77
"320","2008-04-10",3.72
"321","2008-04-11",3.71
"322","2008-04-14",3.76
"323","2008-04-15",3.74
"324","2008-04-16",3.65
"325","2008-04-17",3.76
"326","2008-04-18",3.66
"327","2008-04-21",3.76
"328","2008-04-22",3.78
"329","2008-04-23",3.77
"330","2008-04-24",3.8
"331","2008-04-25",3.79
"332","2008-04-28",3.76
"333","2008-04-29",3.78
"334","2008-04-30",3.92
"335","2008-05-01",4.1
"336","2008-05-02",4.14
"337","2008-05-05",4.11
"338","2008-05-06",4.15
"339","2008-05-07",4.15
"340","2008-05-08",4.22
"341","2008-05-09",4.09
"342","2008-05-12",3.7
"343","2008-05-13",3.55
"344","2008-05-14",3.71
"345","2008-05-15",3.7
"346","2008-05-16",3.6
"347","2008-05-19",3.69
"348","2008-05-20",3.68
"349","2008-05-21",3.7
"350","2008-05-22",3.74
"351","2008-05-23",3.73
"352","2008-05-27",3.65
"353","2008-05-28",3.7
"354","2008-05-29",3.66
"355","2008-05-30",3.68
"356","2008-06-02",3.61
"357","2008-06-03",3.51
"358","2008-06-04",3.41
"359","2008-06-05",3.37
"360","2008-06-06",3.41
"361","2008-06-09",3.17
"362","2008-06-10",3.1
"363","2008-06-11",3.12
"364","2008-06-12",3.14
"365","2008-06-13",3.12
"366","2008-06-16",3.11
"367","2008-06-17",3.08
"368","2008-06-18",3.1
"369","2008-06-19",3.1
"370","2008-06-20",3.07
"371","2008-06-23",3.14
"372","2008-06-24",3.1
"373","2008-06-25",3.14
"374","2008-06-26",3.06
"375","2008-06-27",3.06
"376","2008-06-30",3.05
"377","2008-07-01",2.79
"378","2008-07-02",2.87
"379","2008-07-03",2.69
"380","2008-07-07",2.71
"381","2008-07-08",2.75
"382","2008-07-09",2.76
"383","2008-07-10",2.77
"384","2008-07-11",2.74
"385","2008-07-14",2.79
"386","2008-07-15",2.8
"387","2008-07-16",2.67
"388","2008-07-17",2.66
"389","2008-07-18",2.79
"390","2008-07-21",2.78
"391","2008-07-22",2.76
"392","2008-07-23",2.8
"393","2008-07-24",2.69
"394","2008-07-25",2.75
"395","2008-07-28",2.76
"396","2008-07-29",2.77
"397","2008-07-30",2.7
"398","2008-07-31",2.56
"399","2008-08-01",2.62
"400","2008-08-04",2.62
"401","2008-08-05",2.75
"402","2008-08-06",2.7
"403","2008-08-07",2.65
"404","2008-08-08",2.65
"405","2008-08-11",3
"406","2008-08-12",3
"407","2008-08-13",3.03
"408","2008-08-14",3.03
"409","2008-08-15",3.05
"410","2008-08-18",3.01
"411","2008-08-19",2.74
"412","2008-08-20",2.76
"413","2008-08-21",2.76
"414","2008-08-22",2.74
"415","2008-08-25",2.76
"416","2008-08-26",2.75
"417","2008-08-27",2.75
"418","2008-08-28",2.94
"419","2008-08-29",3.14
"420","2008-09-02",3.22
"421","2008-09-03",3.43
"422","2008-09-04",3.26
"423","2008-09-05",3.12
"424","2008-09-08",3.23
"425","2008-09-09",3.25
"426","2008-09-10",3.09
"427","2008-09-11",3.04
"428","2008-09-12",3.1
"429","2008-09-15",3.01
"430","2008-09-16",3
"431","2008-09-17",2.73
"432","2008-09-18",2.61
"433","2008-09-19",2.68
"434","2008-09-22",2.95
"435","2008-09-23",2.83
"436","2008-09-24",3
"437","2008-09-25",2.87
"438","2008-09-26",2.8
"439","2008-09-29",2.79
"440","2008-09-30",2.69
"441","2008-10-01",2.65
