"","date","UI"
"1","2011-10-14",17.5
"2","2011-10-17",18.6
"3","2011-10-18",19
"4","2011-10-19",17.65
"5","2011-10-20",17.879999
"6","2011-10-21",19.559999
"7","2011-10-24",20.23
"8","2011-10-25",19.389999
"9","2011-10-26",19.040001
"10","2011-10-27",19.120001
"11","2011-10-28",20.389999
"12","2011-10-31",20.99
"13","2011-11-01",20.459999
"14","2011-11-02",20.75
"15","2011-11-03",20.17
"16","2011-11-04",19.27
"17","2011-11-07",18.860001
"18","2011-11-08",18.709999
"19","2011-11-09",18.719999
"20","2011-11-10",18.6
"21","2011-11-11",19.459999
"22","2011-11-14",19.709999
"23","2011-11-15",19.85
"24","2011-11-16",20.049999
"25","2011-11-17",22.01
"26","2011-11-18",22.360001
"27","2011-11-21",20.469999
"28","2011-11-22",20.540001
"29","2011-11-23",19.67
"30","2011-11-25",19.360001
"31","2011-11-28",19.370001
"32","2011-11-29",18.879999
"33","2011-11-30",19.76
"34","2011-12-01",19.99
"35","2011-12-02",20.25
"36","2011-12-05",19.93
"37","2011-12-06",19.5
"38","2011-12-07",19.84
"39","2011-12-08",20.110001
"40","2011-12-09",20.139999
"41","2011-12-12",19.860001
"42","2011-12-13",20.82
"43","2011-12-14",21.030001
"44","2011-12-15",20.549999
"45","2011-12-16",20.9
"46","2011-12-19",20.540001
"47","2011-12-20",19.879999
"48","2011-12-21",19.360001
"49","2011-12-22",19.209999
"50","2011-12-23",19.26
"51","2011-12-27",18.84
"52","2011-12-28",18.43
"53","2011-12-29",18.559999
"54","2011-12-30",18.23
"55","2012-01-03",18.49
"56","2012-01-04",18.25
"57","2012-01-05",17.440001
"58","2012-01-06",18.299999
"59","2012-01-09",19.32
"60","2012-01-10",19.92
"61","2012-01-11",21.17
"62","2012-01-12",21.809999
"63","2012-01-13",22.389999
"64","2012-01-17",21.639999
"65","2012-01-18",21.139999
"66","2012-01-19",20.030001
"67","2012-01-20",20.040001
"68","2012-01-23",19.99
"69","2012-01-24",19.959999
"70","2012-01-25",20.139999
"71","2012-01-26",21
"72","2012-01-27",22.559999
