"","date","ICPT"
"1","2012-10-11",19.4
"2","2012-10-12",19.049999
"3","2012-10-15",19.26
"4","2012-10-16",19.67
"5","2012-10-17",19.780001
"6","2012-10-18",20
"7","2012-10-19",19.969999
"8","2012-10-22",19.5
"9","2012-10-23",19.440001
"10","2012-10-24",19.200001
"11","2012-10-25",19.200001
"12","2012-10-26",19.02
"13","2012-10-31",18.059999
"14","2012-11-01",19
"15","2012-11-02",18.75
"16","2012-11-05",19.27
"17","2012-11-06",21
"18","2012-11-07",20.200001
"19","2012-11-08",20.1
"20","2012-11-09",20
"21","2012-11-12",21
"22","2012-11-13",21.459999
"23","2012-11-14",21.99
"24","2012-11-15",22.120001
"25","2012-11-16",21.5
"26","2012-11-19",21.48
"27","2012-11-20",21.5
"28","2012-11-21",21.01
"29","2012-11-23",21.209999
"30","2012-11-26",21.059999
"31","2012-11-27",21.049999
"32","2012-11-28",21.5
"33","2012-11-29",22
"34","2012-11-30",23.370001
"35","2012-12-03",22.549999
"36","2012-12-04",23.49
"37","2012-12-05",25
"38","2012-12-06",28.200001
"39","2012-12-07",28.450001
"40","2012-12-10",28.200001
"41","2012-12-11",30.23
"42","2012-12-12",33
"43","2012-12-13",34.900002
"44","2012-12-14",34.580002
"45","2012-12-17",34.75
"46","2012-12-18",34.009998
"47","2012-12-19",33.709999
"48","2012-12-20",34.09
"49","2012-12-21",34.34
"50","2012-12-24",33.93
"51","2012-12-26",33.939999
"52","2012-12-27",33.830002
"53","2012-12-28",34
"54","2012-12-31",34.240002
"55","2013-01-02",34.259998
"56","2013-01-03",34.040001
"57","2013-01-04",34.130001
"58","2013-01-07",33.869999
"59","2013-01-08",33.720001
"60","2013-01-09",33.740002
"61","2013-01-10",34.02
"62","2013-01-11",33.889999
"63","2013-01-14",33.580002
"64","2013-01-15",34.18
"65","2013-01-16",33.709999
"66","2013-01-17",33.73
"67","2013-01-18",33.93
"68","2013-01-22",34.189999
"69","2013-01-23",35.849998
"70","2013-01-24",37.290001
"71","2013-01-25",38.490002
"72","2013-01-28",41.009998
"73","2013-01-29",41.700001
"74","2013-01-30",39.66
"75","2013-01-31",40.389999
"76","2013-02-01",39.939999
"77","2013-02-04",37.82
"78","2013-02-05",37.630001
"79","2013-02-06",37.970001
"80","2013-02-07",37.299999
"81","2013-02-08",37.34
"82","2013-02-11",35.400002
"83","2013-02-12",36.349998
"84","2013-02-13",35.139999
"85","2013-02-14",36.240002
"86","2013-02-15",36.84
"87","2013-02-19",39.529999
"88","2013-02-20",36.810001
"89","2013-02-21",35.450001
"90","2013-02-22",38.799999
"91","2013-02-25",36.75
"92","2013-02-26",38.200001
"93","2013-02-27",38.959999
"94","2013-02-28",39.02
"95","2013-03-01",36.990002
"96","2013-03-04",37.689999
"97","2013-03-05",38.310001
"98","2013-03-06",37.790001
"99","2013-03-07",38.099998
"100","2013-03-08",37.950001
"101","2013-03-11",37.16
"102","2013-03-12",37.529999
"103","2013-03-13",37.990002
