"","date","RIGL"
"1","2007-01-03",11.89
"2","2007-01-04",12.05
"3","2007-01-05",11.43
"4","2007-01-08",11.68
"5","2007-01-09",11.59
"6","2007-01-10",11.48
"7","2007-01-11",11.47
"8","2007-01-12",11.5
"9","2007-01-16",11.73
"10","2007-01-17",11.9
"11","2007-01-18",11.47
"12","2007-01-19",11.7
"13","2007-01-22",11.5
"14","2007-01-23",11.36
"15","2007-01-24",11.45
"16","2007-01-25",11.5
"17","2007-01-26",11.28
"18","2007-01-29",11.47
"19","2007-01-30",11.73
"20","2007-01-31",11.35
"21","2007-02-01",11.48
"22","2007-02-02",11.32
"23","2007-02-05",11.27
"24","2007-02-06",11.24
"25","2007-02-07",11.48
"26","2007-02-08",11.09
"27","2007-02-09",11.2
"28","2007-02-12",10.94
"29","2007-02-13",11.15
"30","2007-02-14",11.01
"31","2007-02-15",10.93
"32","2007-02-16",11.01
"33","2007-02-20",11.01
"34","2007-02-21",10.9
"35","2007-02-22",10.91
"36","2007-02-23",10.87
"37","2007-02-26",10.62
"38","2007-02-27",10.09
"39","2007-02-28",10.47
"40","2007-03-01",10.32
"41","2007-03-02",10.41
"42","2007-03-05",9.63
"43","2007-03-06",9.99
"44","2007-03-07",9.84
"45","2007-03-08",10
"46","2007-03-09",9.66
"47","2007-03-12",9.9
"48","2007-03-13",9.51
"49","2007-03-14",9.51
"50","2007-03-15",9.67
"51","2007-03-16",9.45
"52","2007-03-19",9.61
"53","2007-03-20",9.6
"54","2007-03-21",10.65
"55","2007-03-22",10.29
"56","2007-03-23",10.5
"57","2007-03-26",10.53
"58","2007-03-27",10.67
"59","2007-03-28",10.86
"60","2007-03-29",10.78
"61","2007-03-30",10.86
"62","2007-04-02",10.98
"63","2007-04-03",11.08
"64","2007-04-04",11.05
"65","2007-04-05",11.19
"66","2007-04-09",11
"67","2007-04-10",11.12
"68","2007-04-11",11.81
"69","2007-04-12",11.92
"70","2007-04-13",12.13
"71","2007-04-16",12.08
"72","2007-04-17",11.88
"73","2007-04-18",11.87
"74","2007-04-19",11.67
"75","2007-04-20",11.79
"76","2007-04-23",11.8
"77","2007-04-24",11.76
"78","2007-04-25",11.59
"79","2007-04-26",11.57
"80","2007-04-27",11.3
"81","2007-04-30",10.6
"82","2007-05-01",10.54
"83","2007-05-02",10.19
"84","2007-05-03",9.64
"85","2007-05-04",9.8
"86","2007-05-07",9.9
"87","2007-05-08",9.79
"88","2007-05-09",9.75
"89","2007-05-10",9.61
"90","2007-05-11",9.73
"91","2007-05-14",9.68
"92","2007-05-15",9.46
"93","2007-05-16",9.61
"94","2007-05-17",9.38
"95","2007-05-18",9.49
"96","2007-05-21",9.69
"97","2007-05-22",9.54
"98","2007-05-23",9.59
"99","2007-05-24",9.6
"100","2007-05-25",9.51
"101","2007-05-29",9.87
"102","2007-05-30",9.97
"103","2007-05-31",9.74
"104","2007-06-01",9.73
"105","2007-06-04",9.62
"106","2007-06-05",9.73
"107","2007-06-06",9.71
"108","2007-06-07",9.46
"109","2007-06-08",9.61
"110","2007-06-11",9.47
"111","2007-06-12",9.26
"112","2007-06-13",9.45
"113","2007-06-14",9.5
"114","2007-06-15",9.81
"115","2007-06-18",9.73
"116","2007-06-19",9.66
"117","2007-06-20",9.54
"118","2007-06-21",9.46
"119","2007-06-22",9.11
"120","2007-06-25",8.92
"121","2007-06-26",8.89
"122","2007-06-27",9.16
"123","2007-06-28",9.06
"124","2007-06-29",8.91
"125","2007-07-02",8.74
"126","2007-07-03",8.61
"127","2007-07-05",8.6
"128","2007-07-06",8.58
"129","2007-07-09",8.66
"130","2007-07-10",8.44
"131","2007-07-11",8.38
"132","2007-07-12",8.52
"133","2007-07-13",8.74
"134","2007-07-16",8.76
"135","2007-07-17",8.73
"136","2007-07-18",8.69
"137","2007-07-19",9.31
"138","2007-07-20",8.95
"139","2007-07-23",8.9
"140","2007-07-24",8.76
"141","2007-07-25",9.06
"142","2007-07-26",8.57
"143","2007-07-27",8.12
"144","2007-07-30",7.98
"145","2007-07-31",7.96
"146","2007-08-01",7.94
"147","2007-08-02",8.15
"148","2007-08-03",7.71
"149","2007-08-06",7.56
"150","2007-08-07",8.02
"151","2007-08-08",9.48
"152","2007-08-09",9.73
"153","2007-08-10",9.02
"154","2007-08-13",8.75
"155","2007-08-14",8.73
"156","2007-08-15",8.77
"157","2007-08-16",9.63
"158","2007-08-17",9.67
"159","2007-08-20",9.48
"160","2007-08-21",9.34
"161","2007-08-22",9.2
"162","2007-08-23",9.15
"163","2007-08-24",9.02
"164","2007-08-27",8.84
"165","2007-08-28",8.95
"166","2007-08-29",8.95
"167","2007-08-30",9.03
"168","2007-08-31",9.16
"169","2007-09-04",9.31
"170","2007-09-05",9.23
"171","2007-09-06",9.41
"172","2007-09-07",9.24
"173","2007-09-10",9.27
"174","2007-09-11",9.45
