"","date","MN"
"1","2011-11-18",12
"2","2011-11-21",11.98
"3","2011-11-22",12.2
"4","2011-11-23",12
"5","2011-11-25",12
"6","2011-11-28",12.3
"7","2011-11-29",12.27
"8","2011-11-30",12.7
"9","2011-12-01",12.63
"10","2011-12-02",12.7
"11","2011-12-05",12.59
"12","2011-12-06",12.59
"13","2011-12-07",12.33
"14","2011-12-08",12.06
"15","2011-12-09",12.05
"16","2011-12-12",12.25
"17","2011-12-13",12.51
"18","2011-12-14",12.5
"19","2011-12-15",12.65
"20","2011-12-16",12.68
"21","2011-12-19",12.6
"22","2011-12-20",12.72
"23","2011-12-21",12.84
"24","2011-12-22",12.7
"25","2011-12-23",13.01
"26","2011-12-27",12.86
"27","2011-12-28",12.34
"28","2011-12-29",12.67
"29","2011-12-30",12.49
"30","2012-01-03",12.5
"31","2012-01-04",12.55
"32","2012-01-05",12.5
"33","2012-01-06",12.63
"34","2012-01-09",12.7
"35","2012-01-10",12.79
"36","2012-01-11",12.81
"37","2012-01-12",13.45
"38","2012-01-13",13.29
"39","2012-01-17",13.22
"40","2012-01-18",13.25
"41","2012-01-19",13.3
"42","2012-01-20",13.23
"43","2012-01-23",13.19
"44","2012-01-24",13.15
"45","2012-01-25",13.27
"46","2012-01-26",13.33
"47","2012-01-27",13.37
"48","2012-01-30",13.32
"49","2012-01-31",13.25
"50","2012-02-01",13.4
"51","2012-02-02",13.36
"52","2012-02-03",13.63
"53","2012-02-06",13.39
"54","2012-02-07",14.18
"55","2012-02-08",14.09
"56","2012-02-09",14.16
"57","2012-02-10",13.95
"58","2012-02-13",13.93
"59","2012-02-14",13.71
"60","2012-02-15",13.47
"61","2012-02-16",13.54
"62","2012-02-17",13.29
"63","2012-02-21",12.82
"64","2012-02-22",12.98
"65","2012-02-23",13.18
"66","2012-02-24",13.18
"67","2012-02-27",13
"68","2012-02-28",13.02
"69","2012-02-29",12.67
"70","2012-03-01",13.01
"71","2012-03-02",12.97
"72","2012-03-05",12.48
"73","2012-03-06",12.65
"74","2012-03-07",12.79
"75","2012-03-08",13.45
"76","2012-03-09",13.75
"77","2012-03-12",13.63
"78","2012-03-13",14.03
"79","2012-03-14",14
"80","2012-03-15",14.62
"81","2012-03-16",14.28
"82","2012-03-19",14.71
"83","2012-03-20",14.56
"84","2012-03-21",14.82
"85","2012-03-22",14.36
"86","2012-03-23",14.91
"87","2012-03-26",15
"88","2012-03-27",14.99
"89","2012-03-28",14.77
"90","2012-03-29",14.66
"91","2012-03-30",14.7
"92","2012-04-02",15
"93","2012-04-03",14.61
"94","2012-04-04",14.68
"95","2012-04-05",14.66
"96","2012-04-09",14.15
"97","2012-04-10",13.86
"98","2012-04-11",14.02
"99","2012-04-12",13.91
"100","2012-04-13",13.5
"101","2012-04-16",13.41
"102","2012-04-17",14.04
"103","2012-04-18",14
"104","2012-04-19",13.84
"105","2012-04-20",14.38
"106","2012-04-23",14.15
"107","2012-04-24",14.3
"108","2012-04-25",14.6
"109","2012-04-26",14.7
"110","2012-04-27",14.99
"111","2012-04-30",14.5
"112","2012-05-01",14.18
"113","2012-05-02",14.67
"114","2012-05-03",14.97
"115","2012-05-04",14.53
"116","2012-05-07",14.47
"117","2012-05-08",14.65
"118","2012-05-09",14.3
"119","2012-05-10",14.28
"120","2012-05-11",14.22
"121","2012-05-14",14.05
"122","2012-05-15",13.8
"123","2012-05-16",13.59
"124","2012-05-17",13.37
"125","2012-05-18",12.96
"126","2012-05-21",13.61
"127","2012-05-22",13.37
"128","2012-05-23",13.49
"129","2012-05-24",13.66
"130","2012-05-25",13.67
"131","2012-05-29",13.79
"132","2012-05-30",13.83
"133","2012-05-31",13.89
"134","2012-06-01",13.46
"135","2012-06-04",13.64
"136","2012-06-05",13.46
"137","2012-06-06",13.73
"138","2012-06-07",13.68
"139","2012-06-08",13.88
"140","2012-06-11",14.09
"141","2012-06-12",14.14
"142","2012-06-13",13.8
"143","2012-06-14",14
"144","2012-06-15",14.13
"145","2012-06-18",13.8
"146","2012-06-19",14.1
"147","2012-06-20",13.92
"148","2012-06-21",13.47
"149","2012-06-22",14
"150","2012-06-25",13.59
"151","2012-06-26",13.19
"152","2012-06-27",13.66
"153","2012-06-28",13.68
"154","2012-06-29",14.23
"155","2012-07-02",14.12
"156","2012-07-03",14.05
"157","2012-07-05",13.99
"158","2012-07-06",13.95
"159","2012-07-09",13.54
"160","2012-07-10",13.47
"161","2012-07-11",13.65
"162","2012-07-12",13.97
"163","2012-07-13",14.37
"164","2012-07-16",14.34
"165","2012-07-17",14.33
"166","2012-07-18",14.4
"167","2012-07-19",14.11
"168","2012-07-20",13.88
"169","2012-07-23",13.44
"170","2012-07-24",13.42
"171","2012-07-25",13.35
"172","2012-07-26",13.53
"173","2012-07-27",13.59
"174","2012-07-30",13.7
"175","2012-07-31",13.64
"176","2012-08-01",12.84
"177","2012-08-02",12.7
"178","2012-08-03",12.51
"179","2012-08-06",12.31
"180","2012-08-07",12.19
"181","2012-08-08",12.2
"182","2012-08-09",12.27
"183","2012-08-10",12.26
"184","2012-08-13",12.04
"185","2012-08-14",12
"186","2012-08-15",11.99
"187","2012-08-16",11.99
"188","2012-08-17",12.02
"189","2012-08-20",12.01
"190","2012-08-21",11.93
"191","2012-08-22",11.87
"192","2012-08-23",11.81
"193","2012-08-24",11.86
"194","2012-08-27",11.83
"195","2012-08-28",11.96
"196","2012-08-29",11.93
"197","2012-08-30",11.8
"198","2012-08-31",11.89
"199","2012-09-04",12.01
"200","2012-09-05",12.08
"201","2012-09-06",12.47
"202","2012-09-07",12.59
"203","2012-09-10",12.7
"204","2012-09-11",13.04
"205","2012-09-12",12.99
"206","2012-09-13",12.94
"207","2012-09-14",13.5
"208","2012-09-17",13.35
"209","2012-09-18",13.13
"210","2012-09-19",12.9
"211","2012-09-20",12.62
"212","2012-09-21",12.96
"213","2012-09-24",13.25
"214","2012-09-25",12.89
"215","2012-09-26",12.69
"216","2012-09-27",12.36
"217","2012-09-28",12.19
"218","2012-10-01",12.41
"219","2012-10-02",12.38
"220","2012-10-03",12.36
"221","2012-10-04",12.73
"222","2012-10-05",12.57
"223","2012-10-08",12.49
"224","2012-10-09",12.3
"225","2012-10-10",12.53
"226","2012-10-11",12.38
"227","2012-10-12",12.28
"228","2012-10-15",12.16
"229","2012-10-16",12.36
"230","2012-10-17",12.43
"231","2012-10-18",12.5
"232","2012-10-19",12.03
"233","2012-10-22",12.04
"234","2012-10-23",11.95
"235","2012-10-24",12.15
"236","2012-10-25",12.35
"237","2012-10-26",12.53
"238","2012-10-31",13.01
"239","2012-11-01",12.91
"240","2012-11-02",12.61
"241","2012-11-05",13.05
"242","2012-11-06",12.94
"243","2012-11-07",12.42
"244","2012-11-08",11.98
"245","2012-11-09",12.08
"246","2012-11-12",12.56
"247","2012-11-13",12.5
"248","2012-11-14",12.31
"249","2012-11-15",12.39
"250","2012-11-16",12.59
"251","2012-11-19",12.7
"252","2012-11-20",12.72
"253","2012-11-21",12.82
"254","2012-11-23",12.79
"255","2012-11-26",13
"256","2012-11-27",12.93
"257","2012-11-28",12.93
"258","2012-11-29",13.12
"259","2012-11-30",12.51
"260","2012-12-03",12.69
"261","2012-12-04",12.52
"262","2012-12-05",12.47
"263","2012-12-06",12.57
"264","2012-12-07",12.75
"265","2012-12-10",12.77
"266","2012-12-11",12.89
"267","2012-12-12",12.87
"268","2012-12-13",13.07
"269","2012-12-14",12.98
"270","2012-12-17",13.17
"271","2012-12-18",13.25
"272","2012-12-19",13
"273","2012-12-20",12.89
"274","2012-12-21",12.7
"275","2012-12-24",12.78
"276","2012-12-26",12.69
"277","2012-12-27",12.38
"278","2012-12-28",12.7
"279","2012-12-31",12.6
"280","2013-01-02",13.21
"281","2013-01-03",13.08
"282","2013-01-04",13.12
"283","2013-01-07",13.18
"284","2013-01-08",13.36
"285","2013-01-09",13.45
"286","2013-01-10",13.29
"287","2013-01-11",13.43
"288","2013-01-14",13.76
"289","2013-01-15",13.69
"290","2013-01-16",13.6
"291","2013-01-17",13.84
"292","2013-01-18",13.78
"293","2013-01-22",13.84
"294","2013-01-23",13.48
"295","2013-01-24",13.49
"296","2013-01-25",13.54
"297","2013-01-28",13.85
"298","2013-01-29",14.28
"299","2013-01-30",14.09
"300","2013-01-31",14.1
"301","2013-02-01",14.67
"302","2013-02-04",15.01
"303","2013-02-05",15.38
"304","2013-02-06",14.9
"305","2013-02-07",15.01
"306","2013-02-08",15.2
"307","2013-02-11",15.13
"308","2013-02-12",15.22
"309","2013-02-13",15.52
"310","2013-02-14",15.68
"311","2013-02-15",15.54
"312","2013-02-19",15.5
"313","2013-02-20",15.19
"314","2013-02-21",15.24
"315","2013-02-22",15.03
"316","2013-02-25",14.88
"317","2013-02-26",15.08
"318","2013-02-27",15.1
"319","2013-02-28",14.94
"320","2013-03-01",15.05
"321","2013-03-04",15.01
"322","2013-03-05",15.09
"323","2013-03-06",15.09
"324","2013-03-07",15
"325","2013-03-08",15.07
"326","2013-03-11",14.97
"327","2013-03-12",15.15
"328","2013-03-13",15.45
"329","2013-03-14",15.97
"330","2013-03-15",16.09
"331","2013-03-18",16.15
"332","2013-03-19",15.99
"333","2013-03-20",16.01
"334","2013-03-21",16.110001
"335","2013-03-22",16.309999
"336","2013-03-25",16.32
"337","2013-03-26",16.469999
"338","2013-03-27",16.780001
"339","2013-03-28",16.540001
"340","2013-04-01",16.389999
"341","2013-04-02",15.94
"342","2013-04-03",15.63
"343","2013-04-04",15.96
"344","2013-04-05",16.190001
"345","2013-04-08",16.280001
"346","2013-04-09",16.209999
"347","2013-04-10",16.57
"348","2013-04-11",16.49
"349","2013-04-12",16.4
