"","date","KW"
"1","2007-12-03",9.05
"2","2007-12-04",9
"3","2007-12-05",8.97
"4","2007-12-06",8.97
"5","2007-12-07",8.96
"6","2007-12-10",8.95
"7","2007-12-11",8.96
"8","2007-12-12",8.95
"9","2007-12-13",8.96
"10","2007-12-14",9.05
"11","2007-12-17",8.96
"12","2007-12-18",8.98
"13","2007-12-19",8.96
"14","2007-12-20",8.96
"15","2007-12-21",9.05
"16","2007-12-24",9.02
"17","2007-12-26",8.95
"18","2007-12-27",9.01
"19","2007-12-28",8.91
"20","2007-12-31",9.1
"21","2008-01-02",9
"22","2008-01-03",9.1
"23","2008-01-04",8.97
"24","2008-01-07",9.06
"25","2008-01-08",9.13
"26","2008-01-09",9.14
"27","2008-01-10",9.12
"28","2008-01-11",9.12
"29","2008-01-14",9.12
"30","2008-01-15",9.15
"31","2008-01-16",9.12
"32","2008-01-17",9.1
"33","2008-01-18",9.06
"34","2008-01-22",9.07
"35","2008-01-23",9.03
"36","2008-01-24",9.02
"37","2008-01-25",9.04
"38","2008-01-28",9.05
"39","2008-01-29",9.06
"40","2008-01-30",9.06
"41","2008-01-31",9.02
"42","2008-02-01",9.08
"43","2008-02-04",9.08
"44","2008-02-05",9.12
"45","2008-02-06",9.12
"46","2008-02-07",9.06
"47","2008-02-08",9.06
"48","2008-02-11",9.06
"49","2008-02-12",9.07
"50","2008-02-13",9.08
"51","2008-02-14",9.09
"52","2008-02-15",9.04
"53","2008-02-19",9.04
"54","2008-02-20",9.14
"55","2008-02-21",9.2
"56","2008-02-22",9.18
"57","2008-02-25",9.2
"58","2008-02-26",9.16
"59","2008-02-27",9.17
"60","2008-02-28",9.11
"61","2008-02-29",9.15
"62","2008-03-03",9.15
"63","2008-03-04",9.12
"64","2008-03-05",9.12
"65","2008-03-06",9.12
"66","2008-03-07",9.12
"67","2008-03-10",9.05
"68","2008-03-11",9.07
"69","2008-03-12",9.07
"70","2008-03-13",9.12
"71","2008-03-14",9.07
"72","2008-03-17",9.1
"73","2008-03-18",9.05
"74","2008-03-19",9.05
"75","2008-03-20",9.07
"76","2008-03-24",9.07
"77","2008-03-25",9.08
"78","2008-03-26",9.08
"79","2008-03-27",9.08
"80","2008-03-28",9.08
"81","2008-03-31",9.08
"82","2008-04-01",9.08
"83","2008-04-02",9.1
"84","2008-04-03",9.08
"85","2008-04-04",9.08
"86","2008-04-07",9.12
"87","2008-04-08",9.12
"88","2008-04-09",9.08
"89","2008-04-10",9.1
"90","2008-04-11",9.1
"91","2008-04-14",9.1
"92","2008-04-15",9.11
"93","2008-04-16",9.11
"94","2008-04-17",9.11
"95","2008-04-18",9.11
"96","2008-04-21",9.11
"97","2008-04-22",9.1
"98","2008-04-23",9.1
"99","2008-04-24",9.1
"100","2008-04-25",9.1
"101","2008-04-28",9.1
"102","2008-04-29",9.1
"103","2008-04-30",9.1
"104","2008-05-01",9.07
"105","2008-05-02",9.06
"106","2008-05-05",9.06
"107","2008-05-06",9.07
"108","2008-05-07",9.06
"109","2008-05-08",9.06
"110","2008-05-09",9.06
"111","2008-05-12",9.05
"112","2008-05-13",9.07
"113","2008-05-14",9.07
"114","2008-05-15",9.07
"115","2008-05-16",9.1
"116","2008-05-19",9.1
"117","2008-05-20",9.05
"118","2008-05-21",9.09
"119","2008-05-22",9.15
"120","2008-05-23",9.1
