"","date","GMAB"
"1","2009-06-01",3.772
"2","2009-06-02",4.14
"3","2009-06-03",4.14
"4","2009-06-04",4
"5","2009-06-05",4
"6","2009-06-08",3.89
"7","2009-06-09",3.89
"8","2009-06-10",3.89
"9","2009-06-11",3.89
"10","2009-06-12",3.89
"11","2009-06-15",3.89
"12","2009-06-16",3.89
"13","2009-06-17",3.89
"14","2009-06-18",3.89
"15","2009-06-19",3.44
"16","2009-06-22",3.44
"17","2009-06-23",3.44
"18","2009-06-24",3.44
"19","2009-06-25",3.44
"20","2009-06-26",3.44
"21","2009-06-29",3.44
"22","2009-06-30",3.51
"23","2009-07-01",3.51
"24","2009-07-02",3.51
"25","2009-07-06",3.51
"26","2009-07-07",3.33
"27","2009-07-08",3.33
"28","2009-07-09",3.28
"29","2009-07-10",3.28
"30","2009-07-13",3.28
"31","2009-07-14",3.28
"32","2009-07-15",3.28
"33","2009-07-16",3.28
"34","2009-07-17",3.28
"35","2009-07-20",3.28
"36","2009-07-21",3.28
"37","2009-07-22",3.28
"38","2009-07-23",3.28
"39","2009-07-24",3.97
"40","2009-07-27",3.94
"41","2009-07-28",3.94
"42","2009-07-29",3.94
"43","2009-07-30",3.94
"44","2009-07-31",3.94
"45","2009-08-03",3.94
"46","2009-08-04",3.94
"47","2009-08-05",3.94
"48","2009-08-06",3.94
"49","2009-08-07",3.94
"50","2009-08-10",3.94
"51","2009-08-11",3.94
"52","2009-08-12",3.94
"53","2009-08-13",3.94
"54","2009-08-14",3.94
"55","2009-08-17",3.94
"56","2009-08-18",3.94
"57","2009-08-19",2.69
"58","2009-08-20",2.69
"59","2009-08-21",2.63
"60","2009-08-24",2.63
"61","2009-08-25",2.63
"62","2009-08-26",3.4
"63","2009-08-27",2.87
"64","2009-08-28",2.87
"65","2009-08-31",2.87
"66","2009-09-01",2.87
"67","2009-09-02",2.63
"68","2009-09-03",2.63
"69","2009-09-04",2.63
"70","2009-09-08",2.63
"71","2009-09-09",2.63
"72","2009-09-10",2.63
"73","2009-09-11",2.63
"74","2009-09-14",2.63
"75","2009-09-15",2.63
"76","2009-09-16",2.63
"77","2009-09-17",2.63
"78","2009-09-18",2.63
"79","2009-09-21",2.63
"80","2009-09-22",2.63
"81","2009-09-23",2.63
"82","2009-09-24",2.63
"83","2009-09-25",2.63
"84","2009-09-28",2.63
"85","2009-09-29",2.63
"86","2009-09-30",2.63
"87","2009-10-01",2.63
"88","2009-10-02",2.63
"89","2009-10-05",2.63
"90","2009-10-06",2.63
"91","2009-10-07",2.63
"92","2009-10-08",2.63
"93","2009-10-09",2.63
"94","2009-10-12",2.63
"95","2009-10-13",2.63
"96","2009-10-14",2.63
"97","2009-10-15",2.93
"98","2009-10-16",2.93
"99","2009-10-19",2.93
"100","2009-10-20",2.93
"101","2009-10-21",2.93
"102","2009-10-22",2.93
"103","2009-10-23",2.93
"104","2009-10-26",2.93
"105","2009-10-27",2.93
"106","2009-10-28",2.93
"107","2009-10-29",2.93
"108","2009-10-30",2.93
"109","2009-11-02",2.93
"110","2009-11-03",2.93
"111","2009-11-04",2.93
"112","2009-11-05",2.93
"113","2009-11-06",2.93
"114","2009-11-09",2.93
"115","2009-11-10",2.93
"116","2009-11-11",2.93
"117","2009-11-12",2.93
"118","2009-11-13",2.93
"119","2009-11-16",2.93
"120","2009-11-17",2.93
"121","2009-11-18",2.93
"122","2009-11-19",2.93
"123","2009-11-20",2.93
"124","2009-11-23",2.93
"125","2009-11-24",2.93
"126","2009-11-25",1.47
"127","2009-11-27",1.47
"128","2009-11-30",1.47
"129","2009-12-01",1.47
"130","2009-12-02",1.47
"131","2009-12-03",1.47
"132","2009-12-04",1.47
"133","2009-12-07",1.47
"134","2009-12-08",1.47
"135","2009-12-09",1.47
"136","2009-12-10",1.47
"137","2009-12-11",1.51
"138","2009-12-14",1.51
"139","2009-12-15",1.51
"140","2009-12-16",1.51
"141","2009-12-17",1.51
"142","2009-12-18",1.51
"143","2009-12-21",1.51
"144","2009-12-22",1.51
"145","2009-12-23",1.51
"146","2009-12-24",1.51
"147","2009-12-28",1.51
"148","2009-12-29",1.51
"149","2009-12-30",1.51
"150","2009-12-31",1.51
"151","2010-01-04",1.67
"152","2010-01-05",1.67
"153","2010-01-06",1.7116
"154","2010-01-07",1.7116
"155","2010-01-08",1.7116
"156","2010-01-11",1.7116
"157","2010-01-12",1.78
"158","2010-01-13",1.78
"159","2010-01-14",1.78
"160","2010-01-15",1.78
"161","2010-01-19",1.78
"162","2010-01-20",1.78
"163","2010-01-21",1.78
"164","2010-01-22",1.78
"165","2010-01-25",1.78
"166","2010-01-26",1.78
"167","2010-01-27",1.78
"168","2010-01-28",1.78
"169","2010-01-29",1.78
"170","2010-02-01",1.78
"171","2010-02-02",1.78
"172","2010-02-03",1.78
"173","2010-02-04",1.78
"174","2010-02-05",1.78
"175","2010-02-08",1.78
