"","date","BATRA"
"1","2016-04-18",19.950001
"2","2016-04-19",18.049999
"3","2016-04-20",18.049999
"4","2016-04-21",18.48
"5","2016-04-22",17.780001
"6","2016-04-25",16.18
"7","2016-04-26",15.02
"8","2016-04-27",14.53
"9","2016-04-28",15.5
"10","2016-04-29",15.64
"11","2016-05-02",15.61
"12","2016-05-03",15.97
"13","2016-05-04",16.030001
"14","2016-05-05",15.79
"15","2016-05-06",15.91
"16","2016-05-09",16.25
"17","2016-05-10",16.540001
"18","2016-05-11",16.57
"19","2016-05-12",16.59
"20","2016-05-13",17.1
"21","2016-05-16",17.219999
"22","2016-05-17",17.15
"23","2016-05-18",17.16
"24","2016-05-19",16.18
"25","2016-05-20",15.64
"26","2016-05-23",15.65
"27","2016-05-24",15.81
"28","2016-05-25",15.83
"29","2016-05-26",15.75
"30","2016-05-27",15.72
"31","2016-05-31",15.56
"32","2016-06-01",15.81
"33","2016-06-02",15.83
"34","2016-06-03",15.51
"35","2016-06-06",15.44
"36","2016-06-07",15.36
"37","2016-06-08",15.43
"38","2016-06-09",15.49
"39","2016-06-10",15.34
"40","2016-06-13",14.89
"41","2016-06-14",14.79
"42","2016-06-15",15.04
"43","2016-06-16",15.4
"44","2016-06-17",15.01
"45","2016-06-20",15.38
"46","2016-06-21",15.42
"47","2016-06-22",15.79
"48","2016-06-23",15.8
"49","2016-06-24",15.34
"50","2016-06-27",14.71
"51","2016-06-28",14.27
"52","2016-06-29",14.5
"53","2016-06-30",15.04
"54","2016-07-01",15.37
"55","2016-07-05",15.3
"56","2016-07-06",15.01
"57","2016-07-07",15.26
"58","2016-07-08",15.49
"59","2016-07-11",16.1
"60","2016-07-12",16.08
"61","2016-07-13",15.93
"62","2016-07-14",15.99
"63","2016-07-15",15.97
"64","2016-07-18",15.95
"65","2016-07-19",16
"66","2016-07-20",16.110001
"67","2016-07-21",16.040001
"68","2016-07-22",16.17
"69","2016-07-25",16.200001
"70","2016-07-26",16.34
"71","2016-07-27",16.51
"72","2016-07-28",16.450001
"73","2016-07-29",16.49
"74","2016-08-01",16.549999
"75","2016-08-02",16.17
"76","2016-08-03",16.25
"77","2016-08-04",16.09
"78","2016-08-05",16.07
"79","2016-08-08",16.08
"80","2016-08-09",15.98
"81","2016-08-10",16.51
"82","2016-08-11",16.59
"83","2016-08-12",16.610001
"84","2016-08-15",16.77
"85","2016-08-16",16.889999
"86","2016-08-17",16.799999
"87","2016-08-18",16.68
"88","2016-08-19",16.73
