"","date","NS"
"1","2007-01-03",55.25
"2","2007-01-04",54.950001
"3","2007-01-05",54.73
"4","2007-01-08",55.32
"5","2007-01-09",55.389999
"6","2007-01-10",55.25
"7","2007-01-11",55.48
"8","2007-01-12",55.630001
"9","2007-01-16",55.759998
"10","2007-01-17",55.93
"11","2007-01-18",56.169998
"12","2007-01-19",56.459999
"13","2007-01-22",57.119999
"14","2007-01-23",57.950001
"15","2007-01-24",58.25
"16","2007-01-25",58.009998
"17","2007-01-26",58.189999
"18","2007-01-29",58.02
"19","2007-01-30",58.5
"20","2007-01-31",58.959999
"21","2007-02-01",59.52
"22","2007-02-02",60.549999
"23","2007-02-05",61.23
"24","2007-02-06",61.349998
"25","2007-02-07",61.5
"26","2007-02-08",60.540001
"27","2007-02-09",60.099998
"28","2007-02-12",60.259998
"29","2007-02-13",60.650002
"30","2007-02-14",60.919998
"31","2007-02-15",61.189999
"32","2007-02-16",61.450001
"33","2007-02-20",62.259998
"34","2007-02-21",62.48
"35","2007-02-22",62.75
"36","2007-02-23",62.029999
"37","2007-02-26",61.93
"38","2007-02-27",61.970001
"39","2007-02-28",63
"40","2007-03-01",63.77
"41","2007-03-02",62.959999
"42","2007-03-05",62.799999
"43","2007-03-06",63.380001
"44","2007-03-07",63
"45","2007-03-08",64.059998
"46","2007-03-09",64.419998
"47","2007-03-12",64.699997
"48","2007-03-13",64.629997
"49","2007-03-14",64.419998
"50","2007-03-15",65.290001
"51","2007-03-16",65.040001
"52","2007-03-19",65.110001
"53","2007-03-20",65.349998
"54","2007-03-21",65.169998
"55","2007-03-22",66.050003
"56","2007-03-23",66.849998
"57","2007-03-26",66.949997
"58","2007-03-27",66.839996
"59","2007-03-28",66.550003
"60","2007-03-29",66.330002
"61","2007-03-30",66.599998
"62","2007-04-02",66.690002
"63","2007-04-03",67
"64","2007-04-04",67.25
"65","2007-04-05",69.059998
"66","2007-04-09",70.160004
"67","2007-04-10",68.510002
"68","2007-04-11",67.120003
"69","2007-04-12",66.07
"70","2007-04-13",66.830002
"71","2007-04-16",68.190002
"72","2007-04-17",68.25
"73","2007-04-18",67.900002
"74","2007-04-19",67.629997
"75","2007-04-20",67.660004
"76","2007-04-23",67.870003
