"","date","RCKT"
"1","2015-02-18",24
"2","2015-02-19",24.200001
"3","2015-02-20",24.360001
"4","2015-02-23",24.4
"5","2015-02-24",24.040001
"6","2015-02-25",24
"7","2015-02-26",24.200001
"8","2015-02-27",24.08
"9","2015-03-02",24.16
"10","2015-03-03",24
"11","2015-03-04",24
"12","2015-03-05",23.98
"13","2015-03-06",24
"14","2015-03-09",24
"15","2015-03-10",23.6
"16","2015-03-11",23.559999
"17","2015-03-12",22.799999
"18","2015-03-13",22.76
"19","2015-03-16",22.719999
"20","2015-03-17",22.879999
"21","2015-03-18",22.4
"22","2015-03-19",23.76
"23","2015-03-20",23
"24","2015-03-23",24.4
"25","2015-03-24",23.76
"26","2015-03-25",23.280001
"27","2015-03-26",22.959999
"28","2015-03-27",22.360001
"29","2015-03-30",20.76
"30","2015-03-31",21.68
"31","2015-04-01",22.4
"32","2015-04-02",21
"33","2015-04-06",21.24
"34","2015-04-07",20.799999
"35","2015-04-08",21.719999
"36","2015-04-09",20.84
"37","2015-04-10",20.48
"38","2015-04-13",21.200001
"39","2015-04-14",20.280001
"40","2015-04-15",20.24
"41","2015-04-16",20.040001
"42","2015-04-17",20.040001
"43","2015-04-20",19.120001
"44","2015-04-21",19.280001
"45","2015-04-22",19.200001
"46","2015-04-23",19
"47","2015-04-24",22.440001
"48","2015-04-27",21.92
"49","2015-04-28",22.4
"50","2015-04-29",24.440001
"51","2015-04-30",24.24
"52","2015-05-01",23.440001
"53","2015-05-04",23.700001
"54","2015-05-05",23.48
"55","2015-05-06",23.559999
"56","2015-05-07",23.4
"57","2015-05-08",23.120001
"58","2015-05-11",23.280001
"59","2015-05-12",22.92
"60","2015-05-13",23.139999
"61","2015-05-14",23.440001
"62","2015-05-15",23.200001
"63","2015-05-18",23.4
"64","2015-05-19",23.280001
"65","2015-05-20",23.08
"66","2015-05-21",23.52
"67","2015-05-22",23.76
"68","2015-05-26",23.26
"69","2015-05-27",23.24
"70","2015-05-28",23
"71","2015-05-29",23.4
"72","2015-06-01",22.719999
"73","2015-06-02",22.959999
"74","2015-06-03",23.200001
"75","2015-06-04",22.799999
"76","2015-06-05",23.360001
"77","2015-06-08",22.879999
"78","2015-06-09",22.959999
"79","2015-06-10",23.16
"80","2015-06-11",23.200001
"81","2015-06-12",23.120001
"82","2015-06-15",23.4
"83","2015-06-16",23.08
"84","2015-06-17",22.4
"85","2015-06-18",22.24
"86","2015-06-19",21.4
"87","2015-06-22",21.84
"88","2015-06-23",21.200001
"89","2015-06-24",20.120001
"90","2015-06-25",20.440001
"91","2015-06-26",20
"92","2015-06-29",19.48
"93","2015-06-30",19.6
"94","2015-07-01",19.48
"95","2015-07-02",19.24
"96","2015-07-06",19.280001
"97","2015-07-07",19.959999
"98","2015-07-08",19.959999
"99","2015-07-09",19.440001
"100","2015-07-10",20.440001
"101","2015-07-13",20.6
"102","2015-07-14",20.84
"103","2015-07-15",21.200001
"104","2015-07-16",21.280001
"105","2015-07-17",20.4
"106","2015-07-20",20.719999
"107","2015-07-21",20.24
"108","2015-07-22",20.92
"109","2015-07-23",61.48
"110","2015-07-24",70.599998
"111","2015-07-27",67.040001
"112","2015-07-28",68.400002
"113","2015-07-29",63.240002
"114","2015-07-30",53.560001
"115","2015-07-31",51.959999
"116","2015-08-03",50.759998
"117","2015-08-04",51
"118","2015-08-05",58.48
"119","2015-08-06",55.119999
"120","2015-08-07",53
"121","2015-08-10",52.84
"122","2015-08-11",51.119999
"123","2015-08-12",54
"124","2015-08-13",57.080002
"125","2015-08-14",57.720001
"126","2015-08-17",60.48
"127","2015-08-18",63.16
"128","2015-08-19",62.52
"129","2015-08-20",57.360001
"130","2015-08-21",52.240002
"131","2015-08-24",49.639999
"132","2015-08-25",48.16
"133","2015-08-26",48.16
"134","2015-08-27",50.16
"135","2015-08-28",48.639999
"136","2015-08-31",49.32
"137","2015-09-01",48.959999
"138","2015-09-02",55.880001
"139","2015-09-03",52.48
"140","2015-09-04",50
"141","2015-09-08",53.68
"142","2015-09-09",51.439999
"143","2015-09-10",50.48
"144","2015-09-11",49.880001
"145","2015-09-14",52
"146","2015-09-15",58.279999
"147","2015-09-16",58.32
"148","2015-09-17",57.32
"149","2015-09-18",58.720001
"150","2015-09-21",56.48
"151","2015-09-22",53.439999
"152","2015-09-23",51.400002
"153","2015-09-24",50.52
"154","2015-09-25",44.119999
"155","2015-09-28",40.080002
"156","2015-09-29",35.959999
"157","2015-09-30",37.599998
"158","2015-10-01",38.720001
"159","2015-10-02",40.32
"160","2015-10-05",40
"161","2015-10-06",38.959999
"162","2015-10-07",39.759998
"163","2015-10-08",38.639999
"164","2015-10-09",38.52
"165","2015-10-12",37.68
"166","2015-10-13",38
"167","2015-10-14",39.880001
"168","2015-10-15",44.080002
"169","2015-10-16",43.279999
"170","2015-10-19",44.720001
"171","2015-10-20",42.16
"172","2015-10-21",40.560001
"173","2015-10-22",39.52
"174","2015-10-23",38.119999
"175","2015-10-26",39.880001
"176","2015-10-27",41
"177","2015-10-28",41.68
"178","2015-10-29",44.439999
"179","2015-10-30",43.560001
"180","2015-11-02",44.68
"181","2015-11-03",47.16
"182","2015-11-04",47.119999
"183","2015-11-05",45.400002
"184","2015-11-06",48.32
"185","2015-11-09",53.200001
"186","2015-11-10",49.119999
"187","2015-11-11",46.119999
"188","2015-11-12",43.68
"189","2015-11-13",42.959999
"190","2015-11-16",44.799999
"191","2015-11-17",43.439999
"192","2015-11-18",44.400002
"193","2015-11-19",41.68
"194","2015-11-20",40.439999
"195","2015-11-23",43.119999
"196","2015-11-24",44.32
"197","2015-11-25",44.720001
"198","2015-11-27",47.48
"199","2015-11-30",47.959999
"200","2015-12-01",46.240002
"201","2015-12-02",47.279999
"202","2015-12-03",43.759998
"203","2015-12-04",42.84
