"","date","STNE"
"1","2018-10-25",31.35
"2","2018-10-26",31.09
"3","2018-10-29",29.059999
"4","2018-10-30",28.68
"5","2018-10-31",28.690001
"6","2018-11-01",29.42
"7","2018-11-02",30.129999
"8","2018-11-05",30.75
"9","2018-11-06",30.469999
"10","2018-11-07",29.4
"11","2018-11-08",27.700001
"12","2018-11-09",27.370001
"13","2018-11-12",25.01
"14","2018-11-13",24.799999
"15","2018-11-14",23.440001
"16","2018-11-15",24.639999
"17","2018-11-16",25.309999
"18","2018-11-19",22
"19","2018-11-20",21.219999
"20","2018-11-21",22.34
"21","2018-11-23",21.84
"22","2018-11-26",21.700001
"23","2018-11-27",22.780001
"24","2018-11-28",24.030001
"25","2018-11-29",23.85
"26","2018-11-30",23.57
"27","2018-12-03",22.530001
"28","2018-12-04",22.09
"29","2018-12-06",21.67
"30","2018-12-07",20.76
"31","2018-12-10",19.870001
"32","2018-12-11",20.59
"33","2018-12-12",19.860001
"34","2018-12-13",18.540001
"35","2018-12-14",17.709999
"36","2018-12-17",17.629999
"37","2018-12-18",18.450001
"38","2018-12-19",18.120001
"39","2018-12-20",17.780001
"40","2018-12-21",16.99
"41","2018-12-24",16.709999
"42","2018-12-26",17.459999
"43","2018-12-27",17.209999
"44","2018-12-28",17.6
"45","2018-12-31",18.440001
"46","2019-01-02",19.07
"47","2019-01-03",18.559999
"48","2019-01-04",19.99
"49","2019-01-07",20.690001
"50","2019-01-08",21.120001
"51","2019-01-09",21.030001
"52","2019-01-10",21.43
"53","2019-01-11",21.1
"54","2019-01-14",20.790001
"55","2019-01-15",20.709999
"56","2019-01-16",20.690001
"57","2019-01-17",20.66
"58","2019-01-18",22.190001
"59","2019-01-22",22.860001
"60","2019-01-23",22.120001
"61","2019-01-24",22.9
"62","2019-01-25",23.09
"63","2019-01-28",22.190001
"64","2019-01-29",21.889999
"65","2019-01-30",21.459999
"66","2019-01-31",22.120001
"67","2019-02-01",22.809999
"68","2019-02-04",23.459999
"69","2019-02-05",22.76
"70","2019-02-06",21.379999
"71","2019-02-07",21.27
"72","2019-02-08",21.110001
"73","2019-02-11",21.15
"74","2019-02-12",21.42
"75","2019-02-13",21.370001
"76","2019-02-14",21.27
"77","2019-02-15",22.07
"78","2019-02-19",23.459999
"79","2019-02-20",25.120001
"80","2019-02-21",24.43
"81","2019-02-22",26.26
"82","2019-02-25",29.35
"83","2019-02-26",29.58
"84","2019-02-27",32.200001
"85","2019-02-28",30.41
"86","2019-03-01",31.129999
"87","2019-03-04",32
"88","2019-03-05",32.189999
"89","2019-03-06",31
"90","2019-03-07",29.030001
"91","2019-03-08",29.92
"92","2019-03-11",31.969999
"93","2019-03-12",31.709999
"94","2019-03-13",30.76
"95","2019-03-14",30.34
"96","2019-03-15",32.509998
"97","2019-03-18",34.599998
"98","2019-03-19",40.970001
"99","2019-03-20",37.799999
"100","2019-03-21",42.950001
"101","2019-03-22",41.82
"102","2019-03-25",40.439999
"103","2019-03-26",43.560001
"104","2019-03-27",41.43
