"","date","MLP"
"1","2007-01-03",33.029999
"2","2007-01-04",33.450001
"3","2007-01-05",32.900002
"4","2007-01-08",31.74
"5","2007-01-09",31.68
"6","2007-01-10",31.5
"7","2007-01-11",31.84
"8","2007-01-12",33.09
"9","2007-01-16",32.41
"10","2007-01-17",32.23
"11","2007-01-18",31.559999
"12","2007-01-19",31.43
"13","2007-01-22",31.299999
"14","2007-01-23",31.5
"15","2007-01-24",31.700001
"16","2007-01-25",31.15
"17","2007-01-26",31.65
"18","2007-01-29",31.07
"19","2007-01-30",31.860001
"20","2007-01-31",32.209999
"21","2007-02-01",32.029999
"22","2007-02-02",32.07
"23","2007-02-05",31.73
"24","2007-02-06",31.700001
"25","2007-02-07",31.83
"26","2007-02-08",32.369999
"27","2007-02-09",32.049999
"28","2007-02-12",31.99
"29","2007-02-13",32.049999
"30","2007-02-14",32.049999
"31","2007-02-15",31.84
"32","2007-02-16",31.73
"33","2007-02-20",31.9
"34","2007-02-21",32.099998
"35","2007-02-22",32.720001
"36","2007-02-23",32.360001
"37","2007-02-26",31.85
"38","2007-02-27",30.709999
"39","2007-02-28",30.75
"40","2007-03-01",30.5
"41","2007-03-02",30.01
"42","2007-03-05",29.879999
"43","2007-03-06",30.549999
"44","2007-03-07",30.5
"45","2007-03-08",30.110001
"46","2007-03-09",30.6
"47","2007-03-12",30.25
"48","2007-03-13",29.83
"49","2007-03-14",30.1
"50","2007-03-15",30.049999
"51","2007-03-16",29.809999
"52","2007-03-19",29.92
"53","2007-03-20",29.84
"54","2007-03-21",29.9
"55","2007-03-22",30
"56","2007-03-23",29.940001
"57","2007-03-26",30.09
"58","2007-03-27",30.120001
"59","2007-03-28",30.620001
"60","2007-03-29",34.029999
"61","2007-03-30",36.150002
"62","2007-04-02",37.189999
"63","2007-04-03",37.970001
"64","2007-04-04",35.630001
"65","2007-04-05",34.950001
"66","2007-04-09",35.240002
"67","2007-04-10",35.41
"68","2007-04-11",36.700001
"69","2007-04-12",36.400002
"70","2007-04-13",35.459999
"71","2007-04-16",35.299999
"72","2007-04-17",35.049999
"73","2007-04-18",34.639999
"74","2007-04-19",34.529999
"75","2007-04-20",35.419998
"76","2007-04-23",35.040001
"77","2007-04-24",34.130001
"78","2007-04-25",33.849998
"79","2007-04-26",34.02
"80","2007-04-27",34.060001
"81","2007-04-30",33.860001
"82","2007-05-01",33.959999
"83","2007-05-02",34.34
"84","2007-05-03",34.380001
"85","2007-05-04",34.360001
"86","2007-05-07",34.029999
"87","2007-05-08",33.959999
"88","2007-05-09",33.860001
"89","2007-05-10",33.52
"90","2007-05-11",34
"91","2007-05-14",33.41
"92","2007-05-15",32.610001
"93","2007-05-16",32.59
"94","2007-05-17",32.439999
"95","2007-05-18",33.299999
"96","2007-05-21",34.080002
"97","2007-05-22",34.32
"98","2007-05-23",34.18
"99","2007-05-24",33.950001
"100","2007-05-25",35.110001
"101","2007-05-29",34.709999
"102","2007-05-30",34.77
"103","2007-05-31",35.25
"104","2007-06-01",35.419998
"105","2007-06-04",34.869999
"106","2007-06-05",34.209999
"107","2007-06-06",34.150002
"108","2007-06-07",33.700001
"109","2007-06-08",33.790001
"110","2007-06-11",33.630001
"111","2007-06-12",33.02
"112","2007-06-13",34.130001
"113","2007-06-14",35.09
"114","2007-06-15",35.32
"115","2007-06-18",35.459999
"116","2007-06-19",35.98
"117","2007-06-20",35.860001
"118","2007-06-21",36.240002
"119","2007-06-22",35.419998
"120","2007-06-25",36.599998
"121","2007-06-26",36.84
"122","2007-06-27",37.040001
"123","2007-06-28",36.98
"124","2007-06-29",36.73
"125","2007-07-02",37.290001
"126","2007-07-03",37.34
"127","2007-07-05",37
"128","2007-07-06",37.060001
"129","2007-07-09",37.240002
"130","2007-07-10",37
"131","2007-07-11",36.799999
"132","2007-07-12",37.119999
"133","2007-07-13",37.169998
"134","2007-07-16",36.849998
"135","2007-07-17",36.799999
"136","2007-07-18",35.48
"137","2007-07-19",35.32
"138","2007-07-20",33.84
"139","2007-07-23",34.599998
"140","2007-07-24",34.830002
"141","2007-07-25",33.939999
"142","2007-07-26",33
"143","2007-07-27",31.99
"144","2007-07-30",32.889999
"145","2007-07-31",31.84
"146","2007-08-01",32.380001
"147","2007-08-02",31.940001
"148","2007-08-03",31.5
"149","2007-08-06",32.200001
"150","2007-08-07",32.900002
"151","2007-08-08",33.439999
"152","2007-08-09",33.389999
"153","2007-08-10",33.75
"154","2007-08-13",31.940001
"155","2007-08-14",29.25
"156","2007-08-15",28.360001
"157","2007-08-16",28.99
"158","2007-08-17",29.75
"159","2007-08-20",29.559999
"160","2007-08-21",28.690001
"161","2007-08-22",28.65
"162","2007-08-23",28.049999
"163","2007-08-24",28.35
"164","2007-08-27",27.9
"165","2007-08-28",27.690001
"166","2007-08-29",28.99
"167","2007-08-30",28.99
"168","2007-08-31",29.049999
"169","2007-09-04",28.4
