"","date","AB"
"1","2007-01-03",81.25
"2","2007-01-04",81.25
"3","2007-01-05",80.739998
"4","2007-01-08",81.989998
"5","2007-01-09",83.910004
"6","2007-01-10",84.68
"7","2007-01-11",86.860001
"8","2007-01-12",87.889999
"9","2007-01-16",87.599998
"10","2007-01-17",87.790001
"11","2007-01-18",87.980003
"12","2007-01-19",87.849998
"13","2007-01-22",88.059998
"14","2007-01-23",88.190002
"15","2007-01-24",89.410004
"16","2007-01-25",90.440002
"17","2007-01-26",90.650002
"18","2007-01-29",89.589996
"19","2007-01-30",89.400002
"20","2007-01-31",90.089996
"21","2007-02-01",91.040001
"22","2007-02-02",91.540001
"23","2007-02-05",91.019997
"24","2007-02-06",91.389999
"25","2007-02-07",92.32
"26","2007-02-08",92.199997
"27","2007-02-09",90.699997
"28","2007-02-12",90.919998
"29","2007-02-13",90.080002
"30","2007-02-14",91.540001
"31","2007-02-15",92.139999
"32","2007-02-16",90.769997
"33","2007-02-20",92.5
"34","2007-02-21",92.099998
"35","2007-02-22",91.989998
"36","2007-02-23",89.839996
"37","2007-02-26",88.410004
"38","2007-02-27",84.68
"39","2007-02-28",85.800003
"40","2007-03-01",82.919998
"41","2007-03-02",82.209999
"42","2007-03-05",79.75
"43","2007-03-06",83.760002
"44","2007-03-07",83.019997
"45","2007-03-08",84.900002
"46","2007-03-09",85.75
"47","2007-03-12",85.68
"48","2007-03-13",83.300003
"49","2007-03-14",82.849998
"50","2007-03-15",83.470001
"51","2007-03-16",82.370003
"52","2007-03-19",83.379997
"53","2007-03-20",83
"54","2007-03-21",85.099998
"55","2007-03-22",85.5
"56","2007-03-23",86.57
"57","2007-03-26",85.959999
"58","2007-03-27",87.669998
"59","2007-03-28",87.470001
"60","2007-03-29",88.5
"61","2007-03-30",88.5
"62","2007-04-02",88.480003
"63","2007-04-03",89.75
"64","2007-04-04",91.360001
"65","2007-04-05",90.300003
"66","2007-04-09",91.040001
"67","2007-04-10",91.209999
"68","2007-04-11",92.459999
"69","2007-04-12",93.059998
"70","2007-04-13",92.559998
"71","2007-04-16",93.32
"72","2007-04-17",92.900002
"73","2007-04-18",93.260002
"74","2007-04-19",92.82
"75","2007-04-20",93.800003
"76","2007-04-23",93.599998
"77","2007-04-24",92.75
"78","2007-04-25",92.980003
"79","2007-04-26",92.379997
"80","2007-04-27",91.730003
"81","2007-04-30",90.959999
"82","2007-05-01",90.349998
"83","2007-05-02",92.279999
"84","2007-05-03",92.220001
"85","2007-05-04",92.269997
"86","2007-05-07",92.419998
"87","2007-05-08",90.849998
"88","2007-05-09",90.330002
"89","2007-05-10",88.949997
"90","2007-05-11",89.559998
"91","2007-05-14",89.050003
"92","2007-05-15",87.980003
"93","2007-05-16",86.730003
"94","2007-05-17",87.879997
"95","2007-05-18",89.940002
"96","2007-05-21",90.32
"97","2007-05-22",90.139999
"98","2007-05-23",90.349998
"99","2007-05-24",89.019997
"100","2007-05-25",89.389999
"101","2007-05-29",89.099998
"102","2007-05-30",90.239998
"103","2007-05-31",91.410004
"104","2007-06-01",91.989998
"105","2007-06-04",91.809998
"106","2007-06-05",90.199997
"107","2007-06-06",89.099998
"108","2007-06-07",88.190002
"109","2007-06-08",87.610001
"110","2007-06-11",90.089996
"111","2007-06-12",90.150002
"112","2007-06-13",91.699997
"113","2007-06-14",91.730003
"114","2007-06-15",88.300003
"115","2007-06-18",86.529999
"116","2007-06-19",88.089996
"117","2007-06-20",87.230003
"118","2007-06-21",87.099998
"119","2007-06-22",85.300003
"120","2007-06-25",84.330002
"121","2007-06-26",84
"122","2007-06-27",86.989998
"123","2007-06-28",88.089996
"124","2007-06-29",87.089996
"125","2007-07-02",88.660004
"126","2007-07-03",89.32
"127","2007-07-05",88.660004
"128","2007-07-06",90.139999
"129","2007-07-09",88.760002
"130","2007-07-10",87.050003
"131","2007-07-11",89.349998
