"","date","GTHX"
"1","2017-05-17",15
"2","2017-05-18",16.6
"3","2017-05-19",16.52
"4","2017-05-22",16.57
"5","2017-05-23",16.360001
"6","2017-05-24",16.57
"7","2017-05-25",16.809999
"8","2017-05-26",17.24
"9","2017-05-30",17.92
"10","2017-05-31",18.299999
"11","2017-06-01",18.93
"12","2017-06-02",18.940001
"13","2017-06-05",19.139999
"14","2017-06-06",18.09
"15","2017-06-07",18.5
"16","2017-06-08",18.67
"17","2017-06-09",18.59
"18","2017-06-12",17.99
"19","2017-06-13",17.24
"20","2017-06-14",16.59
"21","2017-06-15",16.549999
"22","2017-06-16",17.120001
"23","2017-06-19",17.02
"24","2017-06-20",16.809999
"25","2017-06-21",16.85
"26","2017-06-22",17.540001
"27","2017-06-23",17.59
"28","2017-06-26",18
"29","2017-06-27",18.200001
"30","2017-06-28",18.1
"31","2017-06-29",18
"32","2017-06-30",17.440001
"33","2017-07-03",17.549999
"34","2017-07-05",17.120001
"35","2017-07-06",16.719999
"36","2017-07-07",16.9
"37","2017-07-10",16.639999
"38","2017-07-11",15.55
"39","2017-07-12",15.36
"40","2017-07-13",15.24
"41","2017-07-14",15.42
"42","2017-07-17",15.49
"43","2017-07-18",15.46
"44","2017-07-19",15.4
"45","2017-07-20",15.1
"46","2017-07-21",15.21
"47","2017-07-24",15.02
"48","2017-07-25",15.01
"49","2017-07-26",14.6
"50","2017-07-27",14.69
"51","2017-07-28",14.7
"52","2017-07-31",14.23
"53","2017-08-01",13.51
"54","2017-08-02",13
"55","2017-08-03",12.53
"56","2017-08-04",13.12
"57","2017-08-07",13.27
"58","2017-08-08",12.85
"59","2017-08-09",12.53
"60","2017-08-10",12.59
"61","2017-08-11",12.77
"62","2017-08-14",13
"63","2017-08-15",14.4
"64","2017-08-16",13.95
"65","2017-08-17",15.63
"66","2017-08-18",16.02
"67","2017-08-21",17.879999
"68","2017-08-22",17.08
"69","2017-08-23",17.34
"70","2017-08-24",18.030001
"71","2017-08-25",17.25
"72","2017-08-28",17.73
"73","2017-08-29",18.33
"74","2017-08-30",18.620001
"75","2017-08-31",18.84
"76","2017-09-01",20.219999
"77","2017-09-05",21.48
"78","2017-09-06",25.719999
"79","2017-09-07",26.639999
"80","2017-09-08",26.51
"81","2017-09-11",27.120001
"82","2017-09-12",26
"83","2017-09-13",26.370001
"84","2017-09-14",26.469999
"85","2017-09-15",25.83
"86","2017-09-18",24.77
"87","2017-09-19",24.700001
"88","2017-09-20",24.83
"89","2017-09-21",24.9
"90","2017-09-22",24.73
"91","2017-09-25",25
"92","2017-09-26",24.950001
"93","2017-09-27",25.35
"94","2017-09-28",25.25
"95","2017-09-29",24.889999
"96","2017-10-02",26.200001
