"","date","KTRA"
"1","2020-02-21",0.577
"2","2020-02-24",0.563
"3","2020-02-25",0.55
"4","2020-02-26",0.544
"5","2020-02-27",0.516
"6","2020-02-28",0.481
"7","2020-03-02",0.515
"8","2020-03-03",0.522
"9","2020-03-04",0.53
"10","2020-03-05",0.537
"11","2020-03-06",0.524
"12","2020-03-09",0.483
"13","2020-03-10",0.485
"14","2020-03-11",0.516
"15","2020-03-12",0.442
"16","2020-03-13",0.438
"17","2020-03-16",0.433
"18","2020-03-17",0.43
"19","2020-03-18",0.392
"20","2020-03-19",0.403
"21","2020-03-20",0.389
"22","2020-03-23",0.382
"23","2020-03-24",0.425
"24","2020-03-25",0.408
"25","2020-03-26",0.415
"26","2020-03-27",0.41
"27","2020-03-30",0.404
"28","2020-03-31",0.398
"29","2020-04-01",0.39
"30","2020-04-02",0.395
"31","2020-04-03",0.438
"32","2020-04-06",0.43
"33","2020-04-07",0.44
"34","2020-04-08",0.49
"35","2020-04-09",0.52
"36","2020-04-13",0.53
"37","2020-04-14",0.54
"38","2020-04-15",0.512
"39","2020-04-16",0.506
"40","2020-04-17",0.516
"41","2020-04-20",0.537
"42","2020-04-21",0.55
"43","2020-04-22",0.58
"44","2020-04-23",0.596
"45","2020-04-24",0.56
"46","2020-04-27",0.55
"47","2020-04-28",0.54
"48","2020-04-29",0.547
"49","2020-04-30",0.529
"50","2020-05-01",0.509
"51","2020-05-04",0.515
"52","2020-05-05",0.545
"53","2020-05-06",0.571
"54","2020-05-07",0.581
"55","2020-05-08",0.652
"56","2020-05-11",0.709
"57","2020-05-12",0.642
"58","2020-05-13",0.654
"59","2020-05-14",0.631
"60","2020-05-15",0.71
"61","2020-05-18",0.713
"62","2020-05-19",0.701
"63","2020-05-20",0.78
"64","2020-05-21",0.84
"65","2020-05-22",0.92
"66","2020-05-26",0.945
"67","2020-05-27",1.03
"68","2020-05-28",1.03
"69","2020-05-29",NA
"70","2020-06-01",NA
"71","2020-06-02",NA
"72","2020-06-03",NA
"73","2020-06-04",NA
"74","2020-06-05",NA
"75","2020-06-08",NA
"76","2020-06-09",NA
"77","2020-06-10",NA
"78","2020-06-11",NA
"79","2020-06-12",NA
"80","2020-06-15",NA
"81","2020-06-16",NA
"82","2020-06-17",NA
"83","2020-06-18",NA
"84","2020-06-19",NA
"85","2020-06-22",NA
"86","2020-06-23",NA
"87","2020-06-24",NA
"88","2020-06-25",NA
"89","2020-06-26",NA
"90","2020-06-29",NA
"91","2020-06-30",NA
"92","2020-07-01",NA
"93","2020-07-02",NA
"94","2020-07-06",NA
"95","2020-07-07",NA
"96","2020-07-08",NA
"97","2020-07-09",NA
"98","2020-07-10",NA
"99","2020-07-13",NA
"100","2020-07-14",NA
"101","2020-07-15",NA
"102","2020-07-16",NA
"103","2020-07-17",NA
"104","2020-07-20",NA
"105","2020-07-21",NA
"106","2020-07-22",NA
"107","2020-07-23",NA
"108","2020-07-24",NA
"109","2020-07-27",NA
"110","2020-07-28",NA
"111","2020-07-29",NA
"112","2020-07-30",NA
"113","2020-07-31",NA
"114","2020-08-03",NA
"115","2020-08-04",NA
"116","2020-08-05",NA
"117","2020-08-06",NA
"118","2020-08-07",NA
"119","2020-08-10",NA
"120","2020-08-11",NA
"121","2020-08-12",NA
"122","2020-08-13",NA
"123","2020-08-14",NA
"124","2020-08-17",NA
"125","2020-08-18",NA
"126","2020-08-19",1.34
"127","2020-08-20",1.3
"128","2020-08-21",1.17
"129","2020-08-24",1.065
"130","2020-08-25",1.18
"131","2020-08-26",1.17
"132","2020-08-27",1.14
"133","2020-08-28",1.15
"134","2020-08-31",1.2
"135","2020-09-01",1.2
"136","2020-09-02",1.27
"137","2020-09-03",1.26
"138","2020-09-04",1.28
"139","2020-09-08",1.36
"140","2020-09-09",1.5
"141","2020-09-10",1.55
"142","2020-09-11",1.6
"143","2020-09-14",1.62
"144","2020-09-15",1.7
"145","2020-09-16",1.6
"146","2020-09-17",1.47
"147","2020-09-18",1.5
"148","2020-09-21",1.45
"149","2020-09-22",1.355
"150","2020-09-23",1.24
"151","2020-09-24",1.34
"152","2020-09-25",1.39
"153","2020-09-28",1.44
"154","2020-09-29",1.49
"155","2020-09-30",1.4
"156","2020-10-01",1.6
"157","2020-10-02",1.52
"158","2020-10-05",1.56
"159","2020-10-06",1.61
"160","2020-10-07",1.72
"161","2020-10-08",1.67
"162","2020-10-09",1.66
"163","2020-10-12",1.61
"164","2020-10-13",1.69
"165","2020-10-14",1.54
"166","2020-10-15",1.47
"167","2020-10-16",1.5
"168","2020-10-19",1.49
"169","2020-10-20",1.52
"170","2020-10-21",1.52
"171","2020-10-22",1.5
"172","2020-10-23",1.51
"173","2020-10-26",1.43
"174","2020-10-27",1.36
"175","2020-10-28",1.36
"176","2020-10-29",1.375
"177","2020-10-30",1.35
"178","2020-11-02",1.31
"179","2020-11-03",1.3
"180","2020-11-04",1.27
"181","2020-11-05",1.26
"182","2020-11-06",1.29
"183","2020-11-09",1.31
"184","2020-11-10",1.3
"185","2020-11-11",1.31
"186","2020-11-12",1.405
"187","2020-11-13",1.52
"188","2020-11-16",1.6
"189","2020-11-17",1.58
"190","2020-11-18",1.68
"191","2020-11-19",1.5
"192","2020-11-20",1.45
"193","2020-11-23",1.37
"194","2020-11-24",1.35
"195","2020-11-25",1.36
"196","2020-11-27",1.39
