"","date","SMCI"
"1","2007-03-29",8.76
"2","2007-03-30",8.99
"3","2007-04-02",10.38
"4","2007-04-03",10.58
"5","2007-04-04",10.16
"6","2007-04-05",9.8
"7","2007-04-09",10
"8","2007-04-10",9.8
"9","2007-04-11",9.54
"10","2007-04-12",9.85
"11","2007-04-13",9.74
"12","2007-04-16",10.15
"13","2007-04-17",10.25
"14","2007-04-18",10.37
"15","2007-04-19",9.89
"16","2007-04-20",9.86
"17","2007-04-23",9.85
"18","2007-04-24",9.83
"19","2007-04-25",10.35
"20","2007-04-26",10.19
"21","2007-04-27",10.2
"22","2007-04-30",10.41
"23","2007-05-01",10.49
"24","2007-05-02",10.4
"25","2007-05-03",10.43
"26","2007-05-04",10.58
"27","2007-05-07",10.57
"28","2007-05-08",10.5
"29","2007-05-09",11.24
"30","2007-05-10",10.15
"31","2007-05-11",10.4
"32","2007-05-14",10.43
"33","2007-05-15",10.24
"34","2007-05-16",10.1
"35","2007-05-17",10.02
"36","2007-05-18",10.02
"37","2007-05-21",10.04
"38","2007-05-22",10.04
"39","2007-05-23",10
"40","2007-05-24",9.99
"41","2007-05-25",10.04
"42","2007-05-29",10.03
"43","2007-05-30",10.03
"44","2007-05-31",10.06
"45","2007-06-01",10.04
"46","2007-06-04",10.56
"47","2007-06-05",11.43
"48","2007-06-06",11.2
"49","2007-06-07",11.15
"50","2007-06-08",10.65
"51","2007-06-11",10.51
"52","2007-06-12",10.73
"53","2007-06-13",10.66
"54","2007-06-14",10.76
"55","2007-06-15",10.74
"56","2007-06-18",10.75
"57","2007-06-19",10.88
"58","2007-06-20",10.97
"59","2007-06-21",10.99
"60","2007-06-22",10.53
"61","2007-06-25",10.47
"62","2007-06-26",10.24
"63","2007-06-27",10.41
"64","2007-06-28",10.08
"65","2007-06-29",10.01
"66","2007-07-02",10.04
"67","2007-07-03",10.43
"68","2007-07-05",10.27
"69","2007-07-06",10.18
"70","2007-07-09",10.21
"71","2007-07-10",10
"72","2007-07-11",10
"73","2007-07-12",9.91
"74","2007-07-13",9.41
"75","2007-07-16",9.79
"76","2007-07-17",9.85
"77","2007-07-18",9.9
"78","2007-07-19",9.99
"79","2007-07-20",9.96
"80","2007-07-23",10
