"","date","ROST"
"1","2007-01-03",7.6225
"2","2007-01-04",7.8025
"3","2007-01-05",7.8525
"4","2007-01-08",7.8975
"5","2007-01-09",7.995
"6","2007-01-10",8.03
"7","2007-01-11",8.035
"8","2007-01-12",8.3225
"9","2007-01-16",8.3425
"10","2007-01-17",8.275
"11","2007-01-18",8.2475
"12","2007-01-19",8.0875
"13","2007-01-22",8.0175
"14","2007-01-23",7.99
"15","2007-01-24",8.045
"16","2007-01-25",7.9625
"17","2007-01-26",8
"18","2007-01-29",7.9925
"19","2007-01-30",8.075
"20","2007-01-31",8.0975
"21","2007-02-01",8.175
"22","2007-02-02",8.15
"23","2007-02-05",8.0025
"24","2007-02-06",8.05
"25","2007-02-07",8.1
"26","2007-02-08",8.2225
"27","2007-02-09",8.19
"28","2007-02-12",8.2
"29","2007-02-13",8.35
"30","2007-02-14",8.6575
"31","2007-02-15",8.6975
"32","2007-02-16",8.7025
"33","2007-02-20",8.6275
"34","2007-02-21",8.6125
"35","2007-02-22",8.56
"36","2007-02-23",8.53
"37","2007-02-26",8.4725
"38","2007-02-27",8.23
"39","2007-02-28",8.1925
"40","2007-03-01",8.1575
"41","2007-03-02",8.08
"42","2007-03-05",7.94
"43","2007-03-06",7.9525
"44","2007-03-07",7.98
"45","2007-03-08",8.025
"46","2007-03-09",8.1175
"47","2007-03-12",8.21
"48","2007-03-13",7.95
"49","2007-03-14",7.865
"50","2007-03-15",7.885
"51","2007-03-16",7.905
"52","2007-03-19",8.1225
"53","2007-03-20",8.3325
"54","2007-03-21",8.3375
"55","2007-03-22",8.5925
"56","2007-03-23",8.6225
"57","2007-03-26",8.6575
"58","2007-03-27",8.675
"59","2007-03-28",8.6175
"60","2007-03-29",8.5425
"61","2007-03-30",8.6
"62","2007-04-02",8.58
"63","2007-04-03",8.62
"64","2007-04-04",8.6125
"65","2007-04-05",8.6075
"66","2007-04-09",8.5925
"67","2007-04-10",8.58
"68","2007-04-11",8.45
"69","2007-04-12",8.4975
"70","2007-04-13",8.3975
"71","2007-04-16",8.6875
"72","2007-04-17",8.715
"73","2007-04-18",8.5975
"74","2007-04-19",8.6325
"75","2007-04-20",8.6625
"76","2007-04-23",8.6225
"77","2007-04-24",8.5275
"78","2007-04-25",8.5225
"79","2007-04-26",8.455
"80","2007-04-27",8.4275
"81","2007-04-30",8.2875
"82","2007-05-01",8.355
"83","2007-05-02",8.3925
"84","2007-05-03",8.375
"85","2007-05-04",8.31
"86","2007-05-07",8.3775
"87","2007-05-08",8.3125
"88","2007-05-09",8.465
"89","2007-05-10",8.35
"90","2007-05-11",8.425
"91","2007-05-14",8.2925
"92","2007-05-15",8.255
"93","2007-05-16",8.395
"94","2007-05-17",8.4725
"95","2007-05-18",8.63
"96","2007-05-21",8.615
"97","2007-05-22",8.525
"98","2007-05-23",8.485
"99","2007-05-24",8.1925
"100","2007-05-25",8.065
"101","2007-05-29",8.055
"102","2007-05-30",8.16
"103","2007-05-31",8.21
"104","2007-06-01",8.2125
"105","2007-06-04",8.1475
"106","2007-06-05",8.02
"107","2007-06-06",7.845
"108","2007-06-07",7.78
"109","2007-06-08",7.8375
"110","2007-06-11",7.7875
