"","date","AOUT"
"1","2020-08-21",15.5
"2","2020-08-24",19.4
"3","2020-08-25",17.780001
"4","2020-08-26",18.93
"5","2020-08-27",17.940001
"6","2020-08-28",16.459999
"7","2020-08-31",15.23
"8","2020-09-01",16.280001
"9","2020-09-02",16.200001
"10","2020-09-03",15.23
"11","2020-09-04",14.63
"12","2020-09-08",13.3
"13","2020-09-09",13.42
"14","2020-09-10",14
"15","2020-09-11",14.23
"16","2020-09-14",13.76
"17","2020-09-15",13.01
"18","2020-09-16",13.46
"19","2020-09-17",14.31
"20","2020-09-18",13.94
"21","2020-09-21",13.21
"22","2020-09-22",12.95
"23","2020-09-23",12.77
"24","2020-09-24",13.74
"25","2020-09-25",13.17
"26","2020-09-28",13.86
"27","2020-09-29",13.52
"28","2020-09-30",13.03
"29","2020-10-01",12.99
"30","2020-10-02",13.11
"31","2020-10-05",13.53
"32","2020-10-06",13.92
"33","2020-10-07",13.98
"34","2020-10-08",14.93
"35","2020-10-09",15.01
"36","2020-10-12",15.08
"37","2020-10-13",15.23
"38","2020-10-14",15.05
"39","2020-10-15",15.13
"40","2020-10-16",15.01
"41","2020-10-19",15.07
"42","2020-10-20",15.79
"43","2020-10-21",15.14
"44","2020-10-22",14.94
"45","2020-10-23",15.08
"46","2020-10-26",14.17
"47","2020-10-27",15
"48","2020-10-28",15.21
"49","2020-10-29",15.64
"50","2020-10-30",15.13
"51","2020-11-02",15.55
"52","2020-11-03",15.75
"53","2020-11-04",15.34
"54","2020-11-05",15.37
"55","2020-11-06",14.88
"56","2020-11-09",14.24
"57","2020-11-10",14.57
"58","2020-11-11",14.58
"59","2020-11-12",14.14
"60","2020-11-13",14.2
"61","2020-11-16",14.12
"62","2020-11-17",13.99
"63","2020-11-18",14.88
"64","2020-11-19",14.96
"65","2020-11-20",14.24
"66","2020-11-23",14.45
"67","2020-11-24",14.37
"68","2020-11-25",13.98
"69","2020-11-27",14.23
