"","date","KURA"
"1","2015-09-16",15
"2","2015-09-17",NA
"3","2015-09-18",NA
"4","2015-09-21",NA
"5","2015-09-22",14
"6","2015-09-23",NA
"7","2015-09-24",NA
"8","2015-09-25",NA
"9","2015-09-28",NA
"10","2015-09-29",NA
"11","2015-09-30",NA
"12","2015-10-01",NA
"13","2015-10-02",NA
"14","2015-10-05",NA
"15","2015-10-06",NA
"16","2015-10-07",NA
"17","2015-10-08",NA
"18","2015-10-09",NA
"19","2015-10-12",NA
"20","2015-10-13",NA
"21","2015-10-14",NA
"22","2015-10-15",14
"23","2015-10-16",14
"24","2015-10-19",14
"25","2015-10-20",13.9
"26","2015-10-21",13.55
"27","2015-10-22",13.5
"28","2015-10-23",13.7
"29","2015-10-26",14
"30","2015-10-27",16
"31","2015-10-28",NA
"32","2015-10-29",NA
"33","2015-10-30",NA
"34","2015-11-02",20
"35","2015-11-03",13.9
"36","2015-11-04",12
"37","2015-11-05",7.84
"38","2015-11-06",8.07
"39","2015-11-09",8.7
"40","2015-11-10",8.35
"41","2015-11-11",8.65
"42","2015-11-12",8.695
"43","2015-11-13",8.33
"44","2015-11-16",8.16
"45","2015-11-17",7.56
"46","2015-11-18",7.75
"47","2015-11-19",7.827
"48","2015-11-20",8.25
"49","2015-11-23",8.1
"50","2015-11-24",8
"51","2015-11-25",8
"52","2015-11-27",8
"53","2015-11-30",7.77
"54","2015-12-01",8
"55","2015-12-02",7.98
"56","2015-12-03",7.98
"57","2015-12-04",7.77
"58","2015-12-07",7.36
"59","2015-12-08",7.3
"60","2015-12-09",7.95
"61","2015-12-10",8
"62","2015-12-11",7.93
"63","2015-12-14",8.25
"64","2015-12-15",8.21
"65","2015-12-16",8.13
"66","2015-12-17",8.01
"67","2015-12-18",7.72
"68","2015-12-21",7.33
"69","2015-12-22",7.29
"70","2015-12-23",7.19
"71","2015-12-24",6.961
"72","2015-12-28",6.86
"73","2015-12-29",7.01
"74","2015-12-30",7.28
"75","2015-12-31",8.4
"76","2016-01-04",8.6
"77","2016-01-05",8.15
"78","2016-01-06",7.09
"79","2016-01-07",6.93
"80","2016-01-08",6.98
"81","2016-01-11",6.98
"82","2016-01-12",7.09
"83","2016-01-13",6.79
"84","2016-01-14",6.47
"85","2016-01-15",5.97
"86","2016-01-19",5.6
"87","2016-01-20",4.86
"88","2016-01-21",4.67
"89","2016-01-22",5.2
"90","2016-01-25",5.27
