"","date","VRAY"
"1","2015-08-10",5
"2","2015-08-11",5
"3","2015-08-12",5
"4","2015-08-13",5
"5","2015-08-14",6.25
"6","2015-08-17",6.25
"7","2015-08-18",6.25
"8","2015-08-19",6.25
"9","2015-08-20",6.25
"10","2015-08-21",6.25
"11","2015-08-24",6.25
"12","2015-08-25",6.25
"13","2015-08-26",6.75
"14","2015-08-27",6.8
"15","2015-08-28",6.85
"16","2015-08-31",6.8
"17","2015-09-01",6.8
"18","2015-09-02",6.85
"19","2015-09-03",6.8
"20","2015-09-04",6.8
"21","2015-09-08",6.8
"22","2015-09-09",6.8
"23","2015-09-10",6.8
"24","2015-09-11",6.8
"25","2015-09-14",6.8
"26","2015-09-15",6.8
"27","2015-09-16",6.8
"28","2015-09-17",6.8
"29","2015-09-18",6.8
"30","2015-09-21",6.6
"31","2015-09-22",6.6
"32","2015-09-23",6.6
"33","2015-09-24",6.25
"34","2015-09-25",6.25
"35","2015-09-28",5.85
"36","2015-09-29",5.85
"37","2015-09-30",5.18
"38","2015-10-01",5.18
"39","2015-10-02",4.25
"40","2015-10-05",5.05
"41","2015-10-06",4.5
"42","2015-10-07",5.5
"43","2015-10-08",5.5
"44","2015-10-09",5.5
"45","2015-10-12",4.5
"46","2015-10-13",4.5
"47","2015-10-14",4.5
"48","2015-10-15",4.5
"49","2015-10-16",4.5
"50","2015-10-19",4.5
"51","2015-10-20",4.5
"52","2015-10-21",4.5
"53","2015-10-22",4.5
"54","2015-10-23",4.5
"55","2015-10-26",4.5
"56","2015-10-27",4.5
"57","2015-10-28",4.5
"58","2015-10-29",4.5
"59","2015-10-30",4.5
"60","2015-11-02",4.5
"61","2015-11-03",4.5
"62","2015-11-04",4.5
"63","2015-11-05",4.75
"64","2015-11-06",4.75
"65","2015-11-09",4.75
"66","2015-11-10",4.75
"67","2015-11-11",4.5
"68","2015-11-12",4.5
"69","2015-11-13",4.5
"70","2015-11-16",4.5
"71","2015-11-17",4.5
"72","2015-11-18",4.5
"73","2015-11-19",4.5
"74","2015-11-20",4.5
"75","2015-11-23",4.5
"76","2015-11-24",4.5
"77","2015-11-25",4.5
"78","2015-11-27",4.5
"79","2015-11-30",4.25
"80","2015-12-01",3.75
"81","2015-12-02",4
"82","2015-12-03",4
"83","2015-12-04",4
"84","2015-12-07",4
"85","2015-12-08",4
"86","2015-12-09",4.5
"87","2015-12-10",5
"88","2015-12-11",5
"89","2015-12-14",5
"90","2015-12-15",5
"91","2015-12-16",5.5
"92","2015-12-17",5.62
"93","2015-12-18",5.4
"94","2015-12-21",5
"95","2015-12-22",5
"96","2015-12-23",5
"97","2015-12-24",5.1
"98","2015-12-28",5.1
"99","2015-12-29",5.1
"100","2015-12-30",4.9
"101","2015-12-31",5.5
"102","2016-01-04",5.5
"103","2016-01-05",5.5
"104","2016-01-06",5
"105","2016-01-07",5
"106","2016-01-08",5
"107","2016-01-11",5
"108","2016-01-12",5
"109","2016-01-13",5
"110","2016-01-14",5
"111","2016-01-15",5
"112","2016-01-19",5
"113","2016-01-20",5
"114","2016-01-21",5
"115","2016-01-22",5
"116","2016-01-25",5
"117","2016-01-26",5
"118","2016-01-27",5
"119","2016-01-28",4.9
"120","2016-01-29",4.9
"121","2016-02-01",4.9
"122","2016-02-02",4.9
"123","2016-02-03",4.9
"124","2016-02-04",4.9
"125","2016-02-05",4.9
"126","2016-02-08",4.9
"127","2016-02-09",4.9
"128","2016-02-10",4.9
"129","2016-02-11",4.9
"130","2016-02-12",4.9
"131","2016-02-16",4.9
"132","2016-02-17",4.5
"133","2016-02-18",4.5
"134","2016-02-19",4.94
"135","2016-02-22",4.95
"136","2016-02-23",4.12
"137","2016-02-24",4.8
"138","2016-02-25",4.5
"139","2016-02-26",4.8
"140","2016-02-29",4.8
"141","2016-03-01",4.56
"142","2016-03-02",4.72
"143","2016-03-03",4.51
"144","2016-03-04",4.8
"145","2016-03-07",4.75
"146","2016-03-08",4.65
"147","2016-03-09",4.8
"148","2016-03-10",4.7
"149","2016-03-11",4.75
"150","2016-03-14",4.69
"151","2016-03-15",4.8
"152","2016-03-16",4.72
"153","2016-03-17",4.79
"154","2016-03-18",4.55
"155","2016-03-21",4.5
"156","2016-03-22",4.39
"157","2016-03-23",4.15
"158","2016-03-24",4.17
"159","2016-03-28",3.83
"160","2016-03-29",4.15
"161","2016-03-30",4.1
"162","2016-03-31",4.3
"163","2016-04-01",4.29
"164","2016-04-04",4.25
"165","2016-04-05",4.2
"166","2016-04-06",4.55
"167","2016-04-07",4.55
"168","2016-04-08",4.5
"169","2016-04-11",4.45
"170","2016-04-12",4.4
"171","2016-04-13",4.65
"172","2016-04-14",4.65
"173","2016-04-15",4.8
"174","2016-04-18",4.48
"175","2016-04-19",4.5
"176","2016-04-20",4.8
"177","2016-04-21",4.65
"178","2016-04-22",4.75
"179","2016-04-25",4.75
"180","2016-04-26",4.38
"181","2016-04-27",4.5
"182","2016-04-28",4.7
"183","2016-04-29",4.68
"184","2016-05-02",4.61
"185","2016-05-03",4.72
"186","2016-05-04",4.6
"187","2016-05-05",4.77
"188","2016-05-06",4.68
"189","2016-05-09",4.7
"190","2016-05-10",4.7
"191","2016-05-11",4.69
"192","2016-05-12",4.79
"193","2016-05-13",4.75
"194","2016-05-16",4.6
"195","2016-05-17",4.5
"196","2016-05-18",4.48
