"","date","GLPI"
"1","2013-10-14",41.200001
"2","2013-10-15",41.200001
"3","2013-10-16",41.27
"4","2013-10-17",43.23
"5","2013-10-18",44.299999
"6","2013-10-21",44.200001
"7","2013-10-22",44.549999
"8","2013-10-23",43.66
"9","2013-10-24",43.84
"10","2013-10-25",44.419998
"11","2013-10-28",44.389999
"12","2013-10-29",44.52
"13","2013-10-30",44.360001
"14","2013-10-31",45
"15","2013-11-01",45.639999
"16","2013-11-04",46.799999
"17","2013-11-05",46.52
"18","2013-11-06",46.900002
"19","2013-11-07",45.810001
"20","2013-11-08",45.490002
"21","2013-11-11",45.810001
"22","2013-11-12",45.419998
"23","2013-11-13",44.900002
"24","2013-11-14",44.950001
"25","2013-11-15",45.200001
"26","2013-11-18",45.07
"27","2013-11-19",44.52
"28","2013-11-20",44.599998
"29","2013-11-21",44.66
"30","2013-11-22",46.119999
"31","2013-11-25",45.939999
"32","2013-11-26",46.299999
"33","2013-11-27",46.68
"34","2013-11-29",46.119999
"35","2013-12-02",47.040001
"36","2013-12-03",46.360001
"37","2013-12-04",46.43
"38","2013-12-05",46.490002
"39","2013-12-06",47.259998
"40","2013-12-09",49.740002
"41","2013-12-10",50.040001
"42","2013-12-11",50.82
"43","2013-12-12",50.16
"44","2013-12-13",50.060001
"45","2013-12-16",50.349998
"46","2013-12-17",49.619999
"47","2013-12-18",49.43
"48","2013-12-19",49.27
"49","2013-12-20",49.82
"50","2013-12-23",49.91
"51","2013-12-24",50.34
"52","2013-12-26",50.240002
"53","2013-12-27",49.73
"54","2013-12-30",50.48
"55","2013-12-31",50.810001
"56","2014-01-02",50.43
"57","2014-01-03",50.259998
"58","2014-01-06",49.209999
"59","2014-01-07",49.02
"60","2014-01-08",48.700001
"61","2014-01-09",37.75
"62","2014-01-10",37.860001
"63","2014-01-13",37.240002
"64","2014-01-14",37.23
"65","2014-01-15",37.07
"66","2014-01-16",36.509998
"67","2014-01-17",36.310001
"68","2014-01-21",36.32
"69","2014-01-22",35.799999
"70","2014-01-23",35.450001
"71","2014-01-24",34.720001
"72","2014-01-27",34.380001
"73","2014-01-28",34.869999
"74","2014-01-29",34.200001
"75","2014-01-30",34.599998
"76","2014-01-31",34.700001
"77","2014-02-03",33.98
"78","2014-02-04",34.48
"79","2014-02-05",34.52
"80","2014-02-06",35.970001
"81","2014-02-07",36.689999
"82","2014-02-10",37.080002
"83","2014-02-11",37.5
"84","2014-02-12",37.830002
"85","2014-02-13",38.84
"86","2014-02-14",38.349998
"87","2014-02-18",38.439999
"88","2014-02-19",38.240002
"89","2014-02-20",38.66
"90","2014-02-21",38.23
"91","2014-02-24",37.77
"92","2014-02-25",38
"93","2014-02-26",37.459999
"94","2014-02-27",37.889999
"95","2014-02-28",38.080002
"96","2014-03-03",37.939999
"97","2014-03-04",38.75
"98","2014-03-05",38.240002
"99","2014-03-06",38.529999
"100","2014-03-07",38.73
"101","2014-03-10",37.82
"102","2014-03-11",37.209999
