"","date","OPESU"
"1","2018-03-14",10.02
"2","2018-03-15",10.02
"3","2018-03-16",10.03
"4","2018-03-19",10.02
"5","2018-03-20",10.025
"6","2018-03-21",10.03
"7","2018-03-22",10.04
"8","2018-03-23",10.08
"9","2018-03-26",10.1
"10","2018-03-27",10.1
"11","2018-03-28",10.07
"12","2018-03-29",10.055
"13","2018-04-02",10.08
"14","2018-04-03",10.03
"15","2018-04-04",10.08
"16","2018-04-05",10.05
"17","2018-04-06",10.04
"18","2018-04-09",10.07
"19","2018-04-10",10.07
"20","2018-04-11",10.05
"21","2018-04-12",10.08
"22","2018-04-13",10.05
"23","2018-04-16",10.06
"24","2018-04-17",10.06
"25","2018-04-18",10.03
"26","2018-04-19",10.08
"27","2018-04-20",10.08
"28","2018-04-23",10.06
"29","2018-04-24",10.06
"30","2018-04-25",10.05
"31","2018-04-26",10.05
"32","2018-04-27",10.05
"33","2018-04-30",10.07
"34","2018-05-01",10.07
"35","2018-05-02",10.05
"36","2018-05-03",10.05
"37","2018-05-04",10.05
"38","2018-05-07",10.02
"39","2018-05-08",10.02
"40","2018-05-09",10.02
"41","2018-05-10",10.02
"42","2018-05-11",10.02
"43","2018-05-14",10.03
"44","2018-05-15",10.01
"45","2018-05-16",10.01
"46","2018-05-17",10.04
"47","2018-05-18",10.04
"48","2018-05-21",10.08
"49","2018-05-22",10.08
"50","2018-05-23",10.08
"51","2018-05-24",10.08
"52","2018-05-25",10.1
"53","2018-05-29",10.1
"54","2018-05-30",10.1
"55","2018-05-31",10.09
"56","2018-06-01",10.09
"57","2018-06-04",10.09
"58","2018-06-05",10.07
"59","2018-06-06",10.05
"60","2018-06-07",10.07
"61","2018-06-08",10.07
"62","2018-06-11",10.07
"63","2018-06-12",10.07
"64","2018-06-13",10.07
"65","2018-06-14",10.02
"66","2018-06-15",10.05
"67","2018-06-18",10.05
"68","2018-06-19",10.035
"69","2018-06-20",10.03
"70","2018-06-21",10.03
"71","2018-06-22",10.03
"72","2018-06-25",10.03
"73","2018-06-26",10.07
"74","2018-06-27",10.1
"75","2018-06-28",10.1
"76","2018-06-29",10.1
"77","2018-07-02",10.1
"78","2018-07-03",10.1
"79","2018-07-05",10.1
"80","2018-07-06",10.1
"81","2018-07-09",10.1
"82","2018-07-10",10.08
"83","2018-07-11",10.08
"84","2018-07-12",10.07
"85","2018-07-13",10.07
"86","2018-07-16",10.07
"87","2018-07-17",10.07
"88","2018-07-18",10.07
"89","2018-07-19",10.1
"90","2018-07-20",10.1
"91","2018-07-23",10.1
"92","2018-07-24",10.1
"93","2018-07-25",10.1
"94","2018-07-26",10.07
"95","2018-07-27",10.1
"96","2018-07-30",10.1
"97","2018-07-31",10.095
"98","2018-08-01",10.1
"99","2018-08-02",10.1
"100","2018-08-03",10.121
"101","2018-08-06",10.13
"102","2018-08-07",10.13
"103","2018-08-08",10.14
"104","2018-08-09",10.14
"105","2018-08-10",10.15
"106","2018-08-13",10.15
"107","2018-08-14",10.15
"108","2018-08-15",10.15
"109","2018-08-16",10.15
"110","2018-08-17",10.15
"111","2018-08-20",10.15
"112","2018-08-21",10.15
"113","2018-08-22",10.13
"114","2018-08-23",10.13
"115","2018-08-24",10.104
"116","2018-08-27",10.104
"117","2018-08-28",10.12
"118","2018-08-29",10.12
"119","2018-08-30",10.12
"120","2018-08-31",10.12
"121","2018-09-04",10.12
"122","2018-09-05",10.12
"123","2018-09-06",10.12
"124","2018-09-07",10.12
"125","2018-09-10",10.12
"126","2018-09-11",10.12
"127","2018-09-12",10.12
"128","2018-09-13",10.12
"129","2018-09-14",10.162
"130","2018-09-17",10.18
"131","2018-09-18",10.18
"132","2018-09-19",10.17
"133","2018-09-20",10.18
"134","2018-09-21",10.16
"135","2018-09-24",10.16
"136","2018-09-25",10.158
"137","2018-09-26",10.158
"138","2018-09-27",10.158
"139","2018-09-28",10.16
"140","2018-10-01",10.16
"141","2018-10-02",10.15
"142","2018-10-03",10.15
"143","2018-10-04",10.15
"144","2018-10-05",10.16
"145","2018-10-08",10.16
"146","2018-10-09",10.15
"147","2018-10-10",10.16
"148","2018-10-11",10.15
"149","2018-10-12",10.16
"150","2018-10-15",10.18
"151","2018-10-16",10.18
"152","2018-10-17",10.18
"153","2018-10-18",10.2
"154","2018-10-19",10.187
"155","2018-10-22",10.187
"156","2018-10-23",10.2
"157","2018-10-24",10.2
"158","2018-10-25",10.19
"159","2018-10-26",10.19
"160","2018-10-29",10.187
"161","2018-10-30",10.2
"162","2018-10-31",10.25
"163","2018-11-01",10.266
"164","2018-11-02",10.27
"165","2018-11-05",10.3
"166","2018-11-06",10.3
"167","2018-11-07",10.29
"168","2018-11-08",10.29
"169","2018-11-09",10.29
"170","2018-11-12",10.29
"171","2018-11-13",10.3
"172","2018-11-14",10.3
"173","2018-11-15",10.3
"174","2018-11-16",10.32
"175","2018-11-19",10.31
"176","2018-11-20",10.31
"177","2018-11-21",10.31
"178","2018-11-23",10.3
"179","2018-11-26",10.3
"180","2018-11-27",10.289
"181","2018-11-28",10.289
"182","2018-11-29",10.3
"183","2018-11-30",10.21
"184","2018-12-03",10.21
"185","2018-12-04",10.21
"186","2018-12-06",10.21
"187","2018-12-07",10.21
"188","2018-12-10",10.21
"189","2018-12-11",10.21
"190","2018-12-12",10.25
"191","2018-12-13",10.265
"192","2018-12-14",10.276
"193","2018-12-17",10.276
"194","2018-12-18",10.276
"195","2018-12-19",10.261
"196","2018-12-20",10.261
"197","2018-12-21",10.283
"198","2018-12-24",10.274
"199","2018-12-26",10.26
"200","2018-12-27",10.27
"201","2018-12-28",10.271
"202","2018-12-31",10.271
"203","2019-01-02",10.282
"204","2019-01-03",10.274
"205","2019-01-04",10.274
"206","2019-01-07",10.266
"207","2019-01-08",10.25
"208","2019-01-09",10.243
"209","2019-01-10",10.243
"210","2019-01-11",10.243
"211","2019-01-14",10.243
"212","2019-01-15",10.243
"213","2019-01-16",10.24
