"","date","DGICA"
"1","2007-01-03",19.99
"2","2007-01-04",20
"3","2007-01-05",19.02
"4","2007-01-08",18.58
"5","2007-01-09",18.57
"6","2007-01-10",17.790001
"7","2007-01-11",18.049999
"8","2007-01-12",17.950001
"9","2007-01-16",18.129999
"10","2007-01-17",17.959999
"11","2007-01-18",17.950001
"12","2007-01-19",18.360001
"13","2007-01-22",17.950001
"14","2007-01-23",18.059999
"15","2007-01-24",18.18
"16","2007-01-25",18
"17","2007-01-26",18.209999
"18","2007-01-29",18.459999
"19","2007-01-30",18.639999
"20","2007-01-31",18.969999
"21","2007-02-01",19.17
"22","2007-02-02",19.190001
"23","2007-02-05",18.99
"24","2007-02-06",18.879999
"25","2007-02-07",18.549999
"26","2007-02-08",18.389999
"27","2007-02-09",18.1
"28","2007-02-12",18.26
"29","2007-02-13",18.84
"30","2007-02-14",19.049999
"31","2007-02-15",18.74
"32","2007-02-16",18.200001
"33","2007-02-20",18.120001
"34","2007-02-21",18.27
"35","2007-02-22",18.17
"36","2007-02-23",18.08
"37","2007-02-26",17.84
"38","2007-02-27",17.25
"39","2007-02-28",17.16
"40","2007-03-01",17.360001
"41","2007-03-02",16.700001
"42","2007-03-05",16.799999
"43","2007-03-06",17.49
"44","2007-03-07",17.299999
"45","2007-03-08",17.34
"46","2007-03-09",17.33
"47","2007-03-12",17.459999
"48","2007-03-13",17.33
"49","2007-03-14",17.190001
"50","2007-03-15",17.389999
"51","2007-03-16",16.950001
"52","2007-03-19",17.01
"53","2007-03-20",17.18
"54","2007-03-21",17.559999
"55","2007-03-22",17.67
"56","2007-03-23",18
"57","2007-03-26",17.790001
"58","2007-03-27",16.99
"59","2007-03-28",16.969999
"60","2007-03-29",16.9
"61","2007-03-30",16.98
"62","2007-04-02",17
"63","2007-04-03",17.77
"64","2007-04-04",17.49
"65","2007-04-05",17.35
"66","2007-04-09",17.02
"67","2007-04-10",17.25
"68","2007-04-11",17.18
"69","2007-04-12",17.190001
"70","2007-04-13",17.18
"71","2007-04-16",17.01
"72","2007-04-17",16.83
"73","2007-04-18",16.610001
"74","2007-04-19",16.629999
"75","2007-04-20",17.049999
"76","2007-04-23",16.65
"77","2007-04-24",15.42
"78","2007-04-25",15.53
"79","2007-04-26",15.46
"80","2007-04-27",15.24
"81","2007-04-30",15.17
"82","2007-05-01",15.55
"83","2007-05-02",15.49
"84","2007-05-03",15.68
"85","2007-05-04",15.56
"86","2007-05-07",15.35
"87","2007-05-08",15.69
"88","2007-05-09",15.92
"89","2007-05-10",15.75
"90","2007-05-11",15.92
"91","2007-05-14",15.58
"92","2007-05-15",15.26
"93","2007-05-16",15.61
"94","2007-05-17",15.22
"95","2007-05-18",15.16
"96","2007-05-21",15.13
"97","2007-05-22",15.44
"98","2007-05-23",15.15
"99","2007-05-24",15.13
"100","2007-05-25",15.03
"101","2007-05-29",15.23
"102","2007-05-30",15.09
"103","2007-05-31",15.27
"104","2007-06-01",15.72
"105","2007-06-04",15.66
"106","2007-06-05",15.56
"107","2007-06-06",15.79
"108","2007-06-07",15.13
"109","2007-06-08",15.05
"110","2007-06-11",15.05
"111","2007-06-12",15.17
"112","2007-06-13",15.39
"113","2007-06-14",15.12
"114","2007-06-15",15.08
"115","2007-06-18",15.02
"116","2007-06-19",15.01
"117","2007-06-20",14.83
"118","2007-06-21",14.89
"119","2007-06-22",14.91
"120","2007-06-25",14.7
"121","2007-06-26",15.07
"122","2007-06-27",15.15
"123","2007-06-28",15.16
"124","2007-06-29",14.9
"125","2007-07-02",14.92
"126","2007-07-03",14.99
"127","2007-07-05",15.16
"128","2007-07-06",15.43
"129","2007-07-09",15.3
"130","2007-07-10",14.37
"131","2007-07-11",14.55
"132","2007-07-12",15.09
"133","2007-07-13",15.03
"134","2007-07-16",14.56
"135","2007-07-17",14.46
"136","2007-07-18",14.67
"137","2007-07-19",15.06
"138","2007-07-20",16.139999
"139","2007-07-23",17.16
"140","2007-07-24",15.83
"141","2007-07-25",15.73
"142","2007-07-26",15.48
"143","2007-07-27",14.71
"144","2007-07-30",14.6
"145","2007-07-31",14.42
"146","2007-08-01",14.85
"147","2007-08-02",15.32
"148","2007-08-03",14.63
"149","2007-08-06",15.01
"150","2007-08-07",14.62
"151","2007-08-08",15.48
"152","2007-08-09",15.08
"153","2007-08-10",16.1
"154","2007-08-13",14.91
"155","2007-08-14",14.66
"156","2007-08-15",14.57
"157","2007-08-16",16.120001
"158","2007-08-17",16.139999
"159","2007-08-20",16
"160","2007-08-21",16.08
"161","2007-08-22",16.5
"162","2007-08-23",16.030001
"163","2007-08-24",15.89
"164","2007-08-27",15.1
"165","2007-08-28",15.03
"166","2007-08-29",15.42
"167","2007-08-30",15.58
"168","2007-08-31",15.03
"169","2007-09-04",15.61
"170","2007-09-05",15.38
"171","2007-09-06",15.52
"172","2007-09-07",15.34
"173","2007-09-10",15.59
"174","2007-09-11",15.79
"175","2007-09-12",15.77
"176","2007-09-13",15.93
"177","2007-09-14",15.7
"178","2007-09-17",15.44
"179","2007-09-18",16.049999
"180","2007-09-19",16.98
"181","2007-09-20",16.75
"182","2007-09-21",16.93
"183","2007-09-24",16.790001
"184","2007-09-25",16.33
"185","2007-09-26",16.91
"186","2007-09-27",16.870001
"187","2007-09-28",16.18
"188","2007-10-01",16.879999
"189","2007-10-02",17.27
"190","2007-10-03",16.35
"191","2007-10-04",16.48
"192","2007-10-05",16.559999
"193","2007-10-08",16.5
"194","2007-10-09",16.48
"195","2007-10-10",16.5
"196","2007-10-11",16.27
"197","2007-10-12",16.549999
"198","2007-10-15",16.200001
"199","2007-10-16",16.27
"200","2007-10-17",16.48
"201","2007-10-18",16.200001
"202","2007-10-19",15.9
"203","2007-10-22",17.02
"204","2007-10-23",17.450001
"205","2007-10-24",17.48
"206","2007-10-25",17.77
"207","2007-10-26",17.700001
"208","2007-10-29",17.639999
"209","2007-10-30",17.4
"210","2007-10-31",17.17
"211","2007-11-01",16.120001
"212","2007-11-02",16.299999
"213","2007-11-05",16.719999
"214","2007-11-06",17.23
"215","2007-11-07",16.120001
"216","2007-11-08",16.98
"217","2007-11-09",16.93
"218","2007-11-12",17.309999
"219","2007-11-13",17.99
"220","2007-11-14",17.18
"221","2007-11-15",17.43
"222","2007-11-16",17.049999
"223","2007-11-19",16.91
"224","2007-11-20",17.700001
"225","2007-11-21",17.4
"226","2007-11-23",17.58
"227","2007-11-26",17.27
"228","2007-11-27",16.940001
"229","2007-11-28",17.299999
"230","2007-11-29",17.24
"231","2007-11-30",16.889999
"232","2007-12-03",16.68
"233","2007-12-04",16.58
"234","2007-12-05",17.469999
