"","date","DCTH"
"1","2018-05-03",945
"2","2018-05-04",2884
"3","2018-05-07",3199
"4","2018-05-08",2660
"5","2018-05-09",2303
"6","2018-05-10",2138.5
"7","2018-05-11",2359
"8","2018-05-14",2205
"9","2018-05-15",2310
"10","2018-05-16",2863
"11","2018-05-17",2492
"12","2018-05-18",2450
"13","2018-05-21",2443
"14","2018-05-22",2422
"15","2018-05-23",2170
"16","2018-05-24",1967
"17","2018-05-25",2100
"18","2018-05-29",2100
"19","2018-05-30",2114
"20","2018-05-31",2177
"21","2018-06-01",2240
"22","2018-06-04",2261
"23","2018-06-05",2436
"24","2018-06-06",2345
"25","2018-06-07",2309.300049
"26","2018-06-08",2289
"27","2018-06-11",2247
"28","2018-06-12",2240
"29","2018-06-13",1939.699951
"30","2018-06-14",1960
"31","2018-06-15",1939
"32","2018-06-18",1939
"33","2018-06-19",1939
"34","2018-06-20",1925
"35","2018-06-21",1925
"36","2018-06-22",1960
"37","2018-06-25",1820
"38","2018-06-26",1854.300049
"39","2018-06-27",1834
"40","2018-06-28",1841
"41","2018-06-29",1946
"42","2018-07-02",1897
"43","2018-07-03",1890
"44","2018-07-05",1778
"45","2018-07-06",1789.199951
"46","2018-07-09",1715
"47","2018-07-10",1722
"48","2018-07-11",1582
"49","2018-07-12",1876
"50","2018-07-13",1918
"51","2018-07-16",1701
"52","2018-07-17",1708
"53","2018-07-18",1631
"54","2018-07-19",1715
"55","2018-07-20",1785
"56","2018-07-23",1750
"57","2018-07-24",1715
"58","2018-07-25",1645
"59","2018-07-26",1575
"60","2018-07-27",1743
"61","2018-07-30",1750
"62","2018-07-31",1785
"63","2018-08-01",1750
"64","2018-08-02",1400
"65","2018-08-03",1393
"66","2018-08-06",1540
"67","2018-08-07",1372
"68","2018-08-08",1302
"69","2018-08-09",1295
"70","2018-08-10",1273.300049
"71","2018-08-13",1309
"72","2018-08-14",1253
"73","2018-08-15",1323
"74","2018-08-16",1253
"75","2018-08-17",1260
"76","2018-08-20",1491
"77","2018-08-21",1351
"78","2018-08-22",1400
