"","date","TRHC"
"1","2016-09-29",14.88
"2","2016-09-30",14.32
"3","2016-10-03",14.93
"4","2016-10-04",14.5
"5","2016-10-05",13.45
"6","2016-10-06",13.08
"7","2016-10-07",12.48
"8","2016-10-10",12.36
"9","2016-10-11",12.66
"10","2016-10-12",12.96
"11","2016-10-13",12.6
"12","2016-10-14",12.81
"13","2016-10-17",13.91
"14","2016-10-18",13.93
"15","2016-10-19",13.77
"16","2016-10-20",13.83
"17","2016-10-21",14.23
"18","2016-10-24",13.4
"19","2016-10-25",13.41
"20","2016-10-26",13.24
"21","2016-10-27",12.6
"22","2016-10-28",11.77
"23","2016-10-31",11.65
"24","2016-11-01",11.59
"25","2016-11-02",11.27
"26","2016-11-03",10.74
"27","2016-11-04",10.95
"28","2016-11-07",10.8
"29","2016-11-08",10.99
"30","2016-11-09",11.37
"31","2016-11-10",11.84
"32","2016-11-11",12
"33","2016-11-14",11.81
"34","2016-11-15",11.5
"35","2016-11-16",10.85
"36","2016-11-17",10.79
"37","2016-11-18",11.04
"38","2016-11-21",11.91
"39","2016-11-22",12.54
"40","2016-11-23",12.6
"41","2016-11-25",12.59
"42","2016-11-28",13.25
"43","2016-11-29",13.86
"44","2016-11-30",13.88
"45","2016-12-01",13
"46","2016-12-02",11.85
"47","2016-12-05",11.77
"48","2016-12-06",11.65
"49","2016-12-07",12.24
"50","2016-12-08",12.38
"51","2016-12-09",13.01
"52","2016-12-12",13.3
"53","2016-12-13",13.29
"54","2016-12-14",13.63
"55","2016-12-15",13.74
"56","2016-12-16",13.9
"57","2016-12-19",13.99
"58","2016-12-20",13.96
"59","2016-12-21",13.77
"60","2016-12-22",13.75
"61","2016-12-23",13.75
"62","2016-12-27",14.12
"63","2016-12-28",13.82
"64","2016-12-29",14.63
"65","2016-12-30",14.98
"66","2017-01-03",14.91
"67","2017-01-04",14.9
"68","2017-01-05",14.81
"69","2017-01-06",14.83
"70","2017-01-09",14.79
"71","2017-01-10",14.75
"72","2017-01-11",15.11
"73","2017-01-12",14.71
"74","2017-01-13",14.55
"75","2017-01-17",14.13
"76","2017-01-18",13.73
"77","2017-01-19",13.76
"78","2017-01-20",14.02
"79","2017-01-23",13.83
"80","2017-01-24",14.03
"81","2017-01-25",14.3
"82","2017-01-26",14.53
"83","2017-01-27",14.27
"84","2017-01-30",14
"85","2017-01-31",14.06
"86","2017-02-01",14.46
"87","2017-02-02",14.42
"88","2017-02-03",16.139999
"89","2017-02-06",15.7
"90","2017-02-07",15.87
"91","2017-02-08",15.88
"92","2017-02-09",15.81
"93","2017-02-10",15.82
"94","2017-02-13",16.41
"95","2017-02-14",15.94
"96","2017-02-15",15.64
"97","2017-02-16",15.5
"98","2017-02-17",15.32
"99","2017-02-21",15.15
"100","2017-02-22",14.95
"101","2017-02-23",14.96
"102","2017-02-24",14.74
"103","2017-02-27",14.77
"104","2017-02-28",14.17
"105","2017-03-01",14.05
"106","2017-03-02",14.09
"107","2017-03-03",13.98
"108","2017-03-06",13.74
"109","2017-03-07",13.94
"110","2017-03-08",13.68
"111","2017-03-09",13.4
"112","2017-03-10",13.78
"113","2017-03-13",14.08
"114","2017-03-14",12.69
"115","2017-03-15",13.05
"116","2017-03-16",13.17
"117","2017-03-17",13.4
"118","2017-03-20",13.03
"119","2017-03-21",13.06
"120","2017-03-22",13.28
"121","2017-03-23",13.43
"122","2017-03-24",13.56
"123","2017-03-27",13.21
"124","2017-03-28",13.37
