"","date","SRC"
"1","2012-09-20",35.313194
"2","2012-09-21",35.831123
"3","2012-09-24",36.137169
"4","2012-09-25",35.901749
"5","2012-09-26",36.466759
"6","2012-09-27",36.325508
"7","2012-09-28",36.490303
"8","2012-10-01",36.866974
"9","2012-10-02",37.243649
"10","2012-10-03",37.643867
"11","2012-10-04",37.667408
"12","2012-10-05",38.373672
"13","2012-10-08",38.467842
"14","2012-10-09",38.185333
"15","2012-10-10",38.373672
"16","2012-10-11",38.420757
"17","2012-10-12",37.949913
"18","2012-10-15",37.667408
"19","2012-10-16",38.020538
"20","2012-10-17",37.949913
"21","2012-10-18",38.609093
"22","2012-10-19",38.562008
"23","2012-10-22",38.255962
"24","2012-10-23",37.879288
"25","2012-10-24",37.808662
"26","2012-10-25",37.902828
"27","2012-10-26",37.667408
"28","2012-10-31",38.467842
"29","2012-11-01",38.938683
"30","2012-11-02",39.338898
"31","2012-11-05",39.244732
"32","2012-11-06",39.079937
"33","2012-11-07",38.609093
"34","2012-11-08",38.514923
"35","2012-11-09",38.114708
"36","2012-11-12",38.279503
"37","2012-11-13",38.350128
"38","2012-11-14",37.643867
"39","2012-11-15",36.914059
"40","2012-11-16",37.125938
"41","2012-11-19",37.196564
"42","2012-11-20",37.243649
"43","2012-11-21",37.173023
"44","2012-11-23",37.596783
"45","2012-11-26",37.761578
"46","2012-11-27",37.431988
"47","2012-11-28",37.714493
"48","2012-11-29",38.255962
"49","2012-11-30",38.208878
"50","2012-12-03",37.785118
"51","2012-12-04",37.690948
"52","2012-12-05",37.902828
"53","2012-12-06",38.067623
"54","2012-12-07",38.609093
"55","2012-12-10",38.514923
"56","2012-12-11",38.350128
"57","2012-12-12",38.350128
"58","2012-12-13",39.032852
"59","2012-12-14",39.550777
"60","2012-12-17",39.597862
"61","2012-12-18",39.621407
"62","2012-12-19",39.903912
"63","2012-12-20",39.974537
"64","2012-12-21",40.633717
"65","2012-12-24",40.586632
"66","2012-12-26",41.081017
"67","2012-12-27",41.222271
"68","2012-12-28",41.457691
"69","2012-12-31",41.857906
"70","2013-01-02",41.810822
"71","2013-01-03",41.481232
"72","2013-01-04",41.975616
"73","2013-01-07",42.140411
"74","2013-01-08",41.669571
"75","2013-01-09",41.881451
"76","2013-01-10",41.904991
"77","2013-01-11",41.763741
"78","2013-01-14",42.258125
"79","2013-01-15",42.258125
"80","2013-01-16",41.810822
"81","2013-01-17",42.069786
"82","2013-01-18",41.952076
"83","2013-01-22",44.847759
"84","2013-01-23",45.930695
"85","2013-01-24",45.718815
"86","2013-01-25",45.977779
"87","2013-01-28",47.013634
"88","2013-01-29",47.013634
"89","2013-01-30",45.954239
"90","2013-01-31",45.812984
"91","2013-02-01",46.448624
"92","2013-02-04",46.589874
"93","2013-02-05",46.848839
"94","2013-02-06",46.684044
"95","2013-02-07",47.131344
"96","2013-02-08",47.343224
"97","2013-02-11",47.249054
"98","2013-02-12",47.013634
"99","2013-02-13",47.390308
"100","2013-02-14",47.249054
"101","2013-02-15",47.178429
"102","2013-02-19",47.531559
"103","2013-02-20",47.060719
"104","2013-02-21",46.872379
"105","2013-02-22",47.460934
"106","2013-02-25",46.825298
"107","2013-02-26",47.366764
"108","2013-02-27",47.437393
"109","2013-02-28",46.895924
"110","2013-03-01",47.084259
"111","2013-03-04",46.472164
