"","date","MRSN"
"1","2017-06-28",14
"2","2017-06-29",13.52
"3","2017-06-30",13.97
"4","2017-07-03",13.82
"5","2017-07-05",13.99
"6","2017-07-06",13.35
"7","2017-07-07",13.29
"8","2017-07-10",13.27
"9","2017-07-11",13.81
"10","2017-07-12",14.03
"11","2017-07-13",14.1
"12","2017-07-14",14.05
"13","2017-07-17",14.15
"14","2017-07-18",14.15
"15","2017-07-19",14.25
"16","2017-07-20",14.19
"17","2017-07-21",14.05
"18","2017-07-24",15
"19","2017-07-25",15.01
"20","2017-07-26",14.99
"21","2017-07-27",15.1
"22","2017-07-28",14.61
"23","2017-07-31",14.9
"24","2017-08-01",14.85
"25","2017-08-02",14.8
"26","2017-08-03",14.83
"27","2017-08-04",15.01
"28","2017-08-07",15.1
"29","2017-08-08",15.16
"30","2017-08-09",15.23
"31","2017-08-10",15.15
"32","2017-08-11",15.42
"33","2017-08-14",15.74
"34","2017-08-15",15.55
"35","2017-08-16",15.35
"36","2017-08-17",15.62
"37","2017-08-18",16.1
"38","2017-08-21",16.549999
"39","2017-08-22",16.120001
"40","2017-08-23",16.35
"41","2017-08-24",16.120001
"42","2017-08-25",15.84
"43","2017-08-28",16.4
"44","2017-08-29",16.6
"45","2017-08-30",17.879999
"46","2017-08-31",17.51
"47","2017-09-01",17.549999
"48","2017-09-05",17.5
"49","2017-09-06",17.65
"50","2017-09-07",17.75
"51","2017-09-08",17.700001
"52","2017-09-11",17.9
"53","2017-09-12",17.5
"54","2017-09-13",16.93
"55","2017-09-14",17.18
"56","2017-09-15",16.200001
"57","2017-09-18",15.92
"58","2017-09-19",15.34
"59","2017-09-20",16.780001
"60","2017-09-21",17.58
"61","2017-09-22",18.059999
"62","2017-09-25",17.76
"63","2017-09-26",17.790001
"64","2017-09-27",18
"65","2017-09-28",17.459999
"66","2017-09-29",17.290001
"67","2017-10-02",19.84
"68","2017-10-03",19.9
"69","2017-10-04",19.74
"70","2017-10-05",19.389999
"71","2017-10-06",18.924999
"72","2017-10-09",18.790001
"73","2017-10-10",18.309999
"74","2017-10-11",18.01
"75","2017-10-12",17.75
"76","2017-10-13",16.129999
"77","2017-10-16",18.120001
"78","2017-10-17",18.42
"79","2017-10-18",17.110001
"80","2017-10-19",16.75
"81","2017-10-20",17.459999
"82","2017-10-23",17.76
"83","2017-10-24",17.27
"84","2017-10-25",16.83
"85","2017-10-26",15.3
"86","2017-10-27",14.95
"87","2017-10-30",15.97
"88","2017-10-31",16.26
"89","2017-11-01",15.18
"90","2017-11-02",16.889999
"91","2017-11-03",17.299999
"92","2017-11-06",17.780001
"93","2017-11-07",17.290001
"94","2017-11-08",17.91
"95","2017-11-09",17.1
"96","2017-11-10",17
"97","2017-11-13",16.809999
"98","2017-11-14",16.24
"99","2017-11-15",15.81
"100","2017-11-16",16.43
"101","2017-11-17",16.110001
"102","2017-11-20",16.860001
"103","2017-11-21",18.540001
"104","2017-11-22",18.780001
"105","2017-11-24",18.950001
"106","2017-11-27",18.67
"107","2017-11-28",18.870001
"108","2017-11-29",18.190001
"109","2017-11-30",19
"110","2017-12-01",18.59
"111","2017-12-04",18.360001
"112","2017-12-05",17.639999
"113","2017-12-06",15.79
"114","2017-12-07",16
"115","2017-12-08",15.81
"116","2017-12-11",16.98
"117","2017-12-12",16.99
"118","2017-12-13",18.66
"119","2017-12-14",17.98
"120","2017-12-15",17.48
"121","2017-12-18",16.209999
"122","2017-12-19",16.59
"123","2017-12-20",17.040001
"124","2017-12-21",16.99
"125","2017-12-22",16.450001
"126","2017-12-26",17.59
"127","2017-12-27",18.9
"128","2017-12-28",17.67
"129","2017-12-29",16.43
"130","2018-01-02",17.389999
"131","2018-01-03",17.110001
"132","2018-01-04",16.93
"133","2018-01-05",16.889999
"134","2018-01-08",16.4
"135","2018-01-09",16
"136","2018-01-10",16.049999
"137","2018-01-11",15.9
"138","2018-01-12",15.44
"139","2018-01-16",15.66
"140","2018-01-17",15.44
"141","2018-01-18",15.59
"142","2018-01-19",16.110001
"143","2018-01-22",16.5
"144","2018-01-23",16.5
"145","2018-01-24",15.93
"146","2018-01-25",16.09
"147","2018-01-26",16.34
"148","2018-01-29",15.94
"149","2018-01-30",15.02
"150","2018-01-31",14.25
"151","2018-02-01",14.37
"152","2018-02-02",14.23
"153","2018-02-05",13.97
