"","date","ZG"
"1","2011-07-20",11.153727
"2","2011-07-21",10.352354
"3","2011-07-22",10.685999
"4","2011-07-25",11.100718
"5","2011-07-26",11.359526
"6","2011-07-27",10.464608
"7","2011-07-28",10.570627
"8","2011-07-29",10.046773
"9","2011-08-01",9.423137
"10","2011-08-02",8.528219
"11","2011-08-03",8.880573
"12","2011-08-04",8.858747
"13","2011-08-05",8.780792
"14","2011-08-08",8.135329
"15","2011-08-09",8.718429
"16","2011-08-10",8.534456
"17","2011-08-11",8.419084
"18","2011-08-12",8.309947
"19","2011-08-15",7.957593
"20","2011-08-16",7.514812
"21","2011-08-17",7.527284
"22","2011-08-18",7.480511
"23","2011-08-19",7.545993
"24","2011-08-22",7.471157
"25","2011-08-23",7.633302
"26","2011-08-24",8.188338
"27","2011-08-25",9.432491
"28","2011-08-26",9.784845
"29","2011-08-29",10.302464
"30","2011-08-30",10.954163
"31","2011-08-31",11.59339
"32","2011-09-01",11.506081
"33","2011-09-02",10.894917
"34","2011-09-06",10.679763
"35","2011-09-07",11.253508
"36","2011-09-08",11.138135
"37","2011-09-09",11.515435
"38","2011-09-12",11.624571
"39","2011-09-13",11.686934
"40","2011-09-14",10.760836
"41","2011-09-15",9.619582
"42","2011-09-16",9.101964
"43","2011-09-19",8.967883
"44","2011-09-20",8.347365
"45","2011-09-21",8.659184
"46","2011-09-22",8.730901
"47","2011-09-23",8.378547
"48","2011-09-26",8.244465
"49","2011-09-27",8.727783
"50","2011-09-28",8.830683
"51","2011-09-29",8.777674
"52","2011-09-30",8.528219
"53","2011-10-03",8.060493
"54","2011-10-04",7.951356
"55","2011-10-05",7.94512
"56","2011-10-06",8.060493
"57","2011-10-07",7.873402
"58","2011-10-10",8.169629
"59","2011-10-11",8.182101
"60","2011-10-12",7.951356
"61","2011-10-13",7.867166
"62","2011-10-14",8.643592
"63","2011-10-17",8.225756
"64","2011-10-18",8.995946
"65","2011-10-19",8.316183
"66","2011-10-20",8.294356
"67","2011-10-21",8.428438
"68","2011-10-24",8.571874
"69","2011-10-25",8.428438
"70","2011-10-26",9.052073
"71","2011-10-27",9.594637
"72","2011-10-28",9.513564
"73","2011-10-31",9.257874
"74","2011-11-01",8.303711
"75","2011-11-02",8.562519
"76","2011-11-03",9.432491
"77","2011-11-04",10.174618
"78","2011-11-07",10.140318
"79","2011-11-08",10.087309
"80","2011-11-09",9.148737
"81","2011-11-10",9.348301
"82","2011-11-11",9.376364
"83","2011-11-14",8.908637
"84","2011-11-15",9.183037
"85","2011-11-16",9.095728
"86","2011-11-17",8.74961
"87","2011-11-18",8.434674
"88","2011-11-21",7.333957
"89","2011-11-22",7.184284
"90","2011-11-23",7.112566
"91","2011-11-25",7.043966
"92","2011-11-28",7.084503
"93","2011-11-29",6.937948
"94","2011-11-30",6.981603
"95","2011-12-01",6.744621
"96","2011-12-02",6.878703
"97","2011-12-05",7.196757
"98","2011-12-06",7.212348
"99","2011-12-07",7.67072
"100","2011-12-08",7.733084
"101","2011-12-09",7.723729
"102","2011-12-12",7.433739
"103","2011-12-13",7.043966
"104","2011-12-14",6.90053
"105","2011-12-15",7.383848
"106","2011-12-16",7.178048
"107","2011-12-19",7.096975
"108","2011-12-20",7.240412
"109","2011-12-21",7.212348
"110","2011-12-22",7.265357
"111","2011-12-23",7.115685
"112","2011-12-27",7.309011
"113","2011-12-28",7.184284
"114","2011-12-29",7.171812
"115","2011-12-30",7.009666
"116","2012-01-03",7.193639
"117","2012-01-04",7.17493
"118","2012-01-05",7.171812
"119","2012-01-06",7.184284
"120","2012-01-09",7.181166
"121","2012-01-10",7.748675
"122","2012-01-11",8.18522
"123","2012-01-12",8.478329
"124","2012-01-13",8.525102
"125","2012-01-17",8.450265
"126","2012-01-18",8.659184
"127","2012-01-19",8.637356
"128","2012-01-20",8.68101
"129","2012-01-23",8.874337
"130","2012-01-24",8.534456
"131","2012-01-25",8.366075
"132","2012-01-26",8.300592
"133","2012-01-27",9.151855
"134","2012-01-30",8.868101
"135","2012-01-31",9.198628
"136","2012-02-01",9.226691
"137","2012-02-02",9.497973
"138","2012-02-03",9.959464
"139","2012-02-06",9.928282
"140","2012-02-07",10.003119
"141","2012-02-08",10.065482
"142","2012-02-09",10.071718
"143","2012-02-10",10.146554
"144","2012-02-13",10.352354
"145","2012-02-14",10.570627
"146","2012-02-15",10.59869
"147","2012-02-16",10.682881
"148","2012-02-17",10.2058
"149","2012-02-21",9.550982
"150","2012-02-22",8.967883
"151","2012-02-23",9.232928
"152","2012-02-24",9.416901
"153","2012-02-27",9.547864
"154","2012-02-28",9.803555
"155","2012-02-29",9.953227
"156","2012-03-01",9.672591
"157","2012-03-02",9.557219
"158","2012-03-05",9.198628
"159","2012-03-06",8.939819
"160","2012-03-07",9.4855
"161","2012-03-08",9.482382
"162","2012-03-09",9.307764
"163","2012-03-12",9.541628
"164","2012-03-13",9.922046
"165","2012-03-14",9.703773
"166","2012-03-15",10.280636
"167","2012-03-16",10.433427
"168","2012-03-19",10.383536
"169","2012-03-20",10.470845
"170","2012-03-21",10.293109
"171","2012-03-22",10.461491
"172","2012-03-23",10.377299
"173","2012-03-26",10.536326
"174","2012-03-27",10.424072
"175","2012-03-28",10.452136
"176","2012-03-29",10.648582
"177","2012-03-30",11.097599
"178","2012-04-02",11.543499
"179","2012-04-03",11.911444
"180","2012-04-04",11.746181
"181","2012-04-05",11.562207
"182","2012-04-09",12.02058
"183","2012-04-10",11.605863
"184","2012-04-11",11.995634
"185","2012-04-12",11.864671
"186","2012-04-13",11.549735
"187","2012-04-16",10.857499
"188","2012-04-17",11.119427
"189","2012-04-18",11.172436
"190","2012-04-19",10.891799
"191","2012-04-20",10.932336
"192","2012-04-23",10.963517
"193","2012-04-24",10.813845
"194","2012-04-25",10.430308
"195","2012-04-26",10.208918
"196","2012-04-27",10.954163
"197","2012-04-30",10.87309
"198","2012-05-01",10.820081
"199","2012-05-02",11.256626
"200","2012-05-03",12.597443
"201","2012-05-04",12.500779
"202","2012-05-07",12.793888
"203","2012-05-08",13.380106
"204","2012-05-09",13.44247
"205","2012-05-10",12.909261
"206","2012-05-11",12.784534
"207","2012-05-14",13.03087
"208","2012-05-15",12.715934
"209","2012-05-16",12.566261
"210","2012-05-17",12.08918
"211","2012-05-18",11.453072
"212","2012-05-21",11.337699
"213","2012-05-22",11.534144
"214","2012-05-23",12.531961
"215","2012-05-24",12.740879
"216","2012-05-25",12.556907
"217","2012-05-29",12.344871
"218","2012-05-30",12.450889
"219","2012-05-31",12.217025
"220","2012-06-01",11.428126
"221","2012-06-04",10.816963
"222","2012-06-05",10.383536
"223","2012-06-06",10.371063
"224","2012-06-07",10.539445
"225","2012-06-08",10.558154
"226","2012-06-11",10.059245
"227","2012-06-12",9.741191
"228","2012-06-13",9.600873
"229","2012-06-14",10.246336
"230","2012-06-15",10.714063
"231","2012-06-18",10.333645
"232","2012-06-19",10.367945
"233","2012-06-20",10.4459
"234","2012-06-21",10.377299
"235","2012-06-22",10.28999
"236","2012-06-25",10.28999
"237","2012-06-26",10.35859
"238","2012-06-27",10.83879
"239","2012-06-28",11.194263
"240","2012-06-29",12.045526
"241","2012-07-02",12.036171
"242","2012-07-03",12.195198
"243","2012-07-05",12.466479
"244","2012-07-06",12.400998
"245","2012-07-09",12.351107
"246","2012-07-10",12.120361
"247","2012-07-11",12.08918
"248","2012-07-12",12.868725
"249","2012-07-13",13.130651
"250","2012-07-16",13.052697
"251","2012-07-17",12.89367
"252","2012-07-18",13.429996
"253","2012-07-19",13.121297
"254","2012-07-20",12.865606
"255","2012-07-23",13.068288
"256","2012-07-24",13.13377
"257","2012-07-25",12.881197
"258","2012-07-26",12.376053
"259","2012-07-27",12.182725
"260","2012-07-30",12.201434
"261","2012-07-31",11.743062
"262","2012-08-01",11.387589
"263","2012-08-02",11.331463
"264","2012-08-03",12.045526
