"","date","YUMC"
"1","2016-10-17",25.65
"2","2016-10-18",24.440001
"3","2016-10-19",24.26
"4","2016-10-20",24.26
"5","2016-10-21",24.92
"6","2016-10-24",25.23
"7","2016-10-25",24.52
"8","2016-10-26",24.75
"9","2016-10-27",24.83
"10","2016-10-28",24.360001
"11","2016-10-31",24.24
"12","2016-11-01",26.190001
"13","2016-11-02",26.59
"14","2016-11-03",26.85
"15","2016-11-04",27.58
"16","2016-11-07",26.709999
"17","2016-11-08",26.59
"18","2016-11-09",26
"19","2016-11-10",26
"20","2016-11-11",26.98
"21","2016-11-14",25.879999
"22","2016-11-15",26.559999
"23","2016-11-16",26.940001
"24","2016-11-17",27.09
"25","2016-11-18",28.25
"26","2016-11-21",28.92
"27","2016-11-22",29.98
"28","2016-11-23",29.790001
"29","2016-11-25",29.450001
"30","2016-11-28",28.35
"31","2016-11-29",28.59
"32","2016-11-30",28.120001
"33","2016-12-01",28.25
"34","2016-12-02",28.15
"35","2016-12-05",28
"36","2016-12-06",28.35
"37","2016-12-07",28.02
"38","2016-12-08",28.02
"39","2016-12-09",28
"40","2016-12-12",26.450001
"41","2016-12-13",27.02
"42","2016-12-14",27.040001
"43","2016-12-15",26.4
"44","2016-12-16",26.18
"45","2016-12-19",25.92
"46","2016-12-20",26.67
"47","2016-12-21",26.629999
"48","2016-12-22",26.16
"49","2016-12-23",26.01
"50","2016-12-27",25.870001
"51","2016-12-28",25.99
"52","2016-12-29",26
"53","2016-12-30",26.120001
"54","2017-01-03",26.24
"55","2017-01-04",26.620001
"56","2017-01-05",26.99
"57","2017-01-06",26.16
"58","2017-01-09",26.049999
"59","2017-01-10",26.18
"60","2017-01-11",26.059999
"61","2017-01-12",25.99
"62","2017-01-13",25.969999
"63","2017-01-17",26.67
"64","2017-01-18",26.49
"65","2017-01-19",26
"66","2017-01-20",26.049999
"67","2017-01-23",26.709999
"68","2017-01-24",26.92
"69","2017-01-25",27
"70","2017-01-26",27.99
"71","2017-01-27",28.049999
"72","2017-01-30",27.719999
"73","2017-01-31",27.48
"74","2017-02-01",27.559999
"75","2017-02-02",28.49
"76","2017-02-03",28.43
"77","2017-02-06",28.790001
"78","2017-02-07",28.1
"79","2017-02-08",27.129999
"80","2017-02-09",26.959999
"81","2017-02-10",26.559999
"82","2017-02-13",27.26
"83","2017-02-14",26.629999
"84","2017-02-15",26.65
"85","2017-02-16",26.85
"86","2017-02-17",26.57
"87","2017-02-21",26.75
"88","2017-02-22",26.77
"89","2017-02-23",26.77
"90","2017-02-24",26.99
"91","2017-02-27",27
"92","2017-02-28",26.59
"93","2017-03-01",26.5
"94","2017-03-02",26.41
"95","2017-03-03",26.51
"96","2017-03-06",26.309999
"97","2017-03-07",26.01
"98","2017-03-08",26.379999
"99","2017-03-09",26.200001
"100","2017-03-10",26.35
"101","2017-03-13",26.48
"102","2017-03-14",26
"103","2017-03-15",25.860001
