"","date","BMRA"
"1","2007-01-03",0.4
"2","2007-01-04",0.4
"3","2007-01-05",0.4
"4","2007-01-08",0.4
"5","2007-01-09",0.4
"6","2007-01-10",0.4
"7","2007-01-11",0.4
"8","2007-01-12",0.38
"9","2007-01-16",0.4
"10","2007-01-17",0.51
"11","2007-01-18",0.51
"12","2007-01-19",0.51
"13","2007-01-22",0.54
"14","2007-01-23",0.53
"15","2007-01-24",0.54
"16","2007-01-25",0.52
"17","2007-01-26",0.57
"18","2007-01-29",0.57
"19","2007-01-30",0.57
"20","2007-01-31",0.61
"21","2007-02-01",0.61
"22","2007-02-02",0.61
"23","2007-02-05",0.61
"24","2007-02-06",0.61
"25","2007-02-07",0.61
"26","2007-02-08",0.61
"27","2007-02-09",0.61
"28","2007-02-12",0.57
"29","2007-02-13",0.61
"30","2007-02-14",0.61
"31","2007-02-15",0.59
"32","2007-02-16",0.59
"33","2007-02-20",0.67
"34","2007-02-21",0.59
"35","2007-02-22",0.59
"36","2007-02-23",0.59
"37","2007-02-26",0.59
"38","2007-02-27",0.59
"39","2007-02-28",0.62
"40","2007-03-01",0.55
"41","2007-03-02",0.55
"42","2007-03-05",0.55
"43","2007-03-06",0.55
"44","2007-03-07",0.55
"45","2007-03-08",0.55
"46","2007-03-09",0.55
"47","2007-03-12",0.6
"48","2007-03-13",0.55
"49","2007-03-14",0.6
"50","2007-03-15",0.6
"51","2007-03-16",0.6
"52","2007-03-19",0.6
"53","2007-03-20",0.6
"54","2007-03-21",0.6
"55","2007-03-22",0.6
"56","2007-03-23",0.57
"57","2007-03-26",0.57
"58","2007-03-27",0.57
"59","2007-03-28",0.57
"60","2007-03-29",0.51
"61","2007-03-30",0.51
"62","2007-04-02",0.51
"63","2007-04-03",0.51
"64","2007-04-04",0.52
"65","2007-04-05",0.55
"66","2007-04-09",0.52
"67","2007-04-10",0.6
"68","2007-04-11",0.57
"69","2007-04-12",0.6
"70","2007-04-13",0.66
"71","2007-04-16",0.76
"72","2007-04-17",0.71
"73","2007-04-18",0.71
"74","2007-04-19",0.73
"75","2007-04-20",0.73
"76","2007-04-23",0.75
"77","2007-04-24",0.79
"78","2007-04-25",0.76
"79","2007-04-26",0.79
"80","2007-04-27",0.77
"81","2007-04-30",0.77
"82","2007-05-01",0.74
"83","2007-05-02",0.75
"84","2007-05-03",0.7
"85","2007-05-04",0.75
"86","2007-05-07",0.7
"87","2007-05-08",0.7
"88","2007-05-09",0.75
"89","2007-05-10",0.75
"90","2007-05-11",0.75
"91","2007-05-14",0.75
"92","2007-05-15",0.72
"93","2007-05-16",0.72
"94","2007-05-17",0.7
"95","2007-05-18",0.7
"96","2007-05-21",0.64
"97","2007-05-22",0.64
"98","2007-05-23",0.7
"99","2007-05-24",0.65
"100","2007-05-25",0.75
"101","2007-05-29",0.75
"102","2007-05-30",0.7
"103","2007-05-31",0.8
"104","2007-06-01",0.77
"105","2007-06-04",0.77
"106","2007-06-05",0.77
"107","2007-06-06",0.71
"108","2007-06-07",0.77
"109","2007-06-08",0.77
"110","2007-06-11",0.77
"111","2007-06-12",0.77
"112","2007-06-13",0.73
"113","2007-06-14",0.75
"114","2007-06-15",0.75
"115","2007-06-18",0.72
"116","2007-06-19",0.74
"117","2007-06-20",0.76
"118","2007-06-21",0.78
"119","2007-06-22",0.78
"120","2007-06-25",0.8
"121","2007-06-26",0.76
"122","2007-06-27",0.77
"123","2007-06-28",0.8
"124","2007-06-29",0.8
"125","2007-07-02",0.8
"126","2007-07-03",0.8
"127","2007-07-05",0.8
"128","2007-07-06",0.78
"129","2007-07-09",0.75
"130","2007-07-10",0.75
"131","2007-07-11",0.75
"132","2007-07-12",0.75
"133","2007-07-13",0.75
"134","2007-07-16",0.78
"135","2007-07-17",0.82
"136","2007-07-18",0.75
"137","2007-07-19",0.78
"138","2007-07-20",0.74
"139","2007-07-23",0.75
"140","2007-07-24",0.74
"141","2007-07-25",0.74
