"","date","ESXB"
"1","2007-01-03",7.15
"2","2007-01-04",7.1
"3","2007-01-05",7.15
"4","2007-01-08",7.15
"5","2007-01-09",7.15
"6","2007-01-10",7.19
"7","2007-01-11",7.19
"8","2007-01-12",7.15
"9","2007-01-16",7.22
"10","2007-01-17",7.15
"11","2007-01-18",7.15
"12","2007-01-19",7.19
"13","2007-01-22",7.13
"14","2007-01-23",7.15
"15","2007-01-24",7.13
"16","2007-01-25",7.15
"17","2007-01-26",7.15
"18","2007-01-29",7.15
"19","2007-01-30",7.15
"20","2007-01-31",7.15
"21","2007-02-01",7.17
"22","2007-02-02",7.15
"23","2007-02-05",7.2
"24","2007-02-06",7.15
"25","2007-02-07",7.15
"26","2007-02-08",7.2
"27","2007-02-09",7.15
"28","2007-02-12",7.14
"29","2007-02-13",7.16
"30","2007-02-14",7.23
"31","2007-02-15",7.23
"32","2007-02-16",7.25
"33","2007-02-20",7.23
"34","2007-02-21",7.23
"35","2007-02-22",7.23
"36","2007-02-23",7.23
"37","2007-02-26",7.21
"38","2007-02-27",7.2
"39","2007-02-28",7.17
"40","2007-03-01",7.18
"41","2007-03-02",7.21
"42","2007-03-05",7.21
"43","2007-03-06",7.21
"44","2007-03-07",7.25
"45","2007-03-08",7.26
"46","2007-03-09",7.26
"47","2007-03-12",7.26
"48","2007-03-13",7.26
"49","2007-03-14",7.26
"50","2007-03-15",7.25
"51","2007-03-16",7.25
"52","2007-03-19",7.5
"53","2007-03-20",7.46
"54","2007-03-21",7.46
"55","2007-03-22",7.4
"56","2007-03-23",7.38
"57","2007-03-26",7.38
"58","2007-03-27",7.26
"59","2007-03-28",7.26
"60","2007-03-29",7.26
"61","2007-03-30",7.26
"62","2007-04-02",7.26
"63","2007-04-03",7.26
"64","2007-04-04",7.26
"65","2007-04-05",7.26
"66","2007-04-09",7.26
"67","2007-04-10",7.32
"68","2007-04-11",7.32
"69","2007-04-12",7.34
"70","2007-04-13",7.35
"71","2007-04-16",7.34
"72","2007-04-17",7.32
"73","2007-04-18",7.32
"74","2007-04-19",7.25
"75","2007-04-20",7.25
"76","2007-04-23",7.25
"77","2007-04-24",7.24
"78","2007-04-25",7.24
"79","2007-04-26",7.29
"80","2007-04-27",7.29
"81","2007-04-30",7.3
"82","2007-05-01",7.37
"83","2007-05-02",7.32
"84","2007-05-03",7.32
"85","2007-05-04",7.32
"86","2007-05-07",7.28
"87","2007-05-08",7.3
"88","2007-05-09",7.3
"89","2007-05-10",7.38
"90","2007-05-11",7.38
"91","2007-05-14",7.31
"92","2007-05-15",7.36
"93","2007-05-16",7.37
"94","2007-05-17",7.37
"95","2007-05-18",7.38
"96","2007-05-21",7.36
"97","2007-05-22",7.34
"98","2007-05-23",7.38
"99","2007-05-24",7.38
"100","2007-05-25",7.38
"101","2007-05-29",7.39
"102","2007-05-30",7.39
"103","2007-05-31",7.41
"104","2007-06-01",7.39
"105","2007-06-04",7.38
"106","2007-06-05",7.39
"107","2007-06-06",7.4
"108","2007-06-07",7.36
"109","2007-06-08",7.38
"110","2007-06-11",7.38
"111","2007-06-12",7.36
"112","2007-06-13",7.37
"113","2007-06-14",7.39
"114","2007-06-15",7.39
"115","2007-06-18",7.38
"116","2007-06-19",7.37
"117","2007-06-20",7.37
"118","2007-06-21",7.4
"119","2007-06-22",7.36
"120","2007-06-25",7.44
"121","2007-06-26",7.44
"122","2007-06-27",7.42
"123","2007-06-28",7.39
"124","2007-06-29",7.4
"125","2007-07-02",7.4
"126","2007-07-03",7.4
"127","2007-07-05",7.4
"128","2007-07-06",7.42
"129","2007-07-09",7.42
"130","2007-07-10",7.42
"131","2007-07-11",7.38
"132","2007-07-12",7.4
"133","2007-07-13",7.4
"134","2007-07-16",7.38
"135","2007-07-17",7.42
"136","2007-07-18",7.42
"137","2007-07-19",7.42
"138","2007-07-20",7.43
"139","2007-07-23",7.42
"140","2007-07-24",7.42
"141","2007-07-25",7.43
"142","2007-07-26",7.43
"143","2007-07-27",7.43
"144","2007-07-30",7.44
"145","2007-07-31",7.44
"146","2007-08-01",7.43
"147","2007-08-02",7.43
"148","2007-08-03",7.43
"149","2007-08-06",7.44
"150","2007-08-07",7.43
"151","2007-08-08",7.43
"152","2007-08-09",7.43
"153","2007-08-10",7.43
"154","2007-08-13",7.43
"155","2007-08-14",7.43
"156","2007-08-15",7.43
"157","2007-08-16",7.43
"158","2007-08-17",7.44
"159","2007-08-20",7.44
"160","2007-08-21",7.44
"161","2007-08-22",7.44
"162","2007-08-23",7.44
"163","2007-08-24",7.43
"164","2007-08-27",7.43
"165","2007-08-28",7.43
"166","2007-08-29",7.43
"167","2007-08-30",7.42
"168","2007-08-31",7.42
"169","2007-09-04",7.42
"170","2007-09-05",7.42
"171","2007-09-06",7.33
"172","2007-09-07",7.39
"173","2007-09-10",7.43
"174","2007-09-11",7.43
"175","2007-09-12",7.36
"176","2007-09-13",7.39
"177","2007-09-14",7.39
"178","2007-09-17",7.39
"179","2007-09-18",7.36
"180","2007-09-19",7.38
"181","2007-09-20",7.37
"182","2007-09-21",7.4
"183","2007-09-24",7.37
"184","2007-09-25",7.37
"185","2007-09-26",7.37
"186","2007-09-27",7.36
"187","2007-09-28",7.36
"188","2007-10-01",7.37
"189","2007-10-02",7.37
"190","2007-10-03",7.39
"191","2007-10-04",7.39
"192","2007-10-05",7.38
"193","2007-10-08",7.38
"194","2007-10-09",7.39
"195","2007-10-10",7.39
"196","2007-10-11",7.4
"197","2007-10-12",7.39
"198","2007-10-15",7.39
"199","2007-10-16",7.39
"200","2007-10-17",7.39
"201","2007-10-18",7.4
"202","2007-10-19",7.4
"203","2007-10-22",7.4
"204","2007-10-23",7.41
"205","2007-10-24",7.43
"206","2007-10-25",7.43
"207","2007-10-26",7.43
"208","2007-10-29",7.4
"209","2007-10-30",7.44
"210","2007-10-31",7.45
"211","2007-11-01",7.43
"212","2007-11-02",7.4
"213","2007-11-05",7.4
"214","2007-11-06",7.4
"215","2007-11-07",7.42
"216","2007-11-08",7.4
"217","2007-11-09",7.39
"218","2007-11-12",7.39
"219","2007-11-13",7.39
"220","2007-11-14",7.39
"221","2007-11-15",7.39
"222","2007-11-16",7.39
"223","2007-11-19",7.39
"224","2007-11-20",7.42
"225","2007-11-21",7.4
"226","2007-11-23",7.42
"227","2007-11-26",7.42
"228","2007-11-27",7.4
"229","2007-11-28",7.4
"230","2007-11-29",7.4
"231","2007-11-30",7.4
"232","2007-12-03",7.44
"233","2007-12-04",7.44
"234","2007-12-05",7.43
"235","2007-12-06",7.44
"236","2007-12-07",7.42
"237","2007-12-10",7.42
"238","2007-12-11",7.4
"239","2007-12-12",7.41
"240","2007-12-13",7.41
"241","2007-12-14",7.43
"242","2007-12-17",7.42
"243","2007-12-18",7.42
"244","2007-12-19",7.42
"245","2007-12-20",7.4
"246","2007-12-21",7.4
"247","2007-12-24",7.41
"248","2007-12-26",7.43
"249","2007-12-27",7.43
"250","2007-12-28",7.4
"251","2007-12-31",7.41
"252","2008-01-02",7.41
"253","2008-01-03",7.38
"254","2008-01-04",7.4
"255","2008-01-07",7.43
"256","2008-01-08",7.43
"257","2008-01-09",7.43
"258","2008-01-10",7.44
"259","2008-01-11",7.45
"260","2008-01-14",7.45
"261","2008-01-15",7.4
"262","2008-01-16",7.4
"263","2008-01-17",7.41
"264","2008-01-18",7.39
"265","2008-01-22",7.41
"266","2008-01-23",7.46
"267","2008-01-24",7.43
"268","2008-01-25",7.42
"269","2008-01-28",7.43
"270","2008-01-29",7.46
"271","2008-01-30",7.47
"272","2008-01-31",7.48
"273","2008-02-01",7.42
"274","2008-02-04",7.45
"275","2008-02-05",7.45
"276","2008-02-06",7.46
"277","2008-02-07",7.46
"278","2008-02-08",7.5
"279","2008-02-11",7.49
"280","2008-02-12",7.49
"281","2008-02-13",7.47
"282","2008-02-14",7.47
"283","2008-02-15",7.47
"284","2008-02-19",7.47
"285","2008-02-20",7.52
"286","2008-02-21",7.49
"287","2008-02-22",7.5
"288","2008-02-25",7.5
"289","2008-02-26",7.52
"290","2008-02-27",7.52
"291","2008-02-28",7.48
"292","2008-02-29",7.52
"293","2008-03-03",7.52
"294","2008-03-04",7.47
"295","2008-03-05",7.41
"296","2008-03-06",7.43
"297","2008-03-07",7.46
"298","2008-03-10",7.45
"299","2008-03-11",7.45
"300","2008-03-12",7.5
"301","2008-03-13",7.5
"302","2008-03-14",7.5
"303","2008-03-17",7.5
"304","2008-03-18",7.5
"305","2008-03-19",7.49
"306","2008-03-20",7.49
"307","2008-03-24",7.52
"308","2008-03-25",7.49
"309","2008-03-26",7.49
"310","2008-03-27",7.49
"311","2008-03-28",7.5
"312","2008-03-31",7.52
"313","2008-04-01",7.52
"314","2008-04-02",7.52
"315","2008-04-03",7.55
"316","2008-04-04",7.53
"317","2008-04-07",7.53
"318","2008-04-08",7.53
"319","2008-04-09",7.53
"320","2008-04-10",7.48
"321","2008-04-11",7.53
"322","2008-04-14",7.4
"323","2008-04-15",7.35
"324","2008-04-16",7.35
"325","2008-04-17",7.35
"326","2008-04-18",7.35
"327","2008-04-21",7.35
"328","2008-04-22",7.36
"329","2008-04-23",7.35
"330","2008-04-24",7.38
"331","2008-04-25",7.5
"332","2008-04-28",7.5
"333","2008-04-29",7.5
"334","2008-04-30",7.42
"335","2008-05-01",7.32
"336","2008-05-02",7.38
"337","2008-05-05",7.38
"338","2008-05-06",7.38
"339","2008-05-07",7.38
"340","2008-05-08",7.38
"341","2008-05-09",7.38
"342","2008-05-12",7.42
"343","2008-05-13",7.42
"344","2008-05-14",7.42
"345","2008-05-15",7.49
"346","2008-05-16",7.49
"347","2008-05-19",7.49
"348","2008-05-20",7.49
"349","2008-05-21",7.49
"350","2008-05-22",7.35
"351","2008-05-23",7.4
"352","2008-05-27",7.4
"353","2008-05-28",7.32
"354","2008-05-29",6.12
"355","2008-05-30",6.33
"356","2008-06-02",5.95
"357","2008-06-03",5.74
"358","2008-06-04",5.5
"359","2008-06-05",5.16
"360","2008-06-06",5.16
"361","2008-06-09",5.14
"362","2008-06-10",4.9
"363","2008-06-11",5.06
"364","2008-06-12",5.11
"365","2008-06-13",5.37
"366","2008-06-16",5.26
"367","2008-06-17",5.25
"368","2008-06-18",5.1
"369","2008-06-19",5.1
"370","2008-06-20",5.11
"371","2008-06-23",5.1
"372","2008-06-24",4.91
"373","2008-06-25",4.78
"374","2008-06-26",4.78
"375","2008-06-27",4.8
"376","2008-06-30",4.82
"377","2008-07-01",4.89
"378","2008-07-02",4.87
"379","2008-07-03",4.87
"380","2008-07-07",4.59
"381","2008-07-08",4.65
"382","2008-07-09",4.57
