"","date","ZEN"
"1","2014-05-15",13.43
"2","2014-05-16",15.25
"3","2014-05-19",16.5
"4","2014-05-20",16.950001
"5","2014-05-21",17.190001
"6","2014-05-22",16.15
"7","2014-05-23",16.360001
"8","2014-05-27",16.1
"9","2014-05-28",17.379999
"10","2014-05-29",17.49
"11","2014-05-30",15.98
"12","2014-06-02",15
"13","2014-06-03",15.06
"14","2014-06-04",15.3
"15","2014-06-05",15.22
"16","2014-06-06",15.39
"17","2014-06-09",17.32
"18","2014-06-10",16.5
"19","2014-06-11",18.49
"20","2014-06-12",17.889999
"21","2014-06-13",16.75
"22","2014-06-16",17.24
"23","2014-06-17",17.700001
"24","2014-06-18",17.610001
"25","2014-06-19",18
"26","2014-06-20",17.559999
"27","2014-06-23",17.99
"28","2014-06-24",17.809999
"29","2014-06-25",17.940001
"30","2014-06-26",17.68
"31","2014-06-27",17.16
"32","2014-06-30",17.379999
"33","2014-07-01",17.299999
"34","2014-07-02",16.43
"35","2014-07-03",16.51
"36","2014-07-07",15.79
"37","2014-07-08",16.379999
"38","2014-07-09",16.049999
"39","2014-07-10",16.08
"40","2014-07-11",15.94
"41","2014-07-14",16.48
"42","2014-07-15",17.059999
"43","2014-07-16",17.15
"44","2014-07-17",17.139999
"45","2014-07-18",17.639999
"46","2014-07-21",17.32
"47","2014-07-22",17.26
"48","2014-07-23",17.4
"49","2014-07-24",17.49
"50","2014-07-25",17.049999
"51","2014-07-28",17.25
"52","2014-07-29",17.25
"53","2014-07-30",17.77
"54","2014-07-31",17.389999
"55","2014-08-01",17.549999
"56","2014-08-04",17.5
"57","2014-08-05",17.969999
"58","2014-08-06",19.18
"59","2014-08-07",19.42
"60","2014-08-08",21.290001
"61","2014-08-11",22.92
"62","2014-08-12",22.700001
"63","2014-08-13",23.32
"64","2014-08-14",23.34
"65","2014-08-15",23.98
"66","2014-08-18",24.25
"67","2014-08-19",25.200001
"68","2014-08-20",25.01
"69","2014-08-21",24.98
"70","2014-08-22",24.940001
"71","2014-08-25",25.209999
"72","2014-08-26",26.280001
"73","2014-08-27",26.719999
"74","2014-08-28",27.07
"75","2014-08-29",27.190001
"76","2014-09-02",27.74
"77","2014-09-03",26.98
"78","2014-09-04",24.889999
"79","2014-09-05",24.67
"80","2014-09-08",24.23
"81","2014-09-09",24.25
"82","2014-09-10",24.34
"83","2014-09-11",24.4
"84","2014-09-12",23.5
"85","2014-09-15",22.059999
"86","2014-09-16",21.77
"87","2014-09-17",22.790001
"88","2014-09-18",23.07
"89","2014-09-19",22.65
"90","2014-09-22",21.799999
"91","2014-09-23",21.34
"92","2014-09-24",21.75
"93","2014-09-25",21.77
"94","2014-09-26",21.9
"95","2014-09-29",21.889999
"96","2014-09-30",21.59
"97","2014-10-01",21.549999
"98","2014-10-02",21.85
"99","2014-10-03",25.549999
"100","2014-10-06",24.32
"101","2014-10-07",23.610001
"102","2014-10-08",23.15
"103","2014-10-09",22.32
"104","2014-10-10",20.52
"105","2014-10-13",19.940001
"106","2014-10-14",20.620001
"107","2014-10-15",21.76
"108","2014-10-16",22.33
"109","2014-10-17",22.08
"110","2014-10-20",21.17
"111","2014-10-21",21.299999
"112","2014-10-22",20.07
"113","2014-10-23",20.25
"114","2014-10-24",21.09
"115","2014-10-27",21.24
"116","2014-10-28",22.530001
"117","2014-10-29",22.26
"118","2014-10-30",23.23
"119","2014-10-31",26
"120","2014-11-03",26.4
"121","2014-11-04",26.709999
"122","2014-11-05",24.959999
"123","2014-11-06",25.219999
"124","2014-11-07",24.65
"125","2014-11-10",24.23
"126","2014-11-11",23.34
"127","2014-11-12",25.059999
"128","2014-11-13",24.82
"129","2014-11-14",25.049999
"130","2014-11-17",24.08
"131","2014-11-18",24.290001
"132","2014-11-19",24.43
"133","2014-11-20",24.9
"134","2014-11-21",24.379999
"135","2014-11-24",24.379999
"136","2014-11-25",23.700001
"137","2014-11-26",23.57
"138","2014-11-28",23.76
