"","date","SMTX"
"1","2007-01-03",2.42
"2","2007-01-04",2.44
"3","2007-01-05",2.46
"4","2007-01-08",2.42
"5","2007-01-09",2.44
"6","2007-01-10",2.4
"7","2007-01-11",2.39
"8","2007-01-12",2.51
"9","2007-01-16",2.62
"10","2007-01-17",2.68
"11","2007-01-18",2.68
"12","2007-01-19",2.69
"13","2007-01-22",2.72
"14","2007-01-23",2.76
"15","2007-01-24",2.69
"16","2007-01-25",2.61
"17","2007-01-26",2.64
"18","2007-01-29",2.69
"19","2007-01-30",2.72
"20","2007-01-31",2.73
"21","2007-02-01",2.74
"22","2007-02-02",2.74
"23","2007-02-05",2.68
"24","2007-02-06",2.72
"25","2007-02-07",2.84
"26","2007-02-08",2.77
"27","2007-02-09",2.78
"28","2007-02-12",2.72
"29","2007-02-13",2.74
"30","2007-02-14",2.78
"31","2007-02-15",2.78
"32","2007-02-16",2.79
"33","2007-02-20",2.82
"34","2007-02-21",2.8
"35","2007-02-22",2.87
"36","2007-02-23",2.87
"37","2007-02-26",2.87
"38","2007-02-27",2.6
"39","2007-02-28",2.64
"40","2007-03-01",2.66
"41","2007-03-02",2.62
"42","2007-03-05",2.5
"43","2007-03-06",2.58
"44","2007-03-07",2.62
"45","2007-03-08",2.69
"46","2007-03-09",2.61
"47","2007-03-12",2.81
"48","2007-03-13",2.73
"49","2007-03-14",3.08
"50","2007-03-15",3.1
"51","2007-03-16",3.11
"52","2007-03-19",3.1
"53","2007-03-20",3.14
"54","2007-03-21",3.05
"55","2007-03-22",3.04
"56","2007-03-23",2.93
"57","2007-03-26",2.89
"58","2007-03-27",2.89
"59","2007-03-28",2.85
"60","2007-03-29",2.8
"61","2007-03-30",2.89
"62","2007-04-02",2.93
"63","2007-04-03",2.94
"64","2007-04-04",2.95
"65","2007-04-05",2.98
"66","2007-04-09",2.96
"67","2007-04-10",2.93
"68","2007-04-11",2.95
"69","2007-04-12",2.99
"70","2007-04-13",3.01
"71","2007-04-16",2.97
"72","2007-04-17",3.01
"73","2007-04-18",3.04
"74","2007-04-19",3.07
"75","2007-04-20",3.08
"76","2007-04-23",3.1
"77","2007-04-24",3.05
"78","2007-04-25",3.1
"79","2007-04-26",3.03
"80","2007-04-27",3.06
"81","2007-04-30",2.98
"82","2007-05-01",2.9
"83","2007-05-02",2.96
"84","2007-05-03",3
"85","2007-05-04",2.93
"86","2007-05-07",2.97
"87","2007-05-08",2.99
"88","2007-05-09",2.98
"89","2007-05-10",3.04
"90","2007-05-11",3.07
"91","2007-05-14",3.15
"92","2007-05-15",3.08
"93","2007-05-16",3.15
"94","2007-05-17",3.11
"95","2007-05-18",3.11
"96","2007-05-21",3.39
"97","2007-05-22",3.49
"98","2007-05-23",3.68
"99","2007-05-24",3.52
"100","2007-05-25",3.88
"101","2007-05-29",4.37
"102","2007-05-30",4.69
"103","2007-05-31",4.7
"104","2007-06-01",4.95
"105","2007-06-04",5.04
"106","2007-06-05",5.24
"107","2007-06-06",4.97
"108","2007-06-07",4.75
"109","2007-06-08",4.76
"110","2007-06-11",4.88
"111","2007-06-12",4.73
"112","2007-06-13",4.55
"113","2007-06-14",4.72
"114","2007-06-15",4.89
"115","2007-06-18",5.23
"116","2007-06-19",5.35
"117","2007-06-20",5.35
"118","2007-06-21",5.4
"119","2007-06-22",5.44
"120","2007-06-25",5.74
"121","2007-06-26",5.61
"122","2007-06-27",5.68
"123","2007-06-28",5.78
"124","2007-06-29",5.84
"125","2007-07-02",6.45
"126","2007-07-03",6.96
"127","2007-07-05",7.09
"128","2007-07-06",7.3
"129","2007-07-09",7.99
"130","2007-07-10",7.02
"131","2007-07-11",7.22
"132","2007-07-12",6.88
"133","2007-07-13",6.7
"134","2007-07-16",7.25
"135","2007-07-17",7.13
"136","2007-07-18",7.11
"137","2007-07-19",7.08
"138","2007-07-20",7.1
"139","2007-07-23",6.55
"140","2007-07-24",5.68
"141","2007-07-25",5.76
"142","2007-07-26",5.13
"143","2007-07-27",5.04
"144","2007-07-30",4.73
"145","2007-07-31",4.55
"146","2007-08-01",4.21
"147","2007-08-02",4.36
"148","2007-08-03",3.99
"149","2007-08-06",3.75
"150","2007-08-07",3.74
"151","2007-08-08",2.55
"152","2007-08-09",2.49
"153","2007-08-10",2.47
"154","2007-08-13",2.45
"155","2007-08-14",2.31
"156","2007-08-15",2.21
"157","2007-08-16",2.23
"158","2007-08-17",2.24
"159","2007-08-20",2.22
"160","2007-08-21",2.29
"161","2007-08-22",2.26
"162","2007-08-23",2.21
"163","2007-08-24",2.28
"164","2007-08-27",2.22
"165","2007-08-28",2.2
"166","2007-08-29",2.2
"167","2007-08-30",2.32
"168","2007-08-31",2.36
"169","2007-09-04",2.58
"170","2007-09-05",2.55
"171","2007-09-06",2.48
"172","2007-09-07",2.36
"173","2007-09-10",2.42
"174","2007-09-11",2.3
"175","2007-09-12",2.28
"176","2007-09-13",2.28
"177","2007-09-14",2.28
"178","2007-09-17",2.35
"179","2007-09-18",2.35
"180","2007-09-19",2.37
"181","2007-09-20",2.3
"182","2007-09-21",2.32
"183","2007-09-24",2.26
"184","2007-09-25",2.27
"185","2007-09-26",2.3
"186","2007-09-27",2.37
"187","2007-09-28",2.37
"188","2007-10-01",2.32
"189","2007-10-02",2.29
"190","2007-10-03",2.22
"191","2007-10-04",2.19
"192","2007-10-05",2.26
"193","2007-10-08",2.36
"194","2007-10-09",2.35
"195","2007-10-10",2.33
"196","2007-10-11",2.34
"197","2007-10-12",2.4
"198","2007-10-15",2.36
"199","2007-10-16",2.36
"200","2007-10-17",2.41
"201","2007-10-18",2.39
"202","2007-10-19",2.29
"203","2007-10-22",2.23
"204","2007-10-23",2.25
"205","2007-10-24",2.19
"206","2007-10-25",2.21
"207","2007-10-26",2.22
"208","2007-10-29",2.22
"209","2007-10-30",2.24
