"","date","ACAD"
"1","2007-01-03",8.77
"2","2007-01-04",8.64
"3","2007-01-05",8.3
"4","2007-01-08",8.07
"5","2007-01-09",7.9
"6","2007-01-10",7.89
"7","2007-01-11",7.79
"8","2007-01-12",7.44
"9","2007-01-16",6.84
"10","2007-01-17",7.1
"11","2007-01-18",7.37
"12","2007-01-19",7.25
"13","2007-01-22",7.25
"14","2007-01-23",7.08
"15","2007-01-24",7.06
"16","2007-01-25",7.05
"17","2007-01-26",7.02
"18","2007-01-29",7.06
"19","2007-01-30",7.03
"20","2007-01-31",7.15
"21","2007-02-01",7.3
"22","2007-02-02",7.33
"23","2007-02-05",7.1
"24","2007-02-06",7.15
"25","2007-02-07",7.12
"26","2007-02-08",7.09
"27","2007-02-09",7.05
"28","2007-02-12",6.93
"29","2007-02-13",7
"30","2007-02-14",7.05
"31","2007-02-15",7.01
"32","2007-02-16",7.13
"33","2007-02-20",7.18
"34","2007-02-21",7.34
"35","2007-02-22",7.49
"36","2007-02-23",7.84
"37","2007-02-26",7.58
"38","2007-02-27",7.18
"39","2007-02-28",6.96
"40","2007-03-01",6.86
"41","2007-03-02",6.94
"42","2007-03-05",6.76
"43","2007-03-06",6.99
"44","2007-03-07",6.78
"45","2007-03-08",6.86
"46","2007-03-09",6.76
"47","2007-03-12",7
"48","2007-03-13",6.99
"49","2007-03-14",7.04
"50","2007-03-15",6.73
"51","2007-03-16",6.69
"52","2007-03-19",13.61
"53","2007-03-20",14.55
"54","2007-03-21",13.72
"55","2007-03-22",13.58
"56","2007-03-23",14.45
"57","2007-03-26",15.25
"58","2007-03-27",16.370001
"59","2007-03-28",15.42
"60","2007-03-29",16.5
"61","2007-03-30",15.02
"62","2007-04-02",14.64
"63","2007-04-03",16.41
"64","2007-04-04",15.6
"65","2007-04-05",15.65
"66","2007-04-09",16.139999
"67","2007-04-10",15.59
"68","2007-04-11",15.65
"69","2007-04-12",15.63
"70","2007-04-13",15.47
"71","2007-04-16",15.48
"72","2007-04-17",15.5
"73","2007-04-18",14.98
"74","2007-04-19",14.73
"75","2007-04-20",14.6
"76","2007-04-23",14.45
"77","2007-04-24",14.36
"78","2007-04-25",14.22
"79","2007-04-26",13.89
"80","2007-04-27",13.65
"81","2007-04-30",13.66
"82","2007-05-01",13.5
"83","2007-05-02",13.7
"84","2007-05-03",13.32
"85","2007-05-04",13.49
"86","2007-05-07",13.06
"87","2007-05-08",13.64
"88","2007-05-09",14.07
"89","2007-05-10",13.81
"90","2007-05-11",13.61
"91","2007-05-14",13.33
"92","2007-05-15",12.87
