"","date","ROP"
"1","2007-01-03",50.110001
"2","2007-01-04",49.599998
"3","2007-01-05",48.73
"4","2007-01-08",48.610001
"5","2007-01-09",48.900002
"6","2007-01-10",48.740002
"7","2007-01-11",50.150002
"8","2007-01-12",50.389999
"9","2007-01-16",50.330002
"10","2007-01-17",50.119999
"11","2007-01-18",50
"12","2007-01-19",50.259998
"13","2007-01-22",50.119999
"14","2007-01-23",52.990002
"15","2007-01-24",52.41
"16","2007-01-25",51.68
"17","2007-01-26",52.060001
"18","2007-01-29",51.82
"19","2007-01-30",52.25
"20","2007-01-31",51.919998
"21","2007-02-01",52.389999
"22","2007-02-02",52.91
"23","2007-02-05",53.07
"24","2007-02-06",52.150002
"25","2007-02-07",52.490002
"26","2007-02-08",52.59
"27","2007-02-09",52.130001
"28","2007-02-12",52.110001
"29","2007-02-13",52.299999
"30","2007-02-14",52.43
"31","2007-02-15",51.740002
"32","2007-02-16",52.189999
"33","2007-02-20",51.5
"34","2007-02-21",51.540001
"35","2007-02-22",51.419998
"36","2007-02-23",55.139999
"37","2007-02-26",55.060001
"38","2007-02-27",53.439999
"39","2007-02-28",53.119999
"40","2007-03-01",53.150002
"41","2007-03-02",52.93
"42","2007-03-05",52.060001
"43","2007-03-06",52.57
"44","2007-03-07",52.580002
"45","2007-03-08",53.110001
"46","2007-03-09",53.009998
"47","2007-03-12",53.049999
"48","2007-03-13",52.040001
"49","2007-03-14",52.119999
"50","2007-03-15",52.810001
"51","2007-03-16",51.950001
"52","2007-03-19",52.869999
"53","2007-03-20",53.02
"54","2007-03-21",53.209999
"55","2007-03-22",54.57
"56","2007-03-23",54.689999
"57","2007-03-26",54
"58","2007-03-27",53.860001
"59","2007-03-28",54.41
"60","2007-03-29",54.650002
"61","2007-03-30",54.880001
"62","2007-04-02",53.880001
"63","2007-04-03",54.549999
"64","2007-04-04",55.099998
"65","2007-04-05",55.360001
"66","2007-04-09",55.75
"67","2007-04-10",55.77
"68","2007-04-11",55.560001
"69","2007-04-12",55.279999
