"","date","CE"
"1","2007-01-03",25.309999
"2","2007-01-04",25.200001
"3","2007-01-05",25.059999
"4","2007-01-08",24.93
"5","2007-01-09",24.92
"6","2007-01-10",24.799999
"7","2007-01-11",24.76
"8","2007-01-12",25.4
"9","2007-01-16",25.68
"10","2007-01-17",25.799999
"11","2007-01-18",25.27
"12","2007-01-19",25.23
"13","2007-01-22",25.5
"14","2007-01-23",25.74
"15","2007-01-24",26.01
"16","2007-01-25",25.74
"17","2007-01-26",25.77
"18","2007-01-29",26.02
"19","2007-01-30",26.120001
"20","2007-01-31",26.25
"21","2007-02-01",26.48
"22","2007-02-02",26.68
"23","2007-02-05",26.57
"24","2007-02-06",27.85
"25","2007-02-07",27.639999
"26","2007-02-08",28.110001
"27","2007-02-09",28.370001
"28","2007-02-12",28.530001
"29","2007-02-13",28.99
"30","2007-02-14",28.73
"31","2007-02-15",29.110001
"32","2007-02-16",29.299999
"33","2007-02-20",29.68
"34","2007-02-21",29.879999
"35","2007-02-22",29.190001
"36","2007-02-23",29.629999
"37","2007-02-26",29.780001
"38","2007-02-27",29.15
"39","2007-02-28",28.58
"40","2007-03-01",28.299999
"41","2007-03-02",28.33
"42","2007-03-05",29.33
"43","2007-03-06",30.110001
"44","2007-03-07",29.91
"45","2007-03-08",30.18
"46","2007-03-09",30.190001
"47","2007-03-12",30.620001
"48","2007-03-13",30.469999
"49","2007-03-14",30.4
"50","2007-03-15",30.25
"51","2007-03-16",30.120001
"52","2007-03-19",30.219999
"53","2007-03-20",30.48
"54","2007-03-21",30.870001
"55","2007-03-22",31.27
"56","2007-03-23",30.83
"57","2007-03-26",30.799999
"58","2007-03-27",30.780001
"59","2007-03-28",30.809999
"60","2007-03-29",30.459999
"61","2007-03-30",30.84
"62","2007-04-02",30.99
"63","2007-04-03",31.67
"64","2007-04-04",31.110001
"65","2007-04-05",31.559999
"66","2007-04-09",32.040001
"67","2007-04-10",31.889999
"68","2007-04-11",31.51
"69","2007-04-12",31.950001
"70","2007-04-13",32.169998
"71","2007-04-16",31.870001
"72","2007-04-17",32.400002
"73","2007-04-18",33.389999
"74","2007-04-19",32.869999
