"","date","PIPR"
"1","2007-01-03",67.349998
"2","2007-01-04",67.150002
"3","2007-01-05",64.830002
"4","2007-01-08",66.849998
"5","2007-01-09",67.849998
"6","2007-01-10",69.449997
"7","2007-01-11",71.5
"8","2007-01-12",73.010002
"9","2007-01-16",71.510002
"10","2007-01-17",71.18
"11","2007-01-18",69.080002
"12","2007-01-19",70.739998
"13","2007-01-22",69.879997
"14","2007-01-23",70.989998
"15","2007-01-24",72.150002
"16","2007-01-25",68.480003
"17","2007-01-26",68.410004
"18","2007-01-29",66.5
"19","2007-01-30",68.779999
"20","2007-01-31",68.940002
"21","2007-02-01",69.489998
"22","2007-02-02",69.300003
"23","2007-02-05",68.129997
"24","2007-02-06",69.489998
"25","2007-02-07",71
"26","2007-02-08",70.32
"27","2007-02-09",68.330002
"28","2007-02-12",66.949997
"29","2007-02-13",68.599998
"30","2007-02-14",69.860001
"31","2007-02-15",70.129997
"32","2007-02-16",69.989998
"33","2007-02-20",70.169998
"34","2007-02-21",69.730003
"35","2007-02-22",70.529999
"36","2007-02-23",68.769997
"37","2007-02-26",67.190002
"38","2007-02-27",64.629997
"39","2007-02-28",65.230003
"40","2007-03-01",64.25
"41","2007-03-02",61.939999
"42","2007-03-05",58.849998
"43","2007-03-06",62.049999
"44","2007-03-07",62.009998
"45","2007-03-08",62.900002
"46","2007-03-09",62.349998
"47","2007-03-12",61.759998
"48","2007-03-13",60.07
"49","2007-03-14",60.5
"50","2007-03-15",61.66
"51","2007-03-16",61.400002
"52","2007-03-19",62.560001
"53","2007-03-20",63.25
"54","2007-03-21",64.669998
"55","2007-03-22",63.790001
"56","2007-03-23",64.669998
"57","2007-03-26",63.900002
"58","2007-03-27",62.619999
"59","2007-03-28",60.549999
"60","2007-03-29",60.919998
"61","2007-03-30",61.939999
"62","2007-04-02",61.880001
"63","2007-04-03",62.509998
"64","2007-04-04",61.66
"65","2007-04-05",62.59
"66","2007-04-09",62.720001
"67","2007-04-10",63.560001
"68","2007-04-11",63.16
"69","2007-04-12",63.59
"70","2007-04-13",65.230003
"71","2007-04-16",66.93
"72","2007-04-17",66.459999
"73","2007-04-18",65.68
"74","2007-04-19",65.410004
"75","2007-04-20",67.059998
"76","2007-04-23",66.209999
"77","2007-04-24",64.769997
"78","2007-04-25",65.540001
"79","2007-04-26",65.010002
"80","2007-04-27",65.010002
"81","2007-04-30",63.810001
"82","2007-05-01",63.790001
"83","2007-05-02",64.870003
"84","2007-05-03",64.68
"85","2007-05-04",64.07
"86","2007-05-07",63.150002
"87","2007-05-08",62.84
"88","2007-05-09",63.490002
