"","date","BK"
"1","2007-01-03",42.071232
"2","2007-01-04",41.986431
"3","2007-01-05",41.785034
"4","2007-01-08",41.954632
"5","2007-01-09",41.774433
"6","2007-01-10",41.997032
"7","2007-01-11",42.39983
"8","2007-01-12",42.74963
"9","2007-01-16",42.898029
"10","2007-01-17",42.664829
"11","2007-01-18",43.396225
"12","2007-01-19",43.481026
"13","2007-01-22",43.226627
"14","2007-01-23",43.014629
"15","2007-01-24",43.332626
"16","2007-01-25",42.972229
"17","2007-01-26",42.74963
"18","2007-01-29",42.315029
"19","2007-01-30",42.346832
"20","2007-01-31",42.410431
"21","2007-02-01",42.580029
"22","2007-02-02",43.216026
"23","2007-02-05",43.767223
"24","2007-02-06",44.106422
"25","2007-02-07",44.127625
"26","2007-02-08",44.074623
"27","2007-02-09",44.042824
"28","2007-02-12",44.615223
"29","2007-02-13",45.028622
"30","2007-02-14",45.47382
"31","2007-02-15",45.908417
"32","2007-02-16",45.760017
"33","2007-02-20",45.781216
"34","2007-02-21",45.293617
"35","2007-02-22",45.32542
"36","2007-02-23",45.060421
"37","2007-02-26",44.795422
"38","2007-02-27",43.078228
"39","2007-02-28",43.067627
"40","2007-03-01",42.908627
"41","2007-03-02",42.198433
"42","2007-03-05",41.541233
"43","2007-03-06",42.156033
"44","2007-03-07",41.562435
"45","2007-03-08",41.732033
"46","2007-03-09",41.573032
"47","2007-03-12",41.657833
"48","2007-03-13",40.396439
"49","2007-03-14",40.799236
"50","2007-03-15",41.297436
"51","2007-03-16",41.361034
"52","2007-03-19",41.838032
"53","2007-03-20",42.336231
"54","2007-03-21",43.682426
"55","2007-03-22",43.163029
"56","2007-03-23",43.258427
"57","2007-03-26",43.406826
"58","2007-03-27",43.035828
"59","2007-03-28",42.67543
"60","2007-03-29",42.993427
"61","2007-03-30",42.982826
"62","2007-04-02",42.834427
"63","2007-04-03",43.226627
"64","2007-04-04",43.173626
"65","2007-04-05",43.258427
"66","2007-04-09",43.417427
"67","2007-04-10",43.428028
"68","2007-04-11",42.961628
"69","2007-04-12",42.929829
"70","2007-04-13",43.152428
"71","2007-04-16",44.085224
"72","2007-04-17",44.064022
"73","2007-04-18",43.936825
"74","2007-04-19",43.544624
"75","2007-04-20",43.989822
"76","2007-04-23",43.459827
"77","2007-04-24",43.046429
"78","2007-04-25",43.353828
"79","2007-04-26",43.279629
"80","2007-04-27",43.258427
"81","2007-04-30",42.908627
"82","2007-05-01",42.82383
