"","date","TILE"
"1","2007-01-03",14.8
"2","2007-01-04",14.62
"3","2007-01-05",14.54
"4","2007-01-08",14.59
"5","2007-01-09",14.5
"6","2007-01-10",14.41
"7","2007-01-11",14.84
"8","2007-01-12",15.11
"9","2007-01-16",15.13
"10","2007-01-17",14.66
"11","2007-01-18",14.61
"12","2007-01-19",14.76
"13","2007-01-22",14.55
"14","2007-01-23",14.57
"15","2007-01-24",14.86
"16","2007-01-25",14.49
"17","2007-01-26",14.68
"18","2007-01-29",14.79
"19","2007-01-30",14.89
"20","2007-01-31",15.22
"21","2007-02-01",15.4
"22","2007-02-02",15.37
"23","2007-02-05",15.35
"24","2007-02-06",15.81
"25","2007-02-07",15.71
"26","2007-02-08",15.75
"27","2007-02-09",15.67
"28","2007-02-12",15.98
"29","2007-02-13",15.85
"30","2007-02-14",16.26
"31","2007-02-15",16.16
"32","2007-02-16",16.24
"33","2007-02-20",16.379999
"34","2007-02-21",16.530001
"35","2007-02-22",16.459999
"36","2007-02-23",16.74
"37","2007-02-26",16.780001
"38","2007-02-27",16
"39","2007-02-28",15.82
"40","2007-03-01",16
"41","2007-03-02",15.77
"42","2007-03-05",15.51
"43","2007-03-06",15.78
"44","2007-03-07",15.71
"45","2007-03-08",16.040001
"46","2007-03-09",16.200001
"47","2007-03-12",16.860001
"48","2007-03-13",16.42
"49","2007-03-14",16.299999
"50","2007-03-15",16.33
"51","2007-03-16",15.99
"52","2007-03-19",16.17
"53","2007-03-20",16.200001
"54","2007-03-21",16.219999
"55","2007-03-22",16.219999
"56","2007-03-23",16.27
"57","2007-03-26",16.219999
"58","2007-03-27",15.97
"59","2007-03-28",16.01
"60","2007-03-29",16.059999
"61","2007-03-30",15.99
"62","2007-04-02",16.030001
"63","2007-04-03",16.379999
"64","2007-04-04",16.25
"65","2007-04-05",16.299999
"66","2007-04-09",17.02
"67","2007-04-10",16.950001
"68","2007-04-11",16.860001
"69","2007-04-12",17.09
"70","2007-04-13",17.299999
"71","2007-04-16",17.690001
"72","2007-04-17",17.389999
"73","2007-04-18",16.799999
"74","2007-04-19",16.940001
"75","2007-04-20",17.450001
"76","2007-04-23",17.049999
"77","2007-04-24",17.18
"78","2007-04-25",17.34
"79","2007-04-26",17.1
"80","2007-04-27",17.030001
"81","2007-04-30",16.85
"82","2007-05-01",16.83
"83","2007-05-02",16.799999
"84","2007-05-03",17
"85","2007-05-04",16.940001
"86","2007-05-07",16.82
"87","2007-05-08",16.91
"88","2007-05-09",17.120001
"89","2007-05-10",16.799999
"90","2007-05-11",17.049999
"91","2007-05-14",16.870001
"92","2007-05-15",16.65
"93","2007-05-16",16.610001
"94","2007-05-17",16.16
"95","2007-05-18",16.43
"96","2007-05-21",16.110001
"97","2007-05-22",15.99
"98","2007-05-23",16.379999
"99","2007-05-24",16.209999
"100","2007-05-25",16.389999
"101","2007-05-29",17.02
"102","2007-05-30",16.700001
"103","2007-05-31",16.879999
"104","2007-06-01",17.34
"105","2007-06-04",17.24
"106","2007-06-05",17.9
"107","2007-06-06",17.93
"108","2007-06-07",17.51
"109","2007-06-08",17.790001
"110","2007-06-11",17.67
"111","2007-06-12",17.5
"112","2007-06-13",18.030001
"113","2007-06-14",18.200001
"114","2007-06-15",18.360001
"115","2007-06-18",18.549999
"116","2007-06-19",18.6
"117","2007-06-20",19.280001
"118","2007-06-21",19.309999
"119","2007-06-22",19.27
"120","2007-06-25",19.18
"121","2007-06-26",18.780001
"122","2007-06-27",18.75
"123","2007-06-28",19
"124","2007-06-29",18.860001
"125","2007-07-02",19.09
"126","2007-07-03",18.969999
"127","2007-07-05",18.879999
"128","2007-07-06",18.99
"129","2007-07-09",19.09
"130","2007-07-10",19.049999
